Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Beauty and the Beast,1991,1h 24m,G,8.0,491K,95,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,https://www.imdb.com/title/tt0101414/?ref_=sr_i_1
2. Terminator 2: Judgment Day,1991,2h 17m,R,8.6,1.2M,75,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",https://www.imdb.com/title/tt0103064/?ref_=sr_i_2
3. Robin Hood: Prince of Thieves,1991,2h 23m,PG-13,6.9,215K,51,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,https://www.imdb.com/title/tt0102798/?ref_=sr_i_3
4. The Silence of the Lambs,1991,1h 58m,R,8.6,1.6M,86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com/title/tt0102926/?ref_=sr_i_4
5. City Slickers,1991,1h 53m,PG-13,6.8,65K,70,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",https://www.imdb.com/title/tt0101587/?ref_=sr_i_5
6. Hook,1991,2h 22m,PG,6.8,281K,52,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",https://www.imdb.com/title/tt0102057/?ref_=sr_i_6
7. The Addams Family,1991,1h 39m,PG-13,6.9,190K,57,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,https://www.imdb.com/title/tt0101272/?ref_=sr_i_7
8. Sleeping with the Enemy,1991,1h 39m,R,6.3,68K,48,"A librarian fakes her death to escape her abusive marriage and start a new life elsewhere, but her husband manages to track her down.",https://www.imdb.com/title/tt0102945/?ref_=sr_i_8
9. Father of the Bride,1991,1h 45m,PG,6.6,88K,51,"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.",https://www.imdb.com/title/tt0101862/?ref_=sr_i_9
10. The Naked Gun 2½: The Smell of Fear,1991,1h 25m,PG-13,6.9,126K,65,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,https://www.imdb.com/title/tt0102510/?ref_=sr_i_10
11. Fried Green Tomatoes,1991,2h 10m,PG-13,7.7,87K,64,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.",https://www.imdb.com/title/tt0101921/?ref_=sr_i_11
12. Cape Fear,1991,2h 8m,R,7.3,226K,73,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",https://www.imdb.com/title/tt0101540/?ref_=sr_i_12
13. Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,1h 28m,PG,6.0,62K,45,The Turtles discover their origins while they endeavour to save New York City from the evil Shredder and his Foot Clan.,https://www.imdb.com/title/tt0103060/?ref_=sr_i_13
14. Backdraft,1991,2h 17m,R,6.7,91K,39,"Two feuding siblings carrying on a heroic family tradition as Chicago firefighters. But when a puzzling series of arson attacks is reported, they are forced to set aside their differences to solve the mystery surrounding these crimes.",https://www.imdb.com/title/tt0101393/?ref_=sr_i_14
15. Star Trek VI: The Undiscovered Country,1991,1h 50m,PG,7.2,83K,65,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",https://www.imdb.com/title/tt0102975/?ref_=sr_i_15
16. The Prince of Tides,1991,2h 12m,R,6.8,21K,65,A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,https://www.imdb.com/title/tt0102713/?ref_=sr_i_16
17. JFK,1991,3h 9m,R,8.0,176K,72,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,https://www.imdb.com/title/tt0102138/?ref_=sr_i_17
18. Hot Shots!,1991,1h 25m,PG-13,6.7,120K,61,A parody of Top Gun (1986) in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.,https://www.imdb.com/title/tt0102059/?ref_=sr_i_18
19. What About Bob?,1991,1h 39m,PG,7.0,76K,60,"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation.",https://www.imdb.com/title/tt0103241/?ref_=sr_i_19
20. The Last Boy Scout,1991,1h 45m,R,7.0,116K,52,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",https://www.imdb.com/title/tt0102266/?ref_=sr_i_20
21. My Girl,1991,1h 42m,PG,6.9,93K,56,"Vada is obsessed with death. Her mother is dead, and her father runs a funeral parlor. When Vada's father hires Shelly, a makeup expert, and begins to fall in love, Vada is outraged and does everything in her power to split them up.",https://www.imdb.com/title/tt0102492/?ref_=sr_i_21
22. Boyz n the Hood,1991,1h 52m,R,7.8,161K,76,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",https://www.imdb.com/title/tt0101507/?ref_=sr_i_22
23. Doc Hollywood,1991,1h 44m,PG-13,6.3,41K,56,A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,https://www.imdb.com/title/tt0101745/?ref_=sr_i_23
24. Bugsy,1991,2h 16m,R,6.8,32K,80,"The true story of gangster Benjamin ""Bugsy"" Siegel, his tumultuous affair with the tough-talking Virginia Hill, and how he founded the Nevada-based city that would go on to be known as Las Vegas.",https://www.imdb.com/title/tt0101516/?ref_=sr_i_24
25. New Jack City,1991,1h 37m,R,6.6,40K,61,A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.,https://www.imdb.com/title/tt0102526/?ref_=sr_i_25
26. The Rocketeer,1991,1h 48m,PG,6.6,64K,58,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,https://www.imdb.com/title/tt0102803/?ref_=sr_i_26
27. Thelma & Louise,1991,2h 10m,R,7.6,182K,89,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",https://www.imdb.com/title/tt0103074/?ref_=sr_i_27
28. Point Break,1991,2h 2m,R,7.3,212K,60,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,https://www.imdb.com/title/tt0102685/?ref_=sr_i_28
29. Regarding Henry,1991,1h 48m,PG-13,6.7,35K,47,"After being shot, a lawyer loses his memory and must relearn speech and mobility, but he has a loving family to support him.",https://www.imdb.com/title/tt0102768/?ref_=sr_i_29
30. The Fisher King,1991,2h 17m,R,7.5,94K,67,"A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake.",https://www.imdb.com/title/tt0101889/?ref_=sr_i_30
31. Out for Justice,1991,1h 31m,R,6.1,27K,38,"With his partner executed in broad daylight by a psychotic mafia enforcer, a veteran Brooklyn officer vows revenge. But is the unstoppable detective prepared to face the truth and pay the price of blood?",https://www.imdb.com/title/tt0102614/?ref_=sr_i_31
32. The Doctor,1991,2h 2m,PG-13,6.9,6.1K,,"When a self-centered doctor is diagnosed with cancer, he becomes better able to empathize with his patients and appreciate a life outside his career.",https://www.imdb.com/title/tt0101746/?ref_=sr_i_32
33. Bill & Ted's Bogus Journey,1991,1h 33m,PG,6.3,83K,61,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,https://www.imdb.com/title/tt0101452/?ref_=sr_i_33
34. Dead Again,1991,1h 47m,R,6.8,31K,66,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives.",https://www.imdb.com/title/tt0101669/?ref_=sr_i_34
35. Soapdish,1991,1h 37m,PG-13,6.6,18K,65,"An ambitious television soap actress connives with her producer to scuttle the career of the show's long-time star, but nothing works as they plan.",https://www.imdb.com/title/tt0102951/?ref_=sr_i_35
