Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Modern Times,1936,1h 27m,G,8.5,271K,96.0,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://www.imdb.com/title/tt0027977/?ref_=sr_i_1,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford', 'Chester Conklin', 'Hank Mann', 'Stanley Blystone', 'Al Ernest Garcia', 'Richard Alexander', 'Cecil Reynolds']","$1,500,000 (estimated)","$35,809","$463,618","$163,577","February 25, 1936",['United States'],"['Sierra Hwy. & Penman Rd., Santa Clarita, California, USA (Ending-The Road)']",['Charles Chaplin Productions'],"Awards, 6 wins & 1 nomination total","['Romantic Comedy', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'Romance']",['English']
2. The Crime of Monsieur Lange,1936,1h 17m,Not Rated,7.3,3.8K,,"The boss of a publishing company is a womanizer and a jerk, but what would happen if he suddenly disappeared?",https://www.imdb.com/title/tt0027478/?ref_=sr_i_2,"['Jean Castanier', 'Jacques Prévert', 'Jean Renoir']",['Jean Renoir'],"['René Lefèvre', 'Florelle', 'Jules Berry', 'Marcel Lévesque', 'Odette Talazac', 'Henri Guisol', 'Maurice Baquet', 'Jacques B. Brunius', 'Sylvain Itkine', 'Marcel Duhamel']",,"$9,633","$38,002","$36,438","January 24, 1936",['France'],"['Le Tréport, Seine-Maritime, France']",['Films Obéron'],,"['Dark Comedy', 'Comedy', 'Crime', 'Drama']",['French']
3. César,1936,2h 48m,Not Rated,7.6,1.7K,,"Honoré Panisse is dying, cheerfully, with friends, wife, and son at his side. He confesses to the priest in front of his friends; he insists that the doctor be truthful. But, he cannot bring himself to tell his son Cesariot that his real father is Marius, the absent son of César, Cesariot's godfather. Panisse leaves that to Fanny, the lad's mother. Dissembling that he's off to see a friend, Cesariot then seeks Marius, now a mechanic in Toulon. Posing as a journalist, Cesariot spends time with Marius and leaves believing tales he is a petty thief. Only after the truth comes out can Marius, Fanny, César, and Cesariot step beyond the falsehoods, benign though they may be.",https://www.imdb.com/title/tt0027489/?ref_=sr_i_3,['Marcel Pagnol'],['Marcel Pagnol'],"['Raimu', 'Pierre Fresnay', 'Orane Demazis', 'Fernand Charpin', 'Paul Dullac', 'Robert Vattier', 'Marcel Maupi', 'Édouard Delmont', 'Milly Mathis', 'Thommeray']",,"$7,720","$8,262","$8,262","October 27, 1948",['France'],"['Quai de Rive Neuve, Marseille, Bouches-du-Rhône, France']",['Les Films Marcel Pagnol'],,['Drama'],['French']
4. Swing Time,1936,1h 43m,Approved,7.5,15K,91.0,"Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks.",https://www.imdb.com/title/tt0028333/?ref_=sr_i_4,"['Howard Lindsay', 'Allan Scott', 'Erwin Gelsey']",['George Stevens'],"['Fred Astaire', 'Ginger Rogers', 'Victor Moore', 'Helen Broderick', 'Eric Blore', 'Betty Furness', 'Georges Metaxa', 'William Bailey', 'Harry Bernard', 'William A. Boardway']","$886,000 (estimated)",,"$6,317",,"October 12, 1936",['United States'],"['La Grande Station, Downtown, Los Angeles, California, USA (exteriors and interiors of the train station)']",['RKO Radio Pictures'],"Won 1 Oscar, 6 wins & 3 nominations total","['Classic Musical', 'Comedy', 'Musical', 'Romance']","['English', 'French']"
5. My Man Godfrey,1936,1h 34m,Approved,7.9,27K,82.0,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,https://www.imdb.com/title/tt0028010/?ref_=sr_i_5,"['Morrie Ryskind', 'Eric Hatch', 'Zoe Akins']",['Gregory La Cava'],"['William Powell', 'Carole Lombard', 'Alice Brady', 'Gail Patrick', 'Eugene Pallette', 'Jean Dixon', 'Alan Mowbray', 'Mischa Auer', 'Pat Flaherty', 'Robert Light']","$656,000 (estimated)",,,,"September 6, 1936",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA (Studio)']",['Universal Pictures'],"Nominated for 6 Oscars, 5 wins & 6 nominations total","['Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['English', 'Russian']"
6. The Last of the Mohicans,1936,1h 31m,Approved,6.6,1.8K,,"During the brutal French and Indian War, the legendary scout Hawkeye is prevailed upon to escort Major Duncan Heyward, and the two daughters of Fort William Henry commander Colonel Munro -- Alice and Cora -- to safety through.",https://www.imdb.com/title/tt0027869/?ref_=sr_i_6,"['James Fenimore Cooper', 'Philip Dunne', 'John L. Balderston']",['George B. Seitz'],"['Randolph Scott', 'Binnie Barnes', 'Henry Wilcoxon', 'Bruce Cabot', 'Heather Angel', 'Phillip Reed', 'Robert Barrat', 'Hugh Buckler', 'Willard Robertson', 'William Stack']",,,,,"September 4, 1936",['United States'],"['Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA']",['Edward Small Productions'],"Nominated for 1 Oscar, 1 nomination total","['Classical Western', 'Adventure', 'Drama', 'Western']",['English']
7. Things to Come,1936,1h 40m,Not Rated,6.6,9.6K,,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.",https://www.imdb.com/title/tt0028358/?ref_=sr_i_7,['H.G. Wells'],['William Cameron Menzies'],"['Raymond Massey', 'Edward Chapman', 'Ralph Richardson', 'Margaretta Scott', 'Cedric Hardwicke', 'Maurice Braddell', 'Sophie Stewart', 'Derrick De Marney', 'Ann Todd', 'Pearl Argyle']","£300,000 (estimated)",,,,"September 14, 1936",['United Kingdom'],"['Denham Film Studios, Denham, Uxbridge, Buckinghamshire, England, UK (Studio, uncredited)']",['London Film Productions'],,"['Sci-Fi Epic', 'Drama', 'Sci-Fi', 'War']",['English']
8. Reefer Madness,1936,1h 6m,PG,3.7,9.6K,70.0,"Cautionary tale that features a fictionalized take on marijuana use. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",https://www.imdb.com/title/tt0028346/?ref_=sr_i_8,"['Lawrence Meade', 'Arthur Hoerl', 'Paul Franklin']",['Louis J. Gasnier'],"['Dorothy Short', 'Kenneth Craig', 'Lillian Miles', ""Dave O'Brien"", 'Thelma White', 'Carleton Young', 'Warren McCollum', 'Patricia Royale', 'Joseph Forte', 'Harry Harvey Jr.']",,,,,"December 1, 1938",['United States'],"['Grand National Studios - 7250 Santa Monica Boulevard, Hollywood, Los Angeles, California, USA']",['George A. Hirliman Productions'],,"['Comedy', 'Crime', 'Drama']",['English']
9. Flash Gordon,1936,4h 5m,Approved,7.0,2.8K,,"Flash Gordon, Dale Arden and Dr. Alexis Zarkov visit the planet Mongo to thwart the evil schemes of Emperor Ming the Merciless, who has set his planet on a collision course with Earth.",https://www.imdb.com/title/tt0027623/?ref_=sr_i_9,"['Alex Raymond', 'Frederick Stephani', ""Ella O'Neill""]","['Frederick Stephani', 'Ray Taylor']","['Buster Crabbe', 'Jean Rogers', 'Charles Middleton', 'Priscilla Lawson', 'Frank Shannon', 'Richard Alexander', ""Jack 'Tiny' Lipson"", 'Theodore Lorch', 'Richard Tucker', 'George Cleveland']","$360,000 (estimated)",,,,"April 6, 1936",['United States'],"['Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA']",['Universal Pictures'],"Awards, 1 win total","['Action', 'Adventure', 'Family', 'Romance', 'Sci-Fi']",['English']
10. Mr. Deeds Goes to Town,1936,1h 55m,Approved,7.8,24K,,A unassuming greeting card poet from a small town in Vermont heads to New York City upon inheriting a massive fortune and is immediately hounded by those who wish to take advantage of him.,https://www.imdb.com/title/tt0027996/?ref_=sr_i_10,"['Robert Riskin', 'Clarence Budington Kelland']",['Frank Capra'],"['Gary Cooper', 'Jean Arthur', 'George Bancroft', 'Lionel Stander', 'Douglass Dumbrille', 'Raymond Walburn', 'H.B. Warner', 'Ruth Donnelly', 'Walter Catlett', 'John Wray']","$800,000 (estimated)",,"$8,362",,"April 12, 1936",['United States'],"['Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA']",['Columbia Pictures'],"Won 1 Oscar, 7 wins & 7 nominations total","['Screwball Comedy', 'Comedy', 'Drama', 'Romance']",['English']
