link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0075148/?ref_=sr_i_1,['Sylvester Stallone'],['John G. Avildsen'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith', 'Thayer David', 'Joe Spinell', 'Jimmy Gambina', 'Bill Baldwin', 'Al Silvani']","$960,000 (estimated)",,"$117,253,345","$117,235,147","December 3, 1976",['United States'],"[""1818 East Tusculum Street, Kensington, North Philadelphia, Pennsylvania, USA (Rocky's home)""]",['Chartoff-Winkler Productions'],"Won 3 Oscars, 22 wins & 23 nominations total","['Boxing', 'Drama', 'Sport']","['English', 'Spanish', 'Italian']"
https://www.imdb.com/title/tt0075265/?ref_=sr_i_2,"['John Gregory Dunne', 'Joan Didion', 'Frank Pierson']",['Frank Pierson'],"['Barbra Streisand', 'Kris Kristofferson', 'Gary Busey', 'Oliver Clark', 'Venetta Fields', 'Clydie King', 'Marta Heflin', 'M.G. Kelly', 'Sally Kirkland', 'Joanne Linville']","$6,000,000 (estimated)",,"$80,000,115","$80,000,000","December 17, 1976",['United States'],"['Empire Ranch, Sonoita, Arizona, USA (newly built honeymoon home)']","['Barwood Films', 'First Artists']","Won 1 Oscar, 7 wins & 7 nominations total","['Drama', 'Music', 'Romance']",['English']
https://www.imdb.com/title/tt0074119/?ref_=sr_i_3,"['Carl Bernstein', 'Bob Woodward', 'William Goldman']",['Alan J. Pakula'],"['Dustin Hoffman', 'Robert Redford', 'Jack Warden', 'Martin Balsam', 'Hal Holbrook', 'Jason Robards', 'Jane Alexander', 'Meredith Baxter', 'Ned Beatty', 'Stephen Collins']","$8,500,000 (estimated)",,"$70,601,199","$70,600,000","April 9, 1976",['United States'],"['Parking garage, ABC Entertainment Center - 2040 Avenue of the Stars, Century City, Los Angeles, California, USA (Deep Throat meeting site)']",['Wildwood Enterprises'],"Won 4 Oscars, 17 wins & 23 nominations total","['Conspiracy Thriller', 'Political Drama', 'Political Thriller', 'Workplace Drama', 'Drama', 'History', 'Thriller']","['English', 'Spanish']"
https://www.imdb.com/title/tt0075005/?ref_=sr_i_4,"['David Seltzer', 'Harvey Bernhard']",['Richard Donner'],"['Gregory Peck', 'Lee Remick', 'Harvey Stephens', 'David Warner', 'Billie Whitelaw', 'Patrick Troughton', 'Martin Benson', 'Robert Rietty', 'Tommy Duggan', 'John Stride']","$2,800,000 (estimated)","$4,273,886","$60,922,980","$60,922,980","June 25, 1976","['United Kingdom', 'United States']","['Guildford Cathedral, Guildford, Surrey, England, UK (Where the wedding was being held)']","['Twentieth Century Fox', 'Harvey Bernhard Productions', 'Mace Neufeld Productions']","Won 1 Oscar, 6 wins & 9 nominations total","['Supernatural Horror', 'Horror', 'Mystery']","['English', 'Latin', 'Italian']"
https://www.imdb.com/title/tt0074751/?ref_=sr_i_5,"['James Ashmore Creelman', 'Ruth Rose', 'Merian C. Cooper']",['John Guillermin'],"['Jeff Bridges', 'Charles Grodin', 'Jessica Lange', 'John Randolph', 'Rene Auberjonois', 'Julius Harris', ""Jack O'Halloran"", 'Dennis Fimple', 'Ed Lauter', 'Jorge Moreno']","$24,000,000 (estimated)","$7,023,921","$52,614,445","$52,614,445","December 17, 1976",['United States'],"[""Kaua'i, Hawaii, USA (Skull Island)""]",['Dino De Laurentiis Company'],"Nominated for 2 Oscars, 5 wins & 3 nominations total","['Dinosaur Adventure', 'Globetrotting Adventure', 'Jungle Adventure', 'Monster Horror', 'Urban Adventure', 'Adventure', 'Horror']",['English']
https://www.imdb.com/title/tt0075223/?ref_=sr_i_6,['Colin Higgins'],['Arthur Hiller'],"['Gene Wilder', 'Richard Pryor', 'Jill Clayburgh', 'Patrick McGoohan', 'Ned Beatty', 'Clifton James', 'Ray Walston', 'Stefan Gierasch', 'Len Birman', 'Valerie Curtin']","$6,500,000 (estimated)",,"$51,079,064","$51,079,064","December 3, 1976",['United States'],"['Calgary, Alberta, Canada']","['Frank Yablans Presentations', 'Miller-Milkis Productions', 'Twentieth Century Fox']","Nominated for 1 Oscar, 4 nominations total","['Buddy Comedy', 'Action', 'Comedy', 'Crime', 'Romance', 'Thriller']",['English']
https://www.imdb.com/title/tt0074483/?ref_=sr_i_7,"['Harry Julian Fink', 'Rita M. Fink', 'Stirling Silliphant']",['James Fargo'],"['Clint Eastwood', 'Tyne Daly', 'Harry Guardino', 'Bradford Dillman', 'John Mitchum', 'DeVeren Bookwalter', 'John Crawford', 'Samantha Doane', 'Bob Hoy', 'Jocelyn Jones']","$9,000,000 (estimated)",,"$46,236,000","$46,236,000","December 22, 1976",['United States'],"['Alcatraz Island, San Francisco Bay, California, USA']","['Warner Bros.', 'The Malpaso Company']","Awards, 2 nominations total","['One-Person Army Action', 'Police Procedural', 'Action', 'Crime', 'Thriller']",['English']
https://www.imdb.com/title/tt0075222/?ref_=sr_i_8,"['Mel Brooks', 'Ron Clark', 'Rudy De Luca']",['Mel Brooks'],"['Mel Brooks', 'Marty Feldman', 'Dom DeLuise', 'Sid Caesar', 'Harold Gould', 'Ron Carey', 'Bernadette Peters', 'Carol Arthur', 'Liam Dunn', 'Fritz Feld']","$4,400,000 (estimated)",,"$36,145,695","$36,145,695","June 16, 1976",['United States'],"['Beverly Hills, California, USA']",['Crossbow Productions'],"Awards, 1 win & 6 nominations total","['Dark Comedy', 'Parody', 'Slapstick', 'Comedy']",['English']
https://www.imdb.com/title/tt0075066/?ref_=sr_i_9,"['Frank Waldman', 'Blake Edwards']",['Blake Edwards'],"['Peter Sellers', 'Herbert Lom', 'Lesley-Anne Down', 'Burt Kwouk', 'Colin Blakely', 'Leonard Rossiter', 'André Maranne', 'Byron Kane', 'Howard K. Smith', 'Dick Crockett']","$6,000,000 (estimated)",,"$33,833,201","$33,833,201","December 15, 1976","['United Kingdom', 'United States']","['Munich, Bavaria, Germany (Hotel Bayerischer Hof and Oktoberfest)']",['Amjo Productions'],"Nominated for 1 Oscar, 2 wins & 3 nominations total","['Bumbling Detective', 'Farce', 'Slapstick', 'Comedy', 'Crime']",['English']
https://www.imdb.com/title/tt0074285/?ref_=sr_i_10,"['Stephen King', 'Lawrence D. Cohen']",['Brian De Palma'],"['Sissy Spacek', 'Piper Laurie', 'Amy Irving', 'John Travolta', 'William Katt', 'Nancy Allen', 'Betty Buckley', 'P.J. Soles', 'Priscilla Pointer', 'Sydney Lassick']","$1,800,000 (estimated)",,"$33,861,748","$33,800,000","November 16, 1976",['United States'],"[""124 N 7th St, Santa Paula, California, USA (Carrie White's house, demolished)""]",['Red Bank Films'],"Nominated for 2 Oscars, 6 wins & 9 nominations total","['Supernatural Horror', 'Teen Horror', 'Horror', 'Mystery']",['English']
https://www.imdb.com/title/tt0074174/?ref_=sr_i_11,['Bill Lancaster'],['Michael Ritchie'],"['Walter Matthau', ""Tatum O'Neal"", 'Vic Morrow', 'Joyce Van Patten', 'Ben Piazza', 'Jackie Earle Haley', 'Alfred Lutter III', 'Chris Barnes', 'Erin Blunt', 'Gary Lee Cavagnaro']",,,"$32,211,330","$32,211,330","April 7, 1976",['United States'],"['Mason Park - 10500 Mason Ave., Chatsworth, Los Angeles, California, USA (Little League Fields)']",['Paramount Pictures'],"Nominated for 1 BAFTA Award, 1 win & 2 nominations total","['Baseball', 'Farce', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'Family', 'Sport']","['English', 'Spanish']"
https://www.imdb.com/title/tt0075029/?ref_=sr_i_12,"['Forrest Carter', 'Philip Kaufman', 'Sonia Chernus']",['Clint Eastwood'],"['Clint Eastwood', 'Sondra Locke', 'Chief Dan George', 'Bill McKinney', 'John Vernon', 'Paula Trueman', 'Sam Bottoms', 'Geraldine Keams', 'Woodrow Parfrey', 'Joyce Jameson']","$3,700,000 (estimated)",,"$31,800,000","$31,800,000","June 30, 1976",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA']","['Warner Bros.', 'The Malpaso Company']","Nominated for 1 Oscar, 1 win & 2 nominations total","['Drama', 'Western']","['English', 'Navajo', 'Spanish']"
https://www.imdb.com/title/tt0075314/?ref_=sr_i_13,['Paul Schrader'],['Martin Scorsese'],"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks', 'Diahnne Abbott', 'Frank Adu', 'Victor Argo', 'Gino Ardito', 'Garth Avery', 'Peter Boyle']","$1,300,000 (estimated)","$116,458","$28,580,862","$28,262,574","February 9, 1976",['United States'],"['87 Columbia Heights, Brooklyn, New York, USA (Travis is buying guns at an apartment in Brooklyn Heights)']","['Columbia Pictures', 'Bill/Phillips', 'Italo/Judeo Productions']","Nominated for 4 Oscars, 22 wins & 21 nominations total","['Psychological Drama', 'Crime', 'Drama']","['English', 'Spanish']"
https://www.imdb.com/title/tt0076054/?ref_=sr_i_14,['Mary Rodgers'],['Gary Nelson'],"['Barbara Harris', 'Jodie Foster', 'John Astin', 'Patsy Kelly', 'Dick Van Patten', 'Vicki Schreck', 'Sorrell Booke', 'Alan Oppenheimer', 'Ruth Buzzi', 'Kaye Ballard']",,,"$25,942,000","$25,942,000","January 21, 1977",['United States'],"['Burbank, California, USA (vehicle stunts)']",['Walt Disney Productions'],"Awards, 3 nominations total","['Body Swap Comedy', 'Comedy', 'Family', 'Fantasy']",['English']
