Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Rocky,1976,2h,PG,8.1,656K,70,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,https://www.imdb.com/title/tt0075148/?ref_=sr_i_1
2. A Star Is Born,1976,2h 19m,R,6.1,14K,59,"Has-been singing idol John Norman Howard falls in love with young, up-and-coming songstress Esther Hoffman in Frank Pierson's version of the classic love story updated to the rock and roll era.",https://www.imdb.com/title/tt0075265/?ref_=sr_i_2
3. All the President's Men,1976,2h 18m,PG,7.9,131K,84,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",https://www.imdb.com/title/tt0074119/?ref_=sr_i_3
4. The Omen,1976,1h 51m,R,7.5,141K,62,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?,https://www.imdb.com/title/tt0075005/?ref_=sr_i_4
5. King Kong,1976,2h 14m,PG,6.0,37K,61,A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.,https://www.imdb.com/title/tt0074751/?ref_=sr_i_5
6. Silver Streak,1976,1h 54m,PG,6.9,23K,41,"On a long-distance train trip, a man finds romance but also finds himself in danger of being killed, or at least pushed off the train.",https://www.imdb.com/title/tt0075223/?ref_=sr_i_6
7. The Enforcer,1976,1h 36m,R,6.7,51K,58,"Inspector ""Dirty"" Harry Callahan reluctantly teams up with rookie Inspector Kate Moore to foil a terrorist organization made up of disgruntled Vietnam veterans.",https://www.imdb.com/title/tt0074483/?ref_=sr_i_7
8. Silent Movie,1976,1h 27m,PG,6.7,19K,75,A film director and his strange friends struggle to produce the first major silent feature film in forty years.,https://www.imdb.com/title/tt0075222/?ref_=sr_i_8
9. The Pink Panther Strikes Again,1976,1h 43m,PG,7.1,33K,60,"After escaping from an insane asylum, the bonkers Charles Dreyfus sends 26 assassins on the trail of the forever bumbling Inspector Clouseau.",https://www.imdb.com/title/tt0075066/?ref_=sr_i_9
10. Carrie,1976,1h 38m,R,7.4,217K,86,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",https://www.imdb.com/title/tt0074285/?ref_=sr_i_10
11. The Bad News Bears,1976,1h 42m,PG,7.3,26K,84,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",https://www.imdb.com/title/tt0074174/?ref_=sr_i_11
12. The Outlaw Josey Wales,1976,2h 15m,PG,7.8,83K,69,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,https://www.imdb.com/title/tt0075029/?ref_=sr_i_12
13. Taxi Driver,1976,1h 54m,R,8.2,972K,94,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",https://www.imdb.com/title/tt0075314/?ref_=sr_i_13
14. Freaky Friday,1976,1h 38m,G,6.3,15K,51,A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.,https://www.imdb.com/title/tt0076054/?ref_=sr_i_14
15. Network,1976,2h 1m,R,8.1,178K,83,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",https://www.imdb.com/title/tt0074958/?ref_=sr_i_15
16. Gus,1976,1h 36m,G,5.7,2.3K,52,"The inept 'California Atoms,' floundering in the cellar of the National Football League, welcome the team's newest member - a mule capable of place kicking a football 100 yards with deadly accuracy.",https://www.imdb.com/title/tt0074599/?ref_=sr_i_16
17. Marathon Man,1976,2h 5m,R,7.4,72K,64,"After the murder of his older brother, a New York history student is hounded by shadowy government agents on the trail of a Nazi war criminal who is trying to retrieve smuggled diamonds.",https://www.imdb.com/title/tt0074860/?ref_=sr_i_17
18. Lipstick,1976,1h 29m,R,5.6,2.9K,37,A top fashion model seeks justice after getting sexually assaulted by her teenage sister's obsessive music teacher.,https://www.imdb.com/title/tt0074802/?ref_=sr_i_18
19. The Shootist,1976,1h 40m,PG,7.6,28K,77,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,https://www.imdb.com/title/tt0075213/?ref_=sr_i_19
20. Lifeguard,1976,1h 36m,PG,6.6,1.9K,54,"Rick, still in his 30's, works full-time as a lifeguard on the beaches of Los Angeles. When he meets his divorced high school girlfriend and her five-year-old son after fifteen years, he considers switching to a more ""serious"" job.",https://www.imdb.com/title/tt0074798/?ref_=sr_i_20
"21. That's Entertainment, Part II",1976,2h 13m,G,7.3,2.5K,67,"The second installment in the ""That's Entertainment"" trilogy features more classic scenes from MGM's vast musical library with the addition of comedy and drama films.",https://www.imdb.com/title/tt0075323/?ref_=sr_i_21
22. The Big Bus,1976,1h 28m,PG,5.7,3.9K,,"A nuclear powered bus driving cross-country, from New York City to Colorado, is destined for disaster due to the machinations of a mysterious group allied with the oil lobby.",https://www.imdb.com/title/tt0074205/?ref_=sr_i_22
23. Bugsy Malone,1976,1h 33m,G,6.8,20K,71,The classic gangster story of Bugsy Malone told with an all-child cast.,https://www.imdb.com/title/tt0074256/?ref_=sr_i_23
24. The Tenant,1976,2h 6m,R,7.5,49K,71,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,https://www.imdb.com/title/tt0074811/?ref_=sr_i_24
25. The Last Tycoon,1976,2h 3m,PG,6.2,9.8K,57,F. Scott Fitzgerald's novel is brought to life in this story of a movie producer slowly working himself to death.,https://www.imdb.com/title/tt0074777/?ref_=sr_i_25
26. Mr. Klein,1976,2h 3m,PG,7.5,9.9K,,"In German-occupied Paris, an immoral art dealer, Robert Klein, leads a life of luxury, until a copy of a Jewish newspaper brings him to the attention of the police, linking him with a mysterious doppelgänger. Will Mr. Klein clear his name?",https://www.imdb.com/title/tt0074916/?ref_=sr_i_26
27. The Man Who Fell to Earth,1976,2h 19m,R,6.6,30K,81,"An alien must pose as a human to save his dying planet, but a woman and greed of other men create complications.",https://www.imdb.com/title/tt0074851/?ref_=sr_i_27
28. Pantaleon,1976,1h 40m,R,6.0,95,,"The Peruvian army captain Pantaleon Pantoja, a very serious and efficient officer, is chosen to set up a special service of 'visitors' to satisfy the sexual needs of the soldiers posted on remote jungle outposts.",https://www.imdb.com/title/tt0073510/?ref_=sr_i_28
29. Small Change,1976,1h 44m,PG,7.6,6.6K,,"The lives of a motherless boy, who is just starting to get interested in women, and his physically abused friend, who lives in poverty, are mixed with more or less innocent childhood experiences and challenges of a number of children.",https://www.imdb.com/title/tt0074152/?ref_=sr_i_29
30. The Innocent,1976,1h 52m,R,7.4,4.5K,,"Tullio Hermil is a chauvinist aristocrat who flaunts his mistress to his wife, but when he believes she has been unfaithful, he becomes enamored of her again.",https://www.imdb.com/title/tt0074686/?ref_=sr_i_30
31. Master of the Flying Guillotine,1976,1h 21m,R,7.4,5K,57,"After his students are killed by the One Armed Boxer, a vengeful and blind Kung Fu expert travels to a village where a martial arts contest is being held and vows to behead every one armed man he comes across.",https://www.imdb.com/title/tt0072913/?ref_=sr_i_31
32. A Real Young Girl,1976,1h 29m,Unrated,5.3,4.5K,55,"Reluctantly, a sulky adolescent returns to her parents' house for yet another boring summer vacation, dabbling in desire and the art of desirability, eventually mixing reality with vision, caged fantasies with the fierce female sexuality.",https://www.imdb.com/title/tt0135024/?ref_=sr_i_32
33. Stranger and the Fog,1976,2h 26m,,7.5,361,,"In a remote Iranian village, a boat arrives with a wounded man, Ayat, who has amnesia. Widow Ra'na is interested in him, causing family tensions. Villagers ask Ayat to marry, but he chooses Ra'na, leading to trouble.",https://www.imdb.com/title/tt0071549/?ref_=sr_i_33
34. Satan's Brew,1976,1h 52m,,6.7,2.2K,,"A famous poet who hasn't written a word in two years unconsciously plagiarizes the work of Stefan George, while dealing with several mistresses, his dim-witted brother, and a murder investigation.",https://www.imdb.com/title/tt0075165/?ref_=sr_i_34
35. Chinese Roulette,1976,1h 26m,Not Rated,7.2,4.9K,,"Both parents of a young teen who walks with crutches secretly meet their lovers, who both surprise each other at the family's country home. The daughter arrives and initiates a guessing game of ""Chinese roulette.""",https://www.imdb.com/title/tt0074312/?ref_=sr_i_35
"36. Ugly, Dirty and Bad",1976,1h 55m,Not Rated,7.7,9.4K,,"Four generations of a family live in a shantytown in the outskirts of Rome. The household engages in various forms of sexual idiosyncrasies, land swindles, incest, drugs and adultery.",https://www.imdb.com/title/tt0074252/?ref_=sr_i_36
37. The Marquise of O,1976,1h 42m,PG,7.0,3.1K,85,A German Marquise has to deal with a pregnancy she cannot explain and an infatuated Russian Count.,https://www.imdb.com/title/tt0074870/?ref_=sr_i_37
38. Chulas Fronteras,1976,58m,,7.3,195,,"""Chulas Fronteras"" examines the origins and social significance of the traditional Tejano (or 'Tex-Mex') music that developed along the U.S.-Mexico border.",https://www.imdb.com/title/tt0074316/?ref_=sr_i_38
39. Logan's Run,1976,1h 59m,PG,6.8,63K,53,A police officer in the future uncovers the deadly secret behind a society that worships youth.,https://www.imdb.com/title/tt0074812/?ref_=sr_i_39
40. 1900,1976,5h 17m,Unrated,7.6,28K,70,The epic tale of a class struggle in twentieth-century Italy as seen through the eyes of two childhood friends on opposing sides.,https://www.imdb.com/title/tt0074084/?ref_=sr_i_40
