Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Black Panther,2018,2h 14m,PG-13,7.3,869K,88,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",https://www.imdb.com/title/tt1825683/?ref_=sr_i_1
2. Avengers: Infinity War,2018,2h 29m,PG-13,8.4,1.3M,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://www.imdb.com/title/tt4154756/?ref_=sr_i_2
3. Incredibles 2,2018,1h 58m,PG,7.5,349K,80,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,https://www.imdb.com/title/tt3606756/?ref_=sr_i_3
4. Jurassic World: Fallen Kingdom,2018,2h 8m,PG-13,6.1,358K,51,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",https://www.imdb.com/title/tt4881806/?ref_=sr_i_4
5. Aquaman,2018,2h 23m,PG-13,6.8,536K,55,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",https://www.imdb.com/title/tt1477834/?ref_=sr_i_5
6. Deadpool 2,2018,1h 59m,R,7.6,708K,66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",https://www.imdb.com/title/tt5463162/?ref_=sr_i_6
7. The Grinch,2018,1h 25m,PG,6.4,103K,51,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,https://www.imdb.com/title/tt2709692/?ref_=sr_i_7
8. Mission: Impossible - Fallout,2018,2h 27m,PG-13,7.7,393K,87,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",https://www.imdb.com/title/tt4912910/?ref_=sr_i_8
9. Bohemian Rhapsody,2018,2h 14m,PG-13,7.9,620K,49,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",https://www.imdb.com/title/tt1727824/?ref_=sr_i_9
10. Ant-Man and the Wasp,2018,1h 58m,PG-13,7.0,469K,70,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",https://www.imdb.com/title/tt5095030/?ref_=sr_i_10
11. A Star Is Born,2018,2h 16m,R,7.6,434K,88,A hard-drinking country music star falls in love with a singer whose career quickly takes off.,https://www.imdb.com/title/tt1517451/?ref_=sr_i_11
12. Solo: A Star Wars Story,2018,2h 15m,PG-13,6.9,392K,62,"During an adventure in the criminal underworld, Han Solo meets his future co-pilot Chewbacca and Lando Calrissian years before joining the Rebel Alliance.",https://www.imdb.com/title/tt3778644/?ref_=sr_i_12
13. Venom,2018,1h 52m,PG-13,6.6,573K,35,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",https://www.imdb.com/title/tt1270797/?ref_=sr_i_13
14. Ralph Breaks the Internet,2018,1h 52m,PG,7.0,194K,71,"On a quest to save the video game 'Sugar Rush' and to find a replacement, Ralph and his best friend Vanellope travel to the World Wide Web through a Wi-Fi router they find at the arcade.",https://www.imdb.com/title/tt5848272/?ref_=sr_i_14
15. Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,723K,87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://www.imdb.com/title/tt4633694/?ref_=sr_i_15
16. A Quiet Place,2018,1h 30m,PG-13,7.5,625K,82,A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.,https://www.imdb.com/title/tt6644200/?ref_=sr_i_16
17. Crazy Rich Asians,2018,2h,PG-13,6.9,200K,74,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.,https://www.imdb.com/title/tt3104988/?ref_=sr_i_17
18. Mary Poppins Returns,2018,2h 10m,PG,6.7,98K,66,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",https://www.imdb.com/title/tt5028340/?ref_=sr_i_18
19. Hotel Transylvania 3: Summer Vacation,2018,1h 37m,PG,6.3,92K,54,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",https://www.imdb.com/title/tt5220122/?ref_=sr_i_19
20. Fantastic Beasts: The Crimes of Grindelwald,2018,2h 14m,PG-13,6.5,320K,52,"Gellert Grindelwald plans to raise an army of wizards to rule over non-magical beings. In response, Newt Scamander's former professor, Albus Dumbledore, seeks his help to stop him.",https://www.imdb.com/title/tt4123430/?ref_=sr_i_20
21. Halloween,2018,1h 46m,R,6.5,178K,67,"Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",https://www.imdb.com/title/tt1502407/?ref_=sr_i_21
22. The Meg,2018,1h 53m,PG-13,5.7,217K,46,A rescue mission to the bottom of the ocean is terrorized by a massive prehistoric shark.,https://www.imdb.com/title/tt4779682/?ref_=sr_i_22
23. Ocean's Eight,2018,1h 50m,PG-13,6.3,251K,61,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's annual Met Gala.,https://www.imdb.com/title/tt5164214/?ref_=sr_i_23
24. Ready Player One,2018,2h 20m,PG-13,7.4,513K,64,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",https://www.imdb.com/title/tt1677720/?ref_=sr_i_24
25. Bumblebee,2018,1h 54m,PG-13,6.7,198K,66,Bumblebee teams up with a teenage girl to protect the world while the Decepticons hunt him with the help of a secret agency.,https://www.imdb.com/title/tt4701182/?ref_=sr_i_25
26. Mamma Mia! Here We Go Again,2018,1h 54m,PG-13,6.6,115K,60,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",https://www.imdb.com/title/tt6911608/?ref_=sr_i_26
27. The Nun,2018,1h 36m,R,5.4,181K,46,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,https://www.imdb.com/title/tt5814060/?ref_=sr_i_27
28. Creed II,2018,2h 10m,PG-13,7.1,162K,66,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",https://www.imdb.com/title/tt6343314/?ref_=sr_i_28
29. Peter Rabbit,2018,1h 35m,PG,6.6,50K,51,"A rabbit sneaks into a garden to steal food, and they get a new challenge with a new owner.",https://www.imdb.com/title/tt5117670/?ref_=sr_i_29
30. The Mule,2018,1h 56m,R,7.0,160K,58,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,https://www.imdb.com/title/tt7959026/?ref_=sr_i_30
31. The Equalizer 2,2018,2h 1m,R,6.7,213K,50,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",https://www.imdb.com/title/tt3766354/?ref_=sr_i_31
32. Rampage,2018,1h 47m,PG-13,6.1,193K,45,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",https://www.imdb.com/title/tt2231461/?ref_=sr_i_32
33. A Wrinkle in Time,2018,1h 49m,PG,4.3,49K,53,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",https://www.imdb.com/title/tt1620680/?ref_=sr_i_33
34. Fifty Shades Freed,2018,1h 45m,R,4.5,78K,31,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",https://www.imdb.com/title/tt4477536/?ref_=sr_i_34
35. Christopher Robin,2018,1h 44m,PG,7.2,88K,60,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",https://www.imdb.com/title/tt4575576/?ref_=sr_i_35
36. Green Book,2018,2h 10m,PG-13,8.2,628K,69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,https://www.imdb.com/title/tt6966692/?ref_=sr_i_36
