Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,2.1M,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/?ref_=sr_i_1
2. Finding Nemo,2003,1h 40m,G,8.2,1.2M,90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://www.imdb.com/title/tt0266543/?ref_=sr_i_2
3. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.3M,63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",https://www.imdb.com/title/tt0325980/?ref_=sr_i_3
4. The Matrix Reloaded,2003,2h 18m,R,7.2,649K,62,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",https://www.imdb.com/title/tt0234215/?ref_=sr_i_4
5. Bruce Almighty,2003,1h 41m,PG-13,6.8,450K,46,A whiny news reporter is given the chance to step into God's shoes.,https://www.imdb.com/title/tt0315327/?ref_=sr_i_5
6. X2: X-Men United,2003,2h 14m,PG-13,7.4,595K,68,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",https://www.imdb.com/title/tt0290334/?ref_=sr_i_6
7. Elf,2003,1h 37m,PG,7.1,329K,66,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",https://www.imdb.com/title/tt0319343/?ref_=sr_i_7
8. Terminator 3: Rise of the Machines,2003,1h 49m,R,6.3,427K,66,John Connor must face a female Terminatrix with power over all the machines. But a new Terminator unit a T-850 sent back through time will guide him through the coming battle.,https://www.imdb.com/title/tt0181852/?ref_=sr_i_8
9. The Matrix Revolutions,2003,2h 9m,R,6.7,559K,47,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,https://www.imdb.com/title/tt0242653/?ref_=sr_i_9
10. Cheaper by the Dozen,2003,1h 38m,PG,5.9,112K,46,"With his wife on a book tour, Tom Baker finds his life turned upside down when he agrees to care for his twelve children while simultaneously also coaching his new football team.",https://www.imdb.com/title/tt0349205/?ref_=sr_i_10
11. Bad Boys II,2003,2h 27m,R,6.6,280K,38,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,https://www.imdb.com/title/tt0172156/?ref_=sr_i_11
12. Anger Management,2003,1h 46m,PG-13,6.3,234K,52,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",https://www.imdb.com/title/tt0305224/?ref_=sr_i_12
13. Bringing Down the House,2003,1h 45m,PG-13,5.6,40K,39,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",https://www.imdb.com/title/tt0305669/?ref_=sr_i_13
14. Hulk,2003,2h 18m,PG-13,5.6,285K,54,"Bruce Banner, a genetics researcher with a tragic past, suffers a lab accident that makes him transform into a raging, giant green monster when angered, making him a target of forces seeking to abuse his power.",https://www.imdb.com/title/tt0286716/?ref_=sr_i_14
15. 2 Fast 2 Furious,2003,1h 47m,PG-13,5.9,309K,38,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,https://www.imdb.com/title/tt0322259/?ref_=sr_i_15
