Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Star Wars: Episode I - The Phantom Menace,1999,2h 16m,PG,6.5,886K,51,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.",https://www.imdb.com/title/tt0120915/?ref_=sr_i_1
2. The Sixth Sense,1999,1h 47m,PG-13,8.2,1.1M,64,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",https://www.imdb.com/title/tt0167404/?ref_=sr_i_2
3. Toy Story 2,1999,1h 32m,G,7.9,642K,88,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",https://www.imdb.com/title/tt0120363/?ref_=sr_i_3
4. Austin Powers: The Spy Who Shagged Me,1999,1h 35m,PG-13,6.7,255K,59,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",https://www.imdb.com/title/tt0145660/?ref_=sr_i_4
5. The Matrix,1999,2h 16m,R,8.7,2.1M,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://www.imdb.com/title/tt0133093/?ref_=sr_i_5
6. Tarzan,1999,1h 28m,G,7.3,258K,80,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,https://www.imdb.com/title/tt0120855/?ref_=sr_i_6
7. Big Daddy,1999,1h 33m,PG-13,6.4,242K,42,"A lazy law school graduate adopts a kid to impress his girlfriend, but everything doesn't go as planned.",https://www.imdb.com/title/tt0142342/?ref_=sr_i_7
8. The Mummy,1999,2h 4m,PG-13,7.1,480K,48,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",https://www.imdb.com/title/tt0120616/?ref_=sr_i_8
9. Runaway Bride,1999,1h 56m,PG,5.6,107K,39,"For his latest column in USA Today, Ike Graham writes about Maggie, who always leaves all her fiances standing at the altar. He is fired as she complains to the newspaper for inaccuracies in her story.",https://www.imdb.com/title/tt0163187/?ref_=sr_i_9
10. The Blair Witch Project,1999,1h 21m,R,6.5,300K,80,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",https://www.imdb.com/title/tt0185937/?ref_=sr_i_10
11. Stuart Little,1999,1h 24m,PG,6.0,155K,61,"When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.",https://www.imdb.com/title/tt0164912/?ref_=sr_i_11
12. The Green Mile,1999,3h 9m,R,8.6,1.5M,61,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,https://www.imdb.com/title/tt0120689/?ref_=sr_i_12
13. American Beauty,1999,2h 2m,R,8.3,1.2M,84,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,https://www.imdb.com/title/tt0169547/?ref_=sr_i_13
14. The World Is Not Enough,1999,2h 8m,PG-13,6.4,214K,57,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",https://www.imdb.com/title/tt0143145/?ref_=sr_i_14
15. Double Jeopardy,1999,1h 45m,R,6.5,100K,41,"Libby Parsons, wrongly convicted for her husband Nick's murder, thinks he is still alive and wants to settle the score and find their son. As she has been tried for the crime, she cannot be re-prosecuted if she finds and kills Nick.",https://www.imdb.com/title/tt0150377/?ref_=sr_i_15
16. Notting Hill,1999,2h 4m,PG-13,7.2,363K,68,"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.",https://www.imdb.com/title/tt0125439/?ref_=sr_i_16
17. Wild Wild West,1999,1h 46m,PG-13,4.9,170K,40,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.",https://www.imdb.com/title/tt0120891/?ref_=sr_i_17
18. Analyze This,1999,1h 43m,R,6.7,165K,60,A comedy about a psychiatrist whose number-one patient is an insecure mob boss.,https://www.imdb.com/title/tt0122933/?ref_=sr_i_18
19. The General's Daughter,1999,1h 56m,R,6.4,65K,47,"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point.",https://www.imdb.com/title/tt0144214/?ref_=sr_i_19
20. American Pie,1999,1h 35m,R,7.0,449K,58,Four teenage boys enter a pact to lose their virginity by prom night.,https://www.imdb.com/title/tt0163651/?ref_=sr_i_20
21. Sleepy Hollow,1999,1h 45m,R,7.3,397K,65,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,https://www.imdb.com/title/tt0162661/?ref_=sr_i_21
22. Inspector Gadget,1999,1h 18m,PG,4.2,52K,36,A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.,https://www.imdb.com/title/tt0141369/?ref_=sr_i_22
23. The Haunting,1999,1h 53m,PG-13,5.0,82K,42,"Dr Marrow enlists Theo, Luke and Nell for a study of sleep disorders at the Hill House. As soon as the terrifying truth about the mansion is revealed, everyone is found fighting for their lives.",https://www.imdb.com/title/tt0171363/?ref_=sr_i_23
24. Entrapment,1999,1h 53m,PG-13,6.3,127K,54,"Insurance investigator Virginia Baker deems that the thief Robert MacDougal has robbed a Rembrandt painting. To retrieve the painting, she poses as an art thief, cooperating with him in criminal acts.",https://www.imdb.com/title/tt0137494/?ref_=sr_i_24
25. Payback,1999,1h 40m,R,7.1,149K,46,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money.",https://www.imdb.com/title/tt0120784/?ref_=sr_i_25
26. The Talented Mr. Ripley,1999,2h 19m,R,7.4,260K,76,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.",https://www.imdb.com/title/tt0134119/?ref_=sr_i_26
27. Any Given Sunday,1999,2h 42m,R,6.9,128K,52,A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,https://www.imdb.com/title/tt0146838/?ref_=sr_i_27
28. Deep Blue Sea,1999,1h 45m,R,5.9,147K,54,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",https://www.imdb.com/title/tt0149261/?ref_=sr_i_28
29. Galaxy Quest,1999,1h 42m,PG,7.4,185K,70,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",https://www.imdb.com/title/tt0177789/?ref_=sr_i_29
30. The Thomas Crown Affair,1999,1h 53m,R,6.9,104K,72,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",https://www.imdb.com/title/tt0155267/?ref_=sr_i_30
31. Blue Streak,1999,1h 33m,PG-13,6.4,91K,46,A former convict poses as a cop to retrieve a diamond he stole years ago.,https://www.imdb.com/title/tt0181316/?ref_=sr_i_31
32. End of Days,1999,2h 2m,R,5.8,119K,34,"At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him.",https://www.imdb.com/title/tt0146675/?ref_=sr_i_32
33. The Bone Collector,1999,1h 58m,R,6.7,193K,45,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.,https://www.imdb.com/title/tt0145681/?ref_=sr_i_33
34. Bowfinger,1999,1h 37m,PG-13,6.5,76K,73,"When a desperate movie producer fails to get a major star for his bargain-basement film, he decides to shoot the film secretly around him.",https://www.imdb.com/title/tt0131325/?ref_=sr_i_34
35. Deuce Bigalow: Male Gigolo,1999,1h 28m,R,5.7,82K,30,"An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself.",https://www.imdb.com/title/tt0205000/?ref_=sr_i_35
36. Life,1999,1h 48m,R,6.8,57K,63,"In 1932, two strangers are wrongfully convicted and develop a strong friendship in prison that lasts them through the 20th century.",https://www.imdb.com/title/tt0123964/?ref_=sr_i_36
37. She's All That,1999,1h 35m,PG-13,5.9,107K,51,"When Zack's famous girlfriend, Taylor, cheats on him with another boy and parts ways with him, he makes a bet with his friends to turn a socially inept Laney into their high school's next prom queen.",https://www.imdb.com/title/tt0160862/?ref_=sr_i_37
38. Fantasia 2000,1999,1h 15m,G,7.1,43K,59,An update of the original film with new interpretations of great works of classical music.,https://www.imdb.com/title/tt0120910/?ref_=sr_i_38
39. Three Kings,1999,1h 54m,R,7.1,184K,82,"In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",https://www.imdb.com/title/tt0120188/?ref_=sr_i_39
40. Bicentennial Man,1999,2h 12m,PG,6.9,128K,42,"The life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",https://www.imdb.com/title/tt0182789/?ref_=sr_i_40
41. The Cider House Rules,1999,2h 6m,PG-13,7.4,107K,75,"During World War II, an orphan grows up under the tutelage of a doctor who runs an orphanage. However, he yearns for freedom and soon decides to leave in order to make a life for himself.",https://www.imdb.com/title/tt0124315/?ref_=sr_i_41
42. Eyes Wide Shut,1999,2h 39m,TV-MA,7.5,396K,69,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.",https://www.imdb.com/title/tt0120663/?ref_=sr_i_42
43. Never Been Kissed,1999,1h 47m,PG-13,6.0,100K,60,A newspaper reporter enrolls in high school as part of research for a story.,https://www.imdb.com/title/tt0151738/?ref_=sr_i_43
44. Forces of Nature,1999,1h 45m,PG-13,5.5,37K,46,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.,https://www.imdb.com/title/tt0141098/?ref_=sr_i_44
45. Varsity Blues,1999,1h 46m,R,6.5,51K,50,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,https://www.imdb.com/title/tt0139699/?ref_=sr_i_45
46. Message in a Bottle,1999,2h 6m,PG-13,6.3,41K,40,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",https://www.imdb.com/title/tt0139462/?ref_=sr_i_46
"47. South Park: Bigger, Longer & Uncut",1999,1h 21m,R,7.7,220K,73,"When Eric Cartman and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",https://www.imdb.com/title/tt0158983/?ref_=sr_i_47
48. The Hurricane,1999,2h 26m,R,7.6,105K,74,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",https://www.imdb.com/title/tt0174856/?ref_=sr_i_48
49. Stigmata,1999,1h 43m,R,6.2,74K,28,"When a young woman becomes afflicted by stigmata, a priest is sent to investigate her case, which may have severe ramifications for his faith and for the Catholic Church itself.",https://www.imdb.com/title/tt0145531/?ref_=sr_i_49
50. Pokémon the Movie 2000,1999,1h 39m,G,6.1,25K,28,"Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.",https://www.imdb.com/title/tt0210234/?ref_=sr_i_50
51. House on Haunted Hill,1999,1h 33m,R,5.6,62K,28,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",https://www.imdb.com/title/tt0185371/?ref_=sr_i_51
52. Anna and the King,1999,2h 28m,PG-13,6.7,40K,56,"The story of the romance between the King of Siam and widowed British schoolteacher, Anna Leonowens, during the 1860s.",https://www.imdb.com/title/tt0166485/?ref_=sr_i_52
53. Cruel Intentions,1999,1h 37m,R,6.8,213K,56,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,https://www.imdb.com/title/tt0139134/?ref_=sr_i_53
54. 10 Things I Hate About You,1999,1h 37m,PG-13,7.3,415K,70,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.",https://www.imdb.com/title/tt0147800/?ref_=sr_i_54
55. Fight Club,1999,2h 19m,R,8.8,2.4M,67,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/?ref_=sr_i_55
56. My Favorite Martian,1999,1h 34m,PG,5.1,15K,33,A Martian lands on Earth and makes friends with a reporter.,https://www.imdb.com/title/tt0120764/?ref_=sr_i_56
57. 8MM,1999,2h 3m,R,6.6,147K,21,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.",https://www.imdb.com/title/tt0134273/?ref_=sr_i_57
58. For Love of the Game,1999,2h 17m,PG-13,6.6,39K,43,"After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there.",https://www.imdb.com/title/tt0126916/?ref_=sr_i_58
59. Man on the Moon,1999,1h 58m,R,7.4,140K,58,The life and career of legendary comedian Andy Kaufman.,https://www.imdb.com/title/tt0125664/?ref_=sr_i_59
60. Instinct,1999,2h 6m,R,6.5,35K,43,"When noted anthropologist Dr. Ethan Powell, who left society to live in the jungle, is imprisoned for murder, it's up to young psychiatrist Theo Caulder to get through to him.",https://www.imdb.com/title/tt0128278/?ref_=sr_i_60
61. The Best Man,1999,2h,R,6.7,12K,61,"Just before his best friend's wedding, the life of a Chicago writer becomes crazy when his best friend guesses that his new book's story is based on his bride's fervent past.",https://www.imdb.com/title/tt0168501/?ref_=sr_i_61
62. Mickey Blue Eyes,1999,1h 42m,PG-13,5.9,39K,49,"An English auctioneer proposes to the daughter of a Mafia kingpin, only to realize that certain ""favors"" would be asked of him.",https://www.imdb.com/title/tt0130121/?ref_=sr_i_62
63. The 13th Warrior,1999,1h 42m,R,6.6,135K,42,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.",https://www.imdb.com/title/tt0120657/?ref_=sr_i_63
64. October Sky,1999,1h 48m,PG,7.8,101K,71,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",https://www.imdb.com/title/tt0132477/?ref_=sr_i_64
65. Lake Placid,1999,1h 22m,R,5.8,68K,34,"Four people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine.",https://www.imdb.com/title/tt0139414/?ref_=sr_i_65
66. Random Hearts,1999,2h 13m,R,5.4,25K,38,"Police Sergeant Dutch Van Den Broek and U.S. Representative Kay Chandler lose their spouses in a plane crash, and they soon discover that their spouses were having an affair with each other.",https://www.imdb.com/title/tt0156934/?ref_=sr_i_66
