Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Bad Boys for Life,2020,2h 4m,R,6.5,190K,59,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,https://www.imdb.com/title/tt1502397/?ref_=sr_i_1
2. A Quiet Place Part II,2020,1h 37m,PG-13,7.2,302K,71,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",https://www.imdb.com/title/tt8332922/?ref_=sr_i_2
3. Sonic the Hedgehog,2020,1h 39m,PG,6.5,179K,47,"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination.",https://www.imdb.com/title/tt3794354/?ref_=sr_i_3
4. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,1h 49m,R,6.1,273K,60,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",https://www.imdb.com/title/tt7713068/?ref_=sr_i_4
5. Dolittle,2020,1h 41m,PG,5.6,74K,26,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,https://www.imdb.com/title/tt6673612/?ref_=sr_i_5
6. The Invisible Man,2020,2h 4m,R,7.1,270K,72,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",https://www.imdb.com/title/tt1051906/?ref_=sr_i_6
7. The Call of the Wild,2020,1h 40m,PG,6.7,61K,48,A sled dog struggles for survival in the wilds of the Yukon.,https://www.imdb.com/title/tt7504726/?ref_=sr_i_7
8. Onward,2020,1h 42m,PG,7.4,178K,61,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",https://www.imdb.com/title/tt7146812/?ref_=sr_i_8
9. The Croods: A New Age,2020,1h 35m,PG,6.9,57K,56,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",https://www.imdb.com/title/tt2850386/?ref_=sr_i_9
10. Tenet,2020,2h 30m,PG-13,7.3,626K,69,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",https://www.imdb.com/title/tt6723592/?ref_=sr_i_10
11. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,TV-MA,8.2,83K,72,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",https://www.imdb.com/title/tt11032374/?ref_=sr_i_11
12. Wonder Woman 1984,2020,2h 31m,PG-13,5.4,300K,60,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",https://www.imdb.com/title/tt7126948/?ref_=sr_i_12
13. Fantasy Island,2020,1h 49m,PG-13,4.9,61K,22,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",https://www.imdb.com/title/tt0983946/?ref_=sr_i_13
14. The New Mutants,2020,1h 34m,PG-13,5.3,96K,43,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",https://www.imdb.com/title/tt4682266/?ref_=sr_i_14
15. Like a Boss,2020,1h 23m,R,4.7,16K,33,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,https://www.imdb.com/title/tt7545266/?ref_=sr_i_15
16. The War with Grandpa,2020,1h 34m,PG,5.7,26K,34,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",https://www.imdb.com/title/tt4532038/?ref_=sr_i_16
17. Unhinged,2020,1h 30m,R,6.0,83K,40,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",https://www.imdb.com/title/tt10059518/?ref_=sr_i_17
18. The Photograph,2020,1h 46m,PG-13,6.1,6.4K,62,A series of intertwining love stories set in the past and in the present.,https://www.imdb.com/title/tt7798646/?ref_=sr_i_18
19. Underwater,2020,1h 35m,PG-13,5.9,103K,48,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,https://www.imdb.com/title/tt5774060/?ref_=sr_i_19
20. The Turning,2020,1h 34m,PG-13,3.9,17K,35,"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",https://www.imdb.com/title/tt7510346/?ref_=sr_i_20
21. Gretel & Hansel,2020,1h 27m,PG-13,5.5,37K,64,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",https://www.imdb.com/title/tt9086228/?ref_=sr_i_21
22. Monster Hunter,2020,1h 43m,PG-13,5.2,71K,47,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",https://www.imdb.com/title/tt6475714/?ref_=sr_i_22
23. Honest Thief,2020,1h 39m,PG-13,6.0,60K,46,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",https://www.imdb.com/title/tt1838556/?ref_=sr_i_23
24. The Way Back,2020,1h 48m,R,6.7,55K,66,"Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",https://www.imdb.com/title/tt8544498/?ref_=sr_i_24
25. News of the World,2020,1h 58m,PG-13,6.8,98K,73,A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.,https://www.imdb.com/title/tt6878306/?ref_=sr_i_25
26. Brahms: The Boy II,2020,1h 26m,PG-13,4.7,22K,29,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",https://www.imdb.com/title/tt9173418/?ref_=sr_i_26
27. Bloodshot,2020,1h 49m,PG-13,5.7,88K,44,"Ray Garrison, a slain soldier, is re-animated with superpowers.",https://www.imdb.com/title/tt1634106/?ref_=sr_i_27
28. Impractical Jokers: The Movie,2020,1h 32m,PG-13,5.7,7.5K,39,The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.,https://www.imdb.com/title/tt9208444/?ref_=sr_i_28
29. Come Play,2020,1h 36m,PG-13,5.8,19K,58,A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,https://www.imdb.com/title/tt8004664/?ref_=sr_i_29
30. Emma.,2020,2h 4m,PG,6.7,67K,71,"In 1800s England, a well-meaning but selfish young woman meddles in her friends' love lives.",https://www.imdb.com/title/tt9214832/?ref_=sr_i_30
31. I Still Believe,2020,1h 56m,PG,6.5,14K,41,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that proves that there is always hope.,https://www.imdb.com/title/tt9779516/?ref_=sr_i_31
32. Let Him Go,2020,1h 53m,R,6.7,37K,63,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",https://www.imdb.com/title/tt9340860/?ref_=sr_i_32
33. Freaky,2020,1h 42m,R,6.3,77K,67,"After swapping bodies with a deranged serial killer, a high-school senior discovers that she has fewer than 24 hours before the change becomes permanent.",https://www.imdb.com/title/tt10919380/?ref_=sr_i_33
34. Downhill,2020,1h 26m,R,4.9,14K,49,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",https://www.imdb.com/title/tt4558376/?ref_=sr_i_34
35. The Night House,2020,1h 47m,R,6.4,72K,68,A widow begins to uncover her recently deceased husband's disturbing secrets.,https://www.imdb.com/title/tt9731534/?ref_=sr_i_35
36. The Courier,2020,1h 52m,PG-13,7.2,78K,65,Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,https://www.imdb.com/title/tt8368512/?ref_=sr_i_36
37. Promising Young Woman,2020,1h 53m,R,7.5,223K,72,"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",https://www.imdb.com/title/tt9620292/?ref_=sr_i_37
38. Fatale,2020,1h 42m,R,5.5,15K,42,"After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",https://www.imdb.com/title/tt8829830/?ref_=sr_i_38
39. The Hunt,2020,1h 30m,R,6.6,142K,50,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",https://www.imdb.com/title/tt8244784/?ref_=sr_i_39
40. The Rhythm Section,2020,1h 49m,R,5.4,20K,45,A woman seeks revenge against those who orchestrated a plane crash that killed her family.,https://www.imdb.com/title/tt7134096/?ref_=sr_i_40
41. Zola,2020,1h 26m,R,6.4,19K,76,A stripper named Zola embarks on a wild road trip to Florida.,https://www.imdb.com/title/tt5439812/?ref_=sr_i_41
42. The SpongeBob Movie: Sponge on the Run,2020,1h 31m,PG,5.9,24K,65,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to the Lost City of Atlantic City to bring Gary home.",https://www.imdb.com/title/tt4823776/?ref_=sr_i_42
43. The Broken Hearts Gallery,2020,1h 49m,PG-13,6.3,11K,57,"After a break-up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",https://www.imdb.com/title/tt2140571/?ref_=sr_i_43
44. Nomadland,2020,1h 47m,R,7.3,192K,87,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",https://www.imdb.com/title/tt9770150/?ref_=sr_i_44
45. Bill & Ted Face the Music,2020,1h 31m,PG-13,5.9,55K,65,"Once told they'd save the universe during a time-traveling adventure, two would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",https://www.imdb.com/title/tt1086064/?ref_=sr_i_45
46. Minari,2020,1h 55m,PG-13,7.4,103K,89,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",https://www.imdb.com/title/tt10633456/?ref_=sr_i_46
47. The Empty Man,2020,2h 17m,R,6.2,43K,,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.",https://www.imdb.com/title/tt5867314/?ref_=sr_i_47
48. My Boyfriend's Meds,2020,1h 40m,R,4.6,520,,A woman's island getaway with her boyfriend is thrown for a loop when he forgets to take his prescription medications along.,https://www.imdb.com/title/tt8976664/?ref_=sr_i_48
49. Dream Horse,2020,1h 53m,PG,6.9,7.4K,68,"Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",https://www.imdb.com/title/tt9883996/?ref_=sr_i_49
50. Finding You,2020,1h 59m,PG,6.4,9.5K,41,"Violinist Finley Sinclair travels to an Irish coastal village to begin a semester of studying abroad. At the B&B run by her host family, she encounters gregarious, persistent heartthrob movie star Beckett Rush.",https://www.imdb.com/title/tt8760280/?ref_=sr_i_50
51. Words on Bathroom Walls,2020,1h 50m,PG-13,7.2,15K,61,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition.",https://www.imdb.com/title/tt8045906/?ref_=sr_i_51
52. After We Collided,2020,1h 45m,R,5.1,41K,14,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",https://www.imdb.com/title/tt10362466/?ref_=sr_i_52
53. Half Brothers,2020,1h 36m,PG-13,6.1,4.4K,30,"Renato, a Mexican aviation exec, is shocked to learn that he has an American half-brother he never knew about: free-spirited Asher. They are forced on a road trip together, tracing the path their father took from Mexico to the U.S.",https://www.imdb.com/title/tt10515926/?ref_=sr_i_53
54. Scoob!,2020,1h 33m,PG,5.6,31K,43,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.",https://www.imdb.com/title/tt3152592/?ref_=sr_i_54
55. The Father,2020,1h 37m,PG-13,8.2,211K,88,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",https://www.imdb.com/title/tt10272386/?ref_=sr_i_55
56. The Rental,2020,1h 28m,R,5.7,41K,62,Two couples rent a vacation home for what should be a celebratory weekend get-away.,https://www.imdb.com/title/tt10003008/?ref_=sr_i_56
57. The Duke,2020,1h 35m,R,6.9,15K,74,"In 1961, Kempton Bunton, a 60 year old taxi driver, steals Goya's portrait of the Duke of Wellington from the National Gallery in London.",https://www.imdb.com/title/tt11204094/?ref_=sr_i_57
58. ¿Y cómo es él?,2020,1h 35m,PG-13,5.5,280,,"Tomás is a meek man on the verge of a nervous breakdown. Despite his situation he decides to fake a work trip to go to Vallarta to confront Jero, a taxi driver who is sleeping with his wife.",https://www.imdb.com/title/tt8928230/?ref_=sr_i_58
59. Joe Bell,2020,1h 34m,R,6.2,10K,54,"A working-class father embarks on a nationwide walk to combat bullying after his son's high school bullying, realizing he's missing out on his son's life back home.",https://www.imdb.com/title/tt4651466/?ref_=sr_i_59
60. 2 Hearts,2020,1h 41m,PG-13,6.3,10K,29,"For two couples the future unfolds in different decades and different places, but a hidden connection will bring them together in a way no one could have predicted.",https://www.imdb.com/title/tt5616176/?ref_=sr_i_60
61. Peninsula,2020,1h 56m,Not Rated,5.5,40K,51,"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",https://www.imdb.com/title/tt8850222/?ref_=sr_i_61
62. True to the Game 2,2020,1h 34m,R,4.5,511,,"After her friend's death, a NYC journalist becomes the target of a criminal looking to collect on a debt.",https://www.imdb.com/title/tt11237714/?ref_=sr_i_62
63. Love and Monsters,2020,1h 49m,PG-13,6.9,152K,63,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart.",https://www.imdb.com/title/tt2222042/?ref_=sr_i_63
