Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Butch Cassidy and the Sundance Kid,1969,1h 50m,PG,8.0,232K,66,"In 1890s Wyoming, Butch Cassidy and The Sundance Kid lead a band of outlaws. When a train robbery goes wrong, they find themselves on the run with a posse hard on their heels..",https://www.imdb.com/title/tt0064115/?ref_=sr_i_1
2. The Love Bug,1969,1h 48m,G,6.5,18K,48,"Down-on-his-luck race car driver Jim Douglas teams up with a little VW Bug that has a mind of it's own, not realizing Herbie's worth until a sneaky rival plots to steal him.",https://www.imdb.com/title/tt0064603/?ref_=sr_i_2
3. Midnight Cowboy,1969,1h 53m,R,7.8,126K,79,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",https://www.imdb.com/title/tt0064665/?ref_=sr_i_3
4. On Her Majesty's Secret Service,1969,2h 22m,PG,6.7,103K,61,"British agent James Bond goes undercover to pursue the villainous Ernst Stavro Blofeld, who is planning to hold the world to ransom.",https://www.imdb.com/title/tt0064757/?ref_=sr_i_4
5. Paint Your Wagon,1969,2h 44m,PG-13,6.6,15K,50,Two unlikely prospector partners share the same wife in a California gold rush mining town.,https://www.imdb.com/title/tt0064782/?ref_=sr_i_5
6. Fellini - Satyricon,1969,2h 9m,R,6.8,18K,,A series of disjointed mythical tales set in first-century Rome.,https://www.imdb.com/title/tt0064940/?ref_=sr_i_6
7. Army of Shadows,1969,2h 25m,Not Rated,8.1,27K,99,An account of underground resistance fighters in Nazi-occupied France.,https://www.imdb.com/title/tt0064040/?ref_=sr_i_7
8. The Wild Bunch,1969,2h 15m,R,7.9,93K,98,"An aging group of outlaws in 1913 Texas look for one last big score, selling stolen Army rifles to a rogue Mexican general during that country's revolution, as the traditional American West is disappearing around them.",https://www.imdb.com/title/tt0065214/?ref_=sr_i_8
"9. Hello, Dolly!",1969,2h 26m,G,7.0,18K,51,"Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way.",https://www.imdb.com/title/tt0064418/?ref_=sr_i_9
10. True Grit,1969,2h 8m,G,7.4,53K,83,"A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory.",https://www.imdb.com/title/tt0065126/?ref_=sr_i_10
11. The Swimming Pool,1969,2h 2m,16+,7.1,15K,76,"Jean-Paul and Marianne spend lazy holidays at their villa in idyllic Southern France. However when Harry and his attractive young daughter Penelope show up, the dreamy summer days are suddenly filled with unspoken tension and jealousy.",https://www.imdb.com/title/tt0064816/?ref_=sr_i_11
12. Easy Rider,1969,1h 35m,R,7.2,120K,85,"Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware.",https://www.imdb.com/title/tt0064276/?ref_=sr_i_12
13. Z,1969,2h 7m,M/PG,8.1,33K,86,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,https://www.imdb.com/title/tt0065234/?ref_=sr_i_13
14. Mississippi Mermaid,1969,2h 3m,R,6.9,7.7K,,A wealthy plantation owner is captivated by a mysterious woman with a shady past.,https://www.imdb.com/title/tt0064990/?ref_=sr_i_14
"15. Float Like a Butterfly, Sting Like a Bee",1969,1h 34m,Not Rated,7.6,712,77,"He's the greatest fighter of all time. A sports icon that is loved throughout the world. A man driven by his ambition to be the best. Muhammad Ali is a name that to this day puts fear in the strongest of men. Hear from the people who knew him best, from experts of the world of boxing, relive the legendary fights and explore the life of boxing's greatest symbol, Ali.",https://www.imdb.com/title/tt0219935/?ref_=sr_i_15
16. The Sorrow and the Pity,1969,4h 11m,PG,8.1,4.2K,,An in-depth exploration of the various reactions by the French people to the Vichy government's acceptance of the German invasion.,https://www.imdb.com/title/tt0066904/?ref_=sr_i_16
17. Duet for Cannibals,1969,1h 45m,,6.5,290,,"About a secretary who is subjected to a power game by his new employer, an exiled former revolutionary leader and his wife.",https://www.imdb.com/title/tt0062916/?ref_=sr_i_17
