Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Il trittico dell'amore,1920,,,,,,,https://www.imdb.com/title/tt0925301/?ref_=sr_i_1,"['Mimi Aylmer', 'Lorenzo Benini', 'Rina Calabria']",['Ugo Falena'],"['Mimi Aylmer', 'Lorenzo Benini', 'Rina Calabria', 'Claudio Caparelli', 'Silvia Malinverni', 'Ignazio Mascalchi', 'Marion May', 'Maria Melato', 'Pietro Pezzullo', 'Filippo Ricci']",,"$2,235","$80,374","$80,374",April 1920,['Italy'],,['Bernini Film'],,[],"['None', 'Italian']"
2. The Cabinet of Dr. Caligari,1920,1h 7m,Not Rated,8.0,73K,,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",https://www.imdb.com/title/tt0010323/?ref_=sr_i_2,"['Carl Mayer', 'Hans Janowitz']",['Robert Wiene'],"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover', 'Hans Heinrich von Twardowski', 'Rudolf Lettinger', 'Rudolf Klein-Rogge', 'Hans Lanser-Ludolff', 'Henri Peters-Arnolds', 'Ludwig Rex']","$18,000 (estimated)",,"$9,297","$8,811","February 27, 1920",['Germany'],"['Lixie-Atelier, Weißensee, Berlin, Germany (Studio)']",['Decla-Bioscop AG'],"Awards, 2 wins & 1 nomination total","['Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",['German']
3. The Golem,1920,1h 31m,Unrated,7.2,9K,,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",https://www.imdb.com/title/tt0011237/?ref_=sr_i_3,"['Paul Wegener', 'Henrik Galeen']","['Paul Wegener', 'Carl Boese']","['Paul Wegener', 'Albert Steinrück', 'Ernst Deutsch', 'Lyda Salmonova', 'Hans Stürm', 'Max Kronert', 'Otto Gebühr', 'Lothar Müthel', 'Greta Schröder', 'Carl Ebert']",,,,,"June 19, 1921",['Germany'],"['Berliner Union-Film, Oberlandstraße 26-35, Tempelhof, Berlin, Germany (Studio)']",['Projektions-AG Union (PAGU)'],"Awards, 1 win & 1 nomination total","['Fantasy', 'Horror']",['German']
4. Dr. Jekyll and Mr. Hyde,1920,1h 9m,Unrated,6.9,6.3K,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",https://www.imdb.com/title/tt0011130/?ref_=sr_i_4,"['Robert Louis Stevenson', 'Clara Beranger', 'Thomas Russell Sullivan']",['John S. Robertson'],"['John Barrymore', 'Martha Mansfield', 'Brandon Hurst', 'Charles Lane', 'Cecil Clovelly', 'Nita Naldi', 'Louis Wolheim', 'Alma Aiken', 'J. Malcolm Dunn', 'Ferdinand Gottschalk']",,,,,"September 28, 1920",['United States'],"['Tilford Studio - 344 West 44th Street, Manhattan, New York City, New York, USA (Studio)']",['Paramount Pictures'],,"['Drama', 'Horror', 'Sci-Fi']","['None', 'English']"
5. Way Down East,1920,2h 25m,Passed,7.3,6.1K,,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",https://www.imdb.com/title/tt0011841/?ref_=sr_i_5,"['Lottie Blair Parker', 'William A. Brady', 'Joseph R. Grismer']",['D.W. Griffith'],"['Lillian Gish', 'Richard Barthelmess', 'Mrs. David Landau', 'Lowell Sherman', 'Burr McIntosh', 'Josephine Bernard', 'Mrs. Morgan Belmont', 'Patricia Fruen', 'Florence Short', 'Kate Bruce']","$700,000 (estimated)",,,,"September 3, 1920",['United States'],"['White River Junction, Vermont, USA']",['D.W. Griffith Productions'],,"['Costume Drama', 'Dark Romance', 'Period Drama', 'Romantic Epic', 'Drama', 'Romance']",['English']
6. The Penalty,1920,1h 30m,Passed,7.3,2.8K,,A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.,https://www.imdb.com/title/tt0011565/?ref_=sr_i_6,"['Gouverneur Morris', 'Charles Kenyon', 'Philip Lonergan']",['Wallace Worsley'],"['Charles Clary', 'Doris Pawn', 'Jim Mason', 'Lon Chaney', 'Milton Ross', 'Ethel Grey Terry', 'Kenneth Harlan', 'Claire Adams', 'Montgomery Carlyle', 'Michael Dark']","$88,868 (estimated)",,,,"August 8, 1920",['United States'],"['Ferry Building, San Francisco, California, USA']","['Eminent Authors Pictures Inc.', 'Goldwyn Pictures Corporation']",,"['Crime', 'Drama', 'Horror', 'Thriller']",['English']
7. Why Change Your Wife?,1920,1h 30m,Approved,6.7,1.5K,,"Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.",https://www.imdb.com/title/tt0011865/?ref_=sr_i_7,"['Olga Printzlau', 'William C. de Mille', 'Sada Cowan']",['Cecil B. DeMille'],"['Thomas Meighan', 'Gloria Swanson', 'Bebe Daniels', 'Theodore Kosloff', 'Sylvia Ashton', 'Clarence Geldert', 'Mayme Kelso', 'Lucien Littlefield', 'Edna Mae Cooper', 'Jane Wolfe']",,,,,"April 11, 1921",['United States'],,['Paramount Pictures'],,"['Comedy', 'Drama']","['None', 'English']"
8. The Flapper,1920,1h 28m,,6.4,459,,"Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.",https://www.imdb.com/title/tt0011193/?ref_=sr_i_8,['Frances Marion'],['Alan Crosland'],"['Olive Thomas', 'Theodore Westman Jr.', 'William P. Carleton', 'Warren Cook', 'Katherine Johnston', 'Arthur Housman', 'Louise Lindroth', 'Marcia Harris', 'Charles Craig', 'Bobby Connelly']",,,,,"May 10, 1920",['United States'],"['Miami, Florida, USA']",['Selznick Pictures Corporation'],,"['Feel-Good Romance', 'Romantic Comedy', 'Teen Comedy', 'Teen Romance', 'Comedy', 'Romance']",['English']
9. The Saphead,1920,1h 17m,Not Rated,6.1,1.8K,,The simple-minded son of a rich financier must find his own way in the world.,https://www.imdb.com/title/tt0011652/?ref_=sr_i_9,"['Bronson Howard', 'Victor Mapes', 'June Mathis']","['Herbert Blaché', 'Winchell Smith']","['Edward Jobson', 'Beulah Booker', 'Edward Connelly', 'Edward Alexander', 'Irving Cummings', 'Odette Tyler', 'Carol Holloway', 'Jack Livingston', 'William H. Crane', 'Buster Keaton']",,,,,"September 20, 1920",['United States'],,['Metro Pictures Corporation'],"Awards, 1 nomination total","['Comedy', 'Drama', 'Romance']",['None']
10. Pollyanna,1920,58m,TV-G,6.4,541,,An orphan's optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.,https://www.imdb.com/title/tt0011588/?ref_=sr_i_10,"['Eleanor H. Porter', 'Catherine Chisholm Cushing', 'Frances Marion']",['Paul Powell'],"['Mary Pickford', 'Wharton James', 'Katherine Griffith', 'Helen Jerome Eddy', 'George Berrell', 'Howard Ralston', 'William Courtleigh', 'Herbert Prior', 'Doc Crane', 'Joan Marsh']","$300,000 (estimated)",,,,"January 18, 1920",['United States'],"['Alabama Hills, Lone Pine, California, USA']",['Mary Pickford Company'],,"['Comedy', 'Drama', 'Family']",['English']
11. Within Our Gates,1920,1h 19m,Not Rated,6.4,3.8K,,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",https://www.imdb.com/title/tt0011870/?ref_=sr_i_11,['Oscar Micheaux'],['Oscar Micheaux'],"['Evelyn Preer', 'Flo Clements', 'James D. Ruffin', 'Jack Chenault', 'William Smith', 'Charles D. Lucas', 'Bernice Ladd', 'Mrs. Evelyn', 'William Starks', 'Mattie Edwards']",,,,,"January 12, 1920",['United States'],"['Fort Lee, New Jersey, USA']",['Micheaux Book & Film Company'],"Awards, 2 wins & 1 nomination total","['Dark Romance', 'Feel-Good Romance', 'Political Drama', 'Drama', 'Romance']",['None']
12. Erotikon,1920,1h 46m,Not Rated,6.4,1.1K,,"EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be in love with Preben, her husband's best friend. Meanwhile, her husband seems to be getting unusually close with his own niece. Stiller obviously delights in teasing his audience with each scandalous plot twist and every salacious leer, and the result is a deliciously subversive comedy that was very much ahead of its time.",https://www.imdb.com/title/tt0011157/?ref_=sr_i_12,"['Ferenc Herczeg', 'Gustaf Molander', 'Arthur Nordén']",['Mauritz Stiller'],"['Anders de Wahl', 'Tora Teje', 'Karin Molander', 'Elin Lagergren', 'Lars Hanson', 'Vilhelm Bryde', 'Bell Hedqvist', 'Torsten Hammarén', 'Vilhelm Berndtson', 'Stina Berg']",,,,,"November 8, 1920",['Sweden'],"['Royal Opera, Stockholm, Sweden']",['Svensk Filmindustri (SF)'],,"['Comedy', 'Romance']","['None', 'Swedish']"
13. Genuine: The Tragedy of a Vampire,1920,1h 28m,,5.9,1.2K,,"Genuine is an ancient and cruel divinity, who seduces men and induce them to kill as a proof of love.",https://www.imdb.com/title/tt0011221/?ref_=sr_i_13,['Carl Mayer'],['Robert Wiene'],"['Fern Andra', 'Hans Heinrich von Twardowski', 'Ernst Gronau', 'Harald Paulsen', 'Albert Bennefeld', 'John Gottowt', 'Louis Brody']",,,,,"December 12, 1921",['Germany'],"['Bioscop-Atelier, Neubabelsberg, Potsdam, Brandenburg, Germany (Studio)']",['Decla-Bioscop AG'],,"['Fantasy', 'Horror', 'Romance']","['None', 'German']"
