Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
28. Born to Kill,1947,1h 32m,Approved,7.2,6.4K,,A calculating divorcée risks her chances at wealth and security with a man she doesn't love by getting involved with the hotheaded murderer romancing her foster sister.,https://www.imdb.com/title/tt0039211/?ref_=sr_i_28
29. Down to Earth,1947,1h 41m,Approved,6.1,1.7K,,"Upset about a new Broadway musical's mockery of Greek mythology, the goddess Terpsichore comes down to earth and lands a part in the show. She works her charms on the show's producer and he incorporates her changes into the show. Unfortunately, her changes also produce a major flop.",https://www.imdb.com/title/tt0039337/?ref_=sr_i_29
30. Crossfire,1947,1h 26m,Approved,7.3,10K,,"A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?",https://www.imdb.com/title/tt0039286/?ref_=sr_i_30
31. Life with Father,1947,1h 58m,Approved,7.1,6.7K,73,A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.,https://www.imdb.com/title/tt0039566/?ref_=sr_i_31
32. The Farmer's Daughter,1947,1h 37m,Approved,7.2,3K,,"After leaving her family's farm to study nursing in the city, a young woman finds herself on an unexpected path towards politics.",https://www.imdb.com/title/tt0039370/?ref_=sr_i_32
33. It Happened on Fifth Avenue,1947,1h 56m,Approved,7.6,7K,66,Two homeless men move into a mansion while its owners are wintering in the South.,https://www.imdb.com/title/tt0039502/?ref_=sr_i_33
34. The Red House,1947,1h 40m,Approved,6.7,5.3K,,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods.",https://www.imdb.com/title/tt0039757/?ref_=sr_i_34
35. The October Man,1947,1h 35m,Not Rated,7.0,1.6K,,"When the murder of a young woman happens, her next-door neighbor is under suspicion due to his previous stay in a mental hospital.",https://www.imdb.com/title/tt0039676/?ref_=sr_i_35
36. Unconquered,1947,2h 26m,Approved,6.8,3.1K,,Intrepid frontiersman Chris Holden foils the political and personal ambitions of renegade Martin Garth in the Ohio Valley following the French and Indian War.,https://www.imdb.com/title/tt0039931/?ref_=sr_i_36
37. The Bachelor and the Bobby-Soxer,1947,1h 35m,Approved,7.2,10K,59,"Romantic comedy about a high school girl who falls in love with a playboy artist. The girl's older sister, who's a judge, does not approve of the relationship.",https://www.imdb.com/title/tt0039169/?ref_=sr_i_37
38. Forever Amber,1947,2h 18m,Approved,6.5,1.8K,,"In seventeenth-century England, Amber St. Clair aims to raise herself from country girl to nobility, and succeeds, but loses her true love in the process.",https://www.imdb.com/title/tt0039391/?ref_=sr_i_38
39. A Double Life,1947,1h 44m,Approved,6.9,4.2K,,"A celebrated actor struggles to distinguish his own life from that of his most recent stage role, Othello.",https://www.imdb.com/title/tt0039335/?ref_=sr_i_39
40. I Walk Alone,1947,1h 37m,Approved,7.0,3.8K,55,Frankie Madison leaves prison expecting a share from his ex-partner. But Prohibition bootlegging didn't prepare Frankie for Big Business.,https://www.imdb.com/title/tt0039482/?ref_=sr_i_40
41. Pursued,1947,1h 41m,Approved,7.2,4.1K,,A boy haunted by nightmares about the night his entire family was murdered is brought up by a neighboring family in the 1880s. He falls for his lovely adoptive sister but his nasty adoptive brother and mysterious uncle want him dead.,https://www.imdb.com/title/tt0039737/?ref_=sr_i_41
42. Green Dolphin Street,1947,2h 21m,Approved,6.8,1.9K,,"A young man loved by two sisters becomes a naval officer and sails to New Zealand, where he drunkenly writes a marriage proposal to the wrong sister, profoundly affecting the life of the other.",https://www.imdb.com/title/tt0039437/?ref_=sr_i_42
43. Hue and Cry,1947,1h 22m,,6.7,1.9K,,"A gang of street boys foil a master crook who sends commands for robberies by cunningly altering a comic strip's wording each week, unknown to writer and printer. The first of the Ealing comedies.",https://www.imdb.com/title/tt0039478/?ref_=sr_i_43
44. Song of the Thin Man,1947,1h 26m,Approved,6.9,6K,60,Nick and Nora Charles are on a gambling boat when someone is murdered. The two main suspects are at large and come to Nick for help. Nick turns them in to the police but then sets out to figure out the mystery.,https://www.imdb.com/title/tt0039853/?ref_=sr_i_44
45. Out of the Blue,1947,1h 24m,Approved,6.4,600,,"Set in an apartment building whose occupants include Arthur Earthleigh, a meek and mild type married to the beautiful-but-domineering Mae; a Bohemian artist, David Galleo and his always-there model, Deborah Tyler; and Olive Jenson, a Greenwich Village type who is always slightly-but-continuously inebriated, and whose motto is ""love and let love."" She calls on Arthur while his wife is out, and when she passes out during his attempts to get her out before his wife returns, he thinks she is dead and deposits her on Galleo's terrace. Galleo takes advantage of the situation by using it in a blackmail scheme against Arthur, which is shaky, at best, as Olive refuses to stay dead.",https://www.imdb.com/title/tt0039688/?ref_=sr_i_45
46. Captain from Castile,1947,2h 20m,Approved,6.8,2.3K,,"The invasion of Mexico by Cortez, as seen by a young Spanish officer fleeing the Inquisition.",https://www.imdb.com/title/tt0039243/?ref_=sr_i_46
47. The Egg and I,1947,1h 48m,Approved,6.9,3.4K,44,"On their wedding night, Bob reveals to Betty that he has purchased an abandoned chicken farm. Betty struggles to adapt to their new rural lifestyle, especially when a glamorous neighbor seems to set her eyes on Bob.",https://www.imdb.com/title/tt0039349/?ref_=sr_i_47
48. Body and Soul,1947,1h 44m,Approved,7.6,5.6K,,A talented boxer's young career hits difficult terrain when an unethical promoter takes interest in him.,https://www.imdb.com/title/tt0039204/?ref_=sr_i_48
"49. Sinbad, the Sailor",1947,1h 56m,Approved,6.1,2.4K,,"In medieval Persia, during the rule of Caliph Harun-Al-Rashid, Sinbad the Sailor boasts about his latest adventures to his friends.",https://www.imdb.com/title/tt0039826/?ref_=sr_i_49
50. Desert Fury,1947,1h 36m,Approved,6.5,2.3K,,"The daughter of a Nevada casino owner gets involved with a racketeer, despite everyone's efforts to separate them.",https://www.imdb.com/title/tt0039311/?ref_=sr_i_50
51. It Had to Be You,1947,1h 38m,,6.5,876,,A woman is noted for leaving her bridegrooms at the altar until a dashing fireman walks into her life.,https://www.imdb.com/title/tt0039500/?ref_=sr_i_51
52. The Voice of the Turtle,1947,1h 43m,Approved,6.8,845,,A soldier spends the weekend with an actress after being stood up by her friend. Will he be able to change her cynical attitude towards love?,https://www.imdb.com/title/tt0039969/?ref_=sr_i_52
53. Framed,1947,1h 22m,Approved,6.9,2.5K,,"Mike Lambert, seeking a mining job, instead becomes the patsy for a femme-fatale's schemes.",https://www.imdb.com/title/tt0039396/?ref_=sr_i_53
54. Johnny O'Clock,1947,1h 36m,Approved,6.7,2.8K,,A high-class crook gets in trouble with the law.,https://www.imdb.com/title/tt0039515/?ref_=sr_i_54
55. They Won't Believe Me,1947,1h 35m,Approved,7.2,3.1K,,"On trial for murdering his girlfriend, philandering stockbroker Larry Ballentine takes the stand to claim his innocence and describe the actual, but improbable-sounding, sequence of events that led to her death.",https://www.imdb.com/title/tt0039896/?ref_=sr_i_55
56. Daisy Kenyon,1947,1h 39m,Approved,6.8,3.2K,,A commercial artist having an affair with a married attorney becomes involved with a returning soldier and must choose between the two.,https://www.imdb.com/title/tt0039294/?ref_=sr_i_56
57. My Favorite Brunette,1947,1h 27m,Approved,6.7,4K,,"Shortly before his execution on the death row in San Quentin, amateur sleuth and baby photographer Ronnie Jackson tells reporters how he got there.",https://www.imdb.com/title/tt0039645/?ref_=sr_i_57
58. California,1947,1h 37m,Approved,6.1,1.2K,,"Epic account of how California became a state, featuring a wagon train, the Gold Rush, a wicked saloon queen, and an evil profiteer.",https://www.imdb.com/title/tt0038392/?ref_=sr_i_58
59. Ride the Pink Horse,1947,1h 41m,Approved,7.2,3.6K,,"WW2 veteran Lucky Gagin arrives in a New Mexico border-town intent on revenging against mobster Frank Hugo but FBI agent Bill Retz, who also wants Hugo, tries to keep Gagin out of trouble.",https://www.imdb.com/title/tt0039768/?ref_=sr_i_59
60. The Long Night,1947,1h 41m,Approved,6.5,2.2K,,"Police surround the apartment of apparent murderer Joe Adams, who refuses to surrender although escape appears impossible. During the siege, Joe reflects on the circumstances that led him to this situation.",https://www.imdb.com/title/tt0039581/?ref_=sr_i_60
61. Temptation Harbor,1947,1h 31m,,7.1,235,,"A signalman on a quay sees a fight between two men. One of the men is deliberately pushed into the water and the signalman cannot save him, but decides to keep his suitcase which he later finds is full of banknotes with a value of £5000.",https://www.imdb.com/title/tt0039889/?ref_=sr_i_61
62. Dangerous Years,1947,1h 2m,Approved,5.5,297,,"A youth counselor is killed by the leader of a teen gang during a warehouse robbery, and the prosecuting district attorney is determined to see justice done.",https://www.imdb.com/title/tt0040267/?ref_=sr_i_62
63. The Unsuspected,1947,1h 43m,Approved,7.2,3.7K,,The secretary of an affably suave radio mystery host mysteriously commits suicide after his wealthy young niece disappears.,https://www.imdb.com/title/tt0039941/?ref_=sr_i_63
64. Nora Prentiss,1947,1h 51m,Approved,7.1,2.2K,,"A doctor spins an ever-growing web of lies after a taste of the excitement that he was missing in his conventional life, thanks to a chance meeting with a nightclub singer.",https://www.imdb.com/title/tt0039666/?ref_=sr_i_64
