Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Mary Poppins,1964,2h 19m,G,7.8,192K,88,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",https://www.imdb.com/title/tt0058331/?ref_=sr_i_1
2. My Fair Lady,1964,2h 50m,G,7.7,105K,95,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",https://www.imdb.com/title/tt0058385/?ref_=sr_i_2
3. Goldfinger,1964,1h 50m,Approved,7.7,208K,87,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",https://www.imdb.com/title/tt0058150/?ref_=sr_i_3
4. A Fistful of Dollars,1964,1h 39m,R,7.9,242K,65,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",https://www.imdb.com/title/tt0058461/?ref_=sr_i_4
5. A Shot in the Dark,1964,1h 42m,Approved,7.3,32K,70,Bumbling Inspector Jacques Clouseau falls in love with murder suspect Maria Gambrelli and tries to clear her name.,https://www.imdb.com/title/tt0058586/?ref_=sr_i_5
6. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3,536K,97,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",https://www.imdb.com/title/tt0057012/?ref_=sr_i_6
"7. Hey There, It's Yogi Bear",1964,1h 29m,G,6.5,1.2K,,"In the end, Ranger Smith on the helicopter take Yogi, Boo Boo and Cindy home from the tallest building.",https://www.imdb.com/title/tt0154587/?ref_=sr_i_7
8. A Hard Day's Night,1964,1h 27m,G,7.5,50K,96,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",https://www.imdb.com/title/tt0058182/?ref_=sr_i_8
9. I Am Cuba,1964,2h 21m,Not Rated,8.2,11K,91,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,https://www.imdb.com/title/tt0058604/?ref_=sr_i_9
10. Becket,1964,2h 28m,PG-13,7.7,16K,68,"King Henry II of England comes to terms with his affection for his close friend and confidant Thomas Becket, who finds his true honor by observing God's divine will rather than the King's.",https://www.imdb.com/title/tt0057877/?ref_=sr_i_10
11. The Umbrellas of Cherbourg,1964,1h 31m,Not Rated,7.8,33K,86,A young woman separated from her lover by war faces a life-altering decision.,https://www.imdb.com/title/tt0058450/?ref_=sr_i_11
12. Band of Outsiders,1964,1h 35m,Not Rated,7.6,28K,93,Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.,https://www.imdb.com/title/tt0057869/?ref_=sr_i_12
13. That Man from Rio,1964,1h 52m,Not Rated,7.0,6.6K,,A young private on military leave comes to the rescue of his girlfriend who's been abducted by thieves and brought to Rio de Janeiro. An extravagant adventure ensues.,https://www.imdb.com/title/tt0058203/?ref_=sr_i_13
14. Nothing But a Man,1964,1h 35m,Not Rated,7.9,2.2K,87,A black man and his school-teacher wife face discriminatory challenges in 1960s America.,https://www.imdb.com/title/tt0058414/?ref_=sr_i_14
15. Marriage Italian Style,1964,1h 42m,Not Rated,7.4,12K,,Wealthy businessman Domenico and penniless prostitute Filumena share a large part of their lives in post-WWII Italy.,https://www.imdb.com/title/tt0058335/?ref_=sr_i_15
