link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0055254/?ref_=sr_i_1,"['Bill Peet', 'Dodie Smith']","['Clyde Geronimi', 'Hamilton Luske', 'Wolfgang Reitherman']","['Rod Taylor', 'Betty Lou Gerson', ""J. Pat O'Malley"", 'Martha Wentworth', 'Ben Wright', 'Cate Bauer', 'David Frankham', 'Frederick Worlock', 'Lisa Davis', 'Tom Conway']","$4,000,000 (estimated)","$2,389,226","$215,880,014","$144,880,014","January 25, 1961",['United States'],"['Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA (Studio)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Won 1 BAFTA Award, 2 wins & 1 nomination total","['Animal Adventure', 'Hand-Drawn Animation', 'Quest', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family']",['English']
https://www.imdb.com/title/tt0055614/?ref_=sr_i_2,"['Ernest Lehman', 'Arthur Laurents', 'Jerome Robbins']","['Jerome Robbins', 'Robert Wise']","['Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno', 'Simon Oakland', 'Ned Glass', 'William Bramley', 'Tucker Smith', 'Tony Mordente']","$6,000,000 (estimated)","$207,145","$44,135,556","$44,055,492","December 23, 1961",['United States'],"['110th Street, Manhattan, New York City, New York, USA (playground)']","['The Mirisch Corporation', 'Seven Arts Productions']","Won 10 Oscars, 31 wins & 11 nominations total","['Crime', 'Drama', 'Musical', 'Romance']","['English', 'Spanish']"
https://www.imdb.com/title/tt0390466/?ref_=sr_i_3,['Hee-jae Lim'],['Shin Sang-ok'],"['Choi Eun-hie', 'Kim Jin-kyu', 'Kum-Bong Do', 'Jang-kang Heo', 'Lee Ye-chun']","₩80,000,000 (estimated)","$16,187","$798,977","$798,977","January 28, 1961",['South Korea'],,['Shin Films'],,"['Drama', 'Musical', 'Romance']",['Korean']
https://www.imdb.com/title/tt0054632/?ref_=sr_i_4,['Alain Robbe-Grillet'],['Alain Resnais'],"['Delphine Seyrig', 'Giorgio Albertazzi', 'Sacha Pitoëff', 'Françoise Bertin', 'Luce Garcia-Ville', 'Héléna Kornel', 'Françoise Spira', 'Karin Toeche-Mittler', 'Pierre Barbaud', 'Wilhelm von Deek']",,"$15,485","$223,111","$207,917","March 7, 1962","['France', 'Italy']","['Nymphenburg Palace, Munich, Bavaria, Germany']","['Cocinor', 'Terra Film', 'Cormoran Films']","Nominated for 1 Oscar, 2 wins & 5 nominations total","['Psychological Drama', 'Drama', 'Mystery', 'Romance']",['French']
https://www.imdb.com/title/tt0055572/?ref_=sr_i_5,"['Geneviève Cluny', 'Jean-Luc Godard']",['Jean-Luc Godard'],"['Anna Karina', 'Jean-Claude Brialy', 'Jean-Paul Belmondo', 'Henri Attal', 'Karyn Balm', 'Dorothée Blanck', 'Catherine Demongeot', 'Marie Dubois', 'Ernest Menzer', 'Jeanne Moreau']","$160,000 (estimated)","$13,213","$188,739","$187,657","September 6, 1961","['France', 'Italy']","['Porte St Denis, Rue du Faubourg St Denis, Paris, France']","['Euro International Films', 'Rome Paris Films']","Awards, 2 wins & 2 nominations total","['Comedy', 'Drama', 'Romance']",['French']
https://www.imdb.com/title/tt0055093/?ref_=sr_i_6,['Jacques Demy'],['Jacques Demy'],"['Anouk Aimée', 'Marc Michel', 'Jacques Harden', 'Alan Scott', 'Elina Labourdette', 'Margo Lion', 'Annie Duperoux', 'Catherine Lutz', 'Corinne Marchand', 'Yvette Anziani']",,,"$103,951","$103,951","October 14, 1962","['France', 'Italy']","['La Baule, Loire-Atlantique, France (Michel drives into town)']",['Rome Paris Films'],"Nominated for 2 BAFTA Awards, 2 wins & 3 nominations total","['Drama', 'Romance']","['French', 'English']"
https://www.imdb.com/title/tt0055082/?ref_=sr_i_7,"['Béatrix Beck', 'Jean-Pierre Melville']",['Jean-Pierre Melville'],"['Jean-Paul Belmondo', 'Emmanuelle Riva', 'Irène Tunc', 'Nicole Mirel', 'Gisèle Grimm', 'Marco Behar', 'Monique Bertho', 'Marc Eyraud', 'Nina Grégoire', 'Monique Hennessy']",,"$9,515","$72,908","$72,078","September 22, 1961","['France', 'Italy']","[""Montfort-l'Amaury, Yvelines, France (street scenes)""]","['Concordia Compagnia Cinematografica', 'Rome Paris Films']","Nominated for 1 BAFTA Award, 1 win & 1 nomination total","['Drama', 'Romance', 'War']","['French', 'English', 'German']"
https://www.imdb.com/title/tt0055602/?ref_=sr_i_8,['Rodolfo Sonego'],['Dino Risi'],"['Alberto Sordi', 'Lea Massari', 'Franco Fabrizi', 'Lina Volonghi', 'Claudio Gora', 'Antonio Centa', 'Mino Doro', 'Daniele Vargas', 'Loredana Nusciak', 'Borante Domizlaff']",,"$9,167","$71,630","$71,630","December 22, 1961",['Italy'],"['Lenno, Lombardy, Italy']",['Dino de Laurentiis Cinematografica'],"Awards, 2 wins & 3 nominations total","['Comedy', 'Drama', 'War']","['Italian', 'German', 'English']"
https://www.imdb.com/title/tt0055630/?ref_=sr_i_9,"['Akira Kurosawa', 'Ryûzô Kikushima']",['Akira Kurosawa'],"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa', 'Isuzu Yamada', 'Daisuke Katô', 'Seizaburô Kawazu', 'Takashi Shimura', 'Hiroshi Tachikawa', 'Yôsuke Natsuki']",,"$15,942","$68,196","$46,808","September 13, 1961",['Japan'],"['Toho Studios, Tokyo, Japan (Studio)']","['Kurosawa Production Co.', 'Sammy', 'Toho']","Nominated for 1 Oscar, 5 wins & 2 nominations total","['One-Person Army Action', 'Period Drama', 'Samurai', 'Action', 'Drama', 'Thriller']",['Japanese']
https://www.imdb.com/title/tt0054130/?ref_=sr_i_10,"['Michelangelo Antonioni', 'Ennio Flaiano', 'Tonino Guerra']",['Michelangelo Antonioni'],"['Jeanne Moreau', 'Marcello Mastroianni', 'Monica Vitti', 'Bernhard Wicki', 'Rosy Mazzacurati', 'Maria Pia Luzi', 'Guido A. Marsan', 'Vittorio Bertolini', 'Vincenzo Corbella', 'Ugo Fortunati']",,"$10,547","$40,703","$39,236","February 19, 1962","['Italy', 'France']","['Milan, Lombardia, Italy']","['Nepi Film', 'Sofitedip', 'Silver Films']","Awards, 6 wins & 4 nominations total",['Drama'],"['Italian', 'English', 'French']"
