Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. The Dark Knight,2008,2h 32m,PG-13,9.0,3M,84,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/?ref_=sr_i_1
2. Iron Man,2008,2h 6m,PG-13,7.9,1.2M,79,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",https://www.imdb.com/title/tt0371746/?ref_=sr_i_2
3. Indiana Jones and the Kingdom of the Crystal Skull,2008,2h 2m,PG-13,6.2,502K,65,"Set in 1957, it pits Indiana Jones against Soviet KGB agents led by Irina Spalko searching for a telepathic crystal skull located in Peru.",https://www.imdb.com/title/tt0367882/?ref_=sr_i_3
4. Hancock,2008,1h 32m,R,6.4,526K,49,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,https://www.imdb.com/title/tt0448157/?ref_=sr_i_4
5. WALL·E,2008,1h 38m,G,8.4,1.3M,95,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",https://www.imdb.com/title/tt0910970/?ref_=sr_i_5
6. Kung Fu Panda,2008,1h 32m,PG,7.6,547K,74,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",https://www.imdb.com/title/tt0441773/?ref_=sr_i_6
7. Twilight,2008,2h 2m,PG-13,5.3,504K,56,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",https://www.imdb.com/title/tt1099212/?ref_=sr_i_7
8. Madagascar: Escape 2 Africa,2008,1h 29m,PG,6.6,258K,61,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",https://www.imdb.com/title/tt0479952/?ref_=sr_i_8
9. Quantum of Solace,2008,1h 46m,PG-13,6.5,482K,58,James Bond tries to stop an organisation from eliminating a country's most valuable resource.,https://www.imdb.com/title/tt0830515/?ref_=sr_i_9
10. Horton Hears a Who!,2008,1h 26m,G,6.8,154K,71,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,https://www.imdb.com/title/tt0451079/?ref_=sr_i_10
11. Sex and the City,2008,2h 25m,R,5.7,130K,53,"Carrie is finally getting married to her Mr. Big, but heartbreak ensues when an observation by Miranda inadvertently causes him to jilt her.",https://www.imdb.com/title/tt1000774/?ref_=sr_i_11
12. Gran Torino,2008,1h 56m,R,8.1,836K,73,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",https://www.imdb.com/title/tt1205489/?ref_=sr_i_12
13. Taken,2008,1h 30m,PG-13,7.7,653K,51,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",https://www.imdb.com/title/tt0936501/?ref_=sr_i_13
14. Mamma Mia!,2008,1h 48m,PG-13,6.5,289K,51,"Donna, an independent hotelier, is preparing for her daughter's wedding with the help of two old friends. Meanwhile Sophie, the spirited bride, has a plan. She invites three men from her mother's past in hope of meeting her real father.",https://www.imdb.com/title/tt0795421/?ref_=sr_i_14
15. Marley & Me,2008,1h 55m,PG,7.0,172K,53,"A family learns important life lessons from their adorable, but naughty and neurotic dog.",https://www.imdb.com/title/tt0822832/?ref_=sr_i_15
16. The Chronicles of Narnia: Prince Caspian,2008,2h 30m,PG,6.5,232K,62,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",https://www.imdb.com/title/tt0499448/?ref_=sr_i_16
17. Slumdog Millionaire,2008,2h,R,8.0,893K,84,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.",https://www.imdb.com/title/tt1010048/?ref_=sr_i_17
18. The Incredible Hulk,2008,1h 52m,PG-13,6.6,541K,61,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",https://www.imdb.com/title/tt0800080/?ref_=sr_i_18
