Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Nosferatu: A Symphony of Horror,1922,1h 34m,Not Rated,7.8,118K,,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,https://www.imdb.com/title/tt0013442/?ref_=sr_i_1,"['Bram Stoker', 'Henrik Galeen']",['F.W. Murnau'],"['Max Schreck', 'Alexander Granach', 'Gustav von Wangenheim', 'Greta Schröder', 'Georg H. Schnell', 'Ruth Landshoff', 'Gustav Botz', 'John Gottowt', 'Max Nemetz', 'Wolfgang Heinz']",,,"$45,595",,"May 18, 1922",['Germany'],"['Starhrad Castle, Nezbudská Lúcka, Slovakia (castle in ruins)']","['Jofa-Atelier Berlin-Johannisthal', 'Prana-Film GmbH']","Awards, 3 wins & 2 nominations total","['Dark Fantasy', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror']","['German', 'English']"
2. Häxan,1922,1h 31m,Not Rated,7.6,18K,,"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.",https://www.imdb.com/title/tt0013257/?ref_=sr_i_2,['Benjamin Christensen'],['Benjamin Christensen'],"['Benjamin Christensen', 'Elisabeth Christensen', 'Maren Pedersen', 'Clara Pontoppidan', 'Elith Pio', 'Oscar Stribolt', 'Tora Teje', 'John Andersen', 'Poul Reumert', 'Karen Winther']","SEK2,000,000 (estimated)",,,,"May 27, 1929","['Sweden', 'Denmark']","['Copenhagen, Denmark']","['Aljosha Production Company', 'Svensk Filmindustri (SF)']",,"['Dark Fantasy', 'Faith & Spirituality Documentary', 'Folk Horror', 'Supernatural Fantasy', 'Supernatural Horror', 'Witch Horror', 'Documentary', 'Fantasy', 'Horror']","['Swedish', 'Danish']"
"3. Dr. Mabuse, the Gambler",1922,4h 2m,Not Rated,7.8,9.5K,,Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,https://www.imdb.com/title/tt0013086/?ref_=sr_i_3,"['Norbert Jacques', 'Thea von Harbou', 'Fritz Lang']",['Fritz Lang'],"['Rudolf Klein-Rogge', 'Aud Egede-Nissen', 'Gertrude Welcker', 'Alfred Abel', 'Bernhard Goetzke', 'Paul Richter', 'Robert Forster-Larrinaga', 'Hans Adalbert Schlettow', 'Georg John', 'Károly Huszár']",,,,,"September 30, 1922",['Germany'],"['Berliner Union-Film, Oberlandstraße 26-35, Tempelhof, Berlin, Germany']",['Uco-Film GmbH'],"Awards, 1 nomination total","['Crime', 'Mystery', 'Thriller']","['German', 'English', 'French']"
4. Nanook of the North,1922,1h 18m,Passed,7.6,14K,,"In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.",https://www.imdb.com/title/tt0013427/?ref_=sr_i_4,"['Frances H. Flaherty', 'Robert J. Flaherty']",['Robert J. Flaherty'],"['Allakariallak', 'Alice Nevalinga', 'Cunayou', 'Allegoo', 'Camock', 'Berry Kroeger']","$53,000 (estimated)",,,,"June 11, 1922","['France', 'United States']","['Hudson Bay, Québec, Canada']",['Les Frères Revillon'],"Awards, 2 wins total","['Docudrama', 'Travel Documentary', 'Documentary']",['English']
5. The Black Bag,1922,50m,,,,,"Billy Kirkwood, a young businessman, travels to New York City for a vacation. There he comes to the rescue of pretty young Dorothy Calender, escorting her to a taxi because she was being followed by some sinister-looking men. It turns out that the men are thieves who have seen her take an expensive diamond necklace from a store, and are following her to steal it. However, all is not quite as it seems, as Billy is soon to find out.",https://www.imdb.com/title/tt0012944/?ref_=sr_i_5,"['George Hively', 'Bernard H. Hyman', 'Louis Joseph Vance']",['Stuart Paton'],"['Herbert Rawlinson', 'Virginia Valli', 'Bert Roach', 'Clara Beyers', 'Charles King', 'Herbert Fortier', 'Lew Short', ""John B. O'Brien""]",,,,,"June 5, 1922",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA (Studio)']",['Universal Film Manufacturing Company'],,"['Comedy', 'Mystery']",['None']
6. Salomé,1922,1h 12m,Not Rated,6.6,1.3K,,"Salome, the daughter of Herodias, seduces her step-father/uncle Herod, governor of Judea, with a salacious dance. In return, he promises her the head of the prophet John the Baptist.",https://www.imdb.com/title/tt0013571/?ref_=sr_i_6,"['Oscar Wilde', 'Alla Nazimova', 'Natacha Rambova']","['Charles Bryant', 'Alla Nazimova']","['Alla Nazimova', 'Nigel De Brulier', 'Mitchell Lewis', 'Rose Dione', 'Earl Schenck', 'Arthur Jasmine', 'Frederick Peters', 'Louis Dumar']","$350,000 (estimated)",,,,"February 15, 1923",['United States'],,['Nazimova Productions'],"Awards, 2 wins total","['Biography', 'Drama', 'History', 'Horror']",['None']
7. Dr. Jack,1922,1h,Passed,7.0,1.7K,,"Country doctor Jack Jackson is called in to treat the Sick-Little-Well-Girl, who has been making Dr. Saulsbourg and his sanitarium very rich, after years of unsuccessful treatment. Dr. Jack's old-fashioned methods do the trick, and the quack is sent packing.",https://www.imdb.com/title/tt0013075/?ref_=sr_i_7,"['Hal Roach', 'Sam Taylor', 'Jean C. Havez']","['Fred C. Newmeyer', 'Sam Taylor']","['Harold Lloyd', 'Mildred Davis', 'John T. Prince', 'Eric Mayne', 'C. Norman Hammond', 'Jackie Condon', 'Mickey Daniels', 'Richard Daniels', 'William Gillespie', 'Wally Howe']","$113,440 (estimated)",,,,"November 26, 1922",['United States'],"['Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA (Studio)']",['Hal Roach Studios'],"Awards, 1 win total","['Comedy', 'Romance']",['English']
8. Grandma's Boy,1922,1h,Passed,7.0,2.1K,,A meek young man must find the courage within when a rogue tramp menaces his home town.,https://www.imdb.com/title/tt0013201/?ref_=sr_i_8,"['Hal Roach', 'Sam Taylor', 'Jean C. Havez']",['Fred C. Newmeyer'],"['Harold Lloyd', 'Mildred Davis', 'Anna Townsend', 'Charles Stevenson', 'Dick Sutherland', 'Noah Young', 'Jack Morgan', 'Roy Brooks', 'Sammy Brooks', 'Jack Edwards']","$94,412 (estimated)",,,,"September 3, 1922",['United States'],"['San Fernando, California, USA']",['Hal Roach Studios'],"Awards, 1 win total","['Comedy', 'Family']","['None', 'English']"
9. Oliver Twist,1922,1h 38m,Passed,6.6,968,,"An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",https://www.imdb.com/title/tt0013450/?ref_=sr_i_9,"['Charles Dickens', 'Frank Lloyd', 'Harry Weil']",['Frank Lloyd'],"['Jackie Coogan', 'James A. Marcus', 'Aggie Herring', 'Lewis Sargent', 'Joan Standing', 'Carl Stockdale', 'Edouard Trebaol', 'Lon Chaney', 'Taylor Graves', 'George Siegmann']","$175,000 (estimated)",,,,"October 30, 1922",['United States'],,['Jackie Coogan Productions'],"Awards, 2 wins total",['Drama'],"['None', 'English']"
10. Phantom,1922,2h 5m,Not Rated,6.7,2K,,A shiftless young man becomes obsessed with a mysterious woman and yearns to find her again.,https://www.imdb.com/title/tt0013496/?ref_=sr_i_10,"['Gerhart Hauptmann', 'Thea von Harbou', 'Hans Heinrich von Twardowski']",['F.W. Murnau'],"['Alfred Abel', 'Frida Richard', 'Aud Egede-Nissen', 'Hans Heinrich von Twardowski', 'Adolf Klein', 'Olga Engl', 'Lya De Putti', 'Ilka Grüning', 'Grete Berger', 'Anton Edthofer']",,,,,"November 13, 1922",['Germany'],"['Bioscop-Atelier, Neubabelsberg, Potsdam, Brandenburg, Germany']",['Uco-Film GmbH'],,"['Drama', 'Romance']","['None', 'German']"
