Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Shrek 2,2004,1h 33m,PG,7.4,528K,75,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",https://www.imdb.com/title/tt0298148/?ref_=sr_i_1
2. Spider-Man 2,2004,2h 7m,PG-13,7.5,741K,83,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,https://www.imdb.com/title/tt0316654/?ref_=sr_i_2
3. The Passion of the Christ,2004,2h 7m,R,7.2,258K,47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",https://www.imdb.com/title/tt0335345/?ref_=sr_i_3
4. Meet the Fockers,2004,1h 55m,PG-13,6.3,294K,41,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,https://www.imdb.com/title/tt0290002/?ref_=sr_i_4
5. The Incredibles,2004,1h 55m,PG,8.0,849K,90,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",https://www.imdb.com/title/tt0317705/?ref_=sr_i_5
6. Harry Potter and the Prisoner of Azkaban,2004,2h 22m,PG,7.9,725K,82,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",https://www.imdb.com/title/tt0304141/?ref_=sr_i_6
7. The Polar Express,2004,1h 40m,G,6.6,257K,61,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",https://www.imdb.com/title/tt0338348/?ref_=sr_i_7
8. The Day After Tomorrow,2004,2h 4m,PG-13,6.5,495K,47,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",https://www.imdb.com/title/tt0319262/?ref_=sr_i_8
9. The Bourne Supremacy,2004,1h 48m,PG-13,7.7,498K,73,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",https://www.imdb.com/title/tt0372183/?ref_=sr_i_9
10. National Treasure,2004,2h 11m,PG,6.9,366K,40,A historian races to find the legendary Templar Treasure before a team of mercenaries.,https://www.imdb.com/title/tt0368891/?ref_=sr_i_10
11. Shark Tale,2004,1h 30m,PG,6.0,205K,48,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.",https://www.imdb.com/title/tt0307453/?ref_=sr_i_11
"12. I, Robot",2004,1h 55m,PG-13,7.1,594K,59,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",https://www.imdb.com/title/tt0343818/?ref_=sr_i_12
13. Troy,2004,2h 43m,R,7.3,590K,56,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.",https://www.imdb.com/title/tt0332452/?ref_=sr_i_13
14. Ocean's Twelve,2004,2h 5m,PG-13,6.5,425K,58,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,https://www.imdb.com/title/tt0349903/?ref_=sr_i_14
15. 50 First Dates,2004,1h 39m,PG-13,6.8,397K,48,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,https://www.imdb.com/title/tt0343660/?ref_=sr_i_15
16. Van Helsing,2004,2h 11m,PG-13,6.1,296K,35,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.",https://www.imdb.com/title/tt0338526/?ref_=sr_i_16
17. Fahrenheit 9/11,2004,2h 2m,R,7.5,134K,67,Michael Moore's view on what happened to the United States after 9/11 and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.,https://www.imdb.com/title/tt0361596/?ref_=sr_i_17
18. A Series of Unfortunate Events,2004,1h 48m,PG,6.8,226K,62,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",https://www.imdb.com/title/tt0339291/?ref_=sr_i_18
19. Dodgeball: A True Underdog Story,2004,1h 32m,PG-13,6.7,275K,55,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,https://www.imdb.com/title/tt0364725/?ref_=sr_i_19
20. The Village,2004,1h 48m,PG-13,6.6,287K,44,A series of events tests the beliefs of a small isolated countryside village.,https://www.imdb.com/title/tt0368447/?ref_=sr_i_20
