Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Battleship Potemkin,1925,1h 6m,Not Rated,7.9,63K,97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",https://www.imdb.com/title/tt0015648/?ref_=sr_i_1,"['Nina Agadzhanova', 'Sergei Eisenstein', 'Grigoriy Aleksandrov']",['Sergei Eisenstein'],"['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Mikhail Gomorov', 'Aleksandr Levshin', 'Nina Poltavtseva', 'Konstantin Feldman', 'Prokhorenko', 'A. Glauberman']",,"$5,641","$61,389","$51,198","December 24, 1925",['Soviet Union'],"['Sevastopol, Crimea, Ukraine (battleship scenes)']",['Mosfilm'],"Awards, 1 win total","['Docudrama', 'Historical Epic', 'Period Drama', 'War Epic', 'Drama', 'History', 'Thriller', 'War']","['None', 'Russian', 'English']"
2. The Phantom of the Opera,1925,1h 33m,Passed,7.5,21K,,"A mad, disfigured composer seeks love with a lovely young opera singer.",https://www.imdb.com/title/tt0016220/?ref_=sr_i_2,"['Gaston Leroux', 'Walter Anthony', 'Elliott J. Clawson']","['Rupert Julian', 'Lon Chaney', 'Ernst Laemmle']","['Lon Chaney', 'Mary Philbin', 'Norman Kerry', 'Arthur Edmund Carewe', 'Gibson Gowland', 'John St. Polis', 'Snitz Edwards', 'Mary Fabian', 'Virginia Pearson', 'Alma Wayne']",,,"$4,360,000","$3,751,476","November 15, 1925",['United States'],"['Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA (Opera)']",['Universal Pictures'],"Awards, 4 wins & 1 nomination total","['Tragedy', 'Horror', 'Music']",['English']
3. Seven Chances,1925,56m,Passed,7.8,12K,,A man learns that he will inherit a fortune if he marries by 7PM that evening.,https://www.imdb.com/title/tt0016332/?ref_=sr_i_3,"['Roi Cooper Megrue', 'Clyde Bruckman', 'Jean C. Havez']",['Buster Keaton'],"['Buster Keaton', 'Ruth Dwyer', 'T. Roy Barnes', 'Snitz Edwards', 'Frances Raymond', 'Erwin Connelly', 'Jules Cowles', 'Eugenia Gilbert', 'Doris Deane', 'Judy King']",,,$268,,"March 15, 1925",['United States'],"['Chatsworth, Los Angeles, California, USA (train scene)']",['Buster Keaton Productions'],"Awards, 1 win & 1 nomination total","['Quirky Comedy', 'Slapstick', 'Comedy', 'Romance']","['None', 'English']"
4. The Gold Rush,1925,1h 35m,Approved,8.1,123K,,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",https://www.imdb.com/title/tt0015864/?ref_=sr_i_4,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman', 'Malcolm Waite', 'Georgia Hale', 'Jack Adams', 'Frank Aderias', 'Leona Aderias', 'Lillian Adrian']","$923,000 (estimated)",,"$31,490",,"August 16, 1925",['United States'],"['Sierra Nevada Mountains, California, USA']",['Charles Chaplin Productions'],"Nominated for 2 Oscars, 7 wins & 3 nominations total","['Farce', 'Feel-Good Romance', 'Romantic Comedy', 'Slapstick', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']","['None', 'English']"
5. Ben-Hur: A Tale of the Christ,1925,2h 23m,Not Rated,7.8,8.1K,,A Jewish prince seeks to find his family and revenge himself upon his childhood friend who had him wrongly imprisoned.,https://www.imdb.com/title/tt0016641/?ref_=sr_i_5,"['Lew Wallace', 'June Mathis', 'Carey Wilson']","['Fred Niblo', 'Charles Brabin', 'Christy Cabanne']","['Ramon Novarro', 'Francis X. Bushman', 'May McAvoy', 'Betty Bronson', 'Claire McDowell', 'Kathleen Key', 'Carmel Myers', 'Nigel De Brulier', 'Mitchell Lewis', 'Leo White']","$3,950,000 (estimated)",,,,"October 8, 1927",['United States'],"['Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA (the chariot race)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 4 wins total","['Adventure Epic', 'Epic', 'Action', 'Adventure', 'Drama', 'Romance']","['None', 'English']"
6. The Lost World,1925,1h 50m,Passed,7.0,6.1K,,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,https://www.imdb.com/title/tt0016039/?ref_=sr_i_6,"['Arthur Conan Doyle', 'Marion Fairfax']",['Harry O. Hoyt'],"['Wallace Beery', 'Bessie Love', 'Lloyd Hughes', 'Lewis Stone', 'Alma Bennett', 'Arthur Hoyt', 'Margaret McWade', 'Bull Montana', 'Frank Finch Smiles', 'Jules Cowles']",,,"$2,834,000","$1,194,450","June 22, 1925",['United States'],"['Biograph Studios, Bronx, New York City, New York, USA (live action sequences)']",['First National Pictures'],"Awards, 2 wins & 2 nominations total","['Dinosaur Adventure', 'Jungle Adventure', 'Quest', 'Adventure', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi', 'Thriller']",['English']
7. The Wizard of Oz,1925,1h 35m,TV-G,4.9,1.8K,,"Dorothy, heir to the Oz throne, must take it back from the wicked Prime Minister Kruel with the help of three farmhands.",https://www.imdb.com/title/tt0016544/?ref_=sr_i_7,"['L. Frank Baum', 'Frank Joslyn Baum', 'Leon Lee']",['Larry Semon'],"['Dorothy Dwan', 'Charles Murray', 'Oliver Hardy', 'Mary Carr', 'Virginia Pearson', 'Bryant Washburn', 'Josef Swickard', 'William Hauber', 'William Dinus', 'Frank Alexander']",,,,,April 1925,['United States'],,['Chadwick Pictures Corporation'],"Awards, 1 win total","['Slapstick', 'Adventure', 'Comedy', 'Family', 'Fantasy']",['English']
8. The Freshman,1925,1h 17m,Not Rated,7.5,6.3K,,A nerdy college student will do anything to become popular on campus.,https://www.imdb.com/title/tt0015841/?ref_=sr_i_8,"['Sam Taylor', 'Ted Wilde', 'John Grey']","['Fred C. Newmeyer', 'Sam Taylor']","['Harold Lloyd', 'Jobyna Ralston', 'Brooks Benedict', 'James H. Anderson', 'Hazel Keener', 'Joseph Harrington', 'Pat Harmon', 'Leon Beaumon', 'Ethel Broadhurst', 'Roy Brooks']","$301,681 (estimated)",,,,"September 20, 1925",['United States'],"['Rose Bowl - 1001 Rose Bowl Drive, Pasadena, California, USA (game sequences)']",['The Harold Lloyd Corporation'],"Awards, 3 wins total","['Comedy', 'Family', 'Romance', 'Sport']","['None', 'English']"
9. The Big Parade,1925,2h 31m,Not Rated,7.9,7.5K,,A young American soldier witnesses the horrors of the Great War.,https://www.imdb.com/title/tt0015624/?ref_=sr_i_9,"['Laurence Stallings', 'Harry Behn', 'Joseph Farnham']","['King Vidor', 'George W. Hill']","['John Gilbert', 'Renée Adorée', 'Hobart Bosworth', 'Claire McDowell', 'Claire Adams', 'Robert Ober', ""Tom O'Brien"", 'Karl Dane', 'Rosita Marstini', 'Arthur H. Allen']","$245,000 (estimated)",,,,"December 3, 1925",['United States'],"['Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA (Belleau Wood)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 6 wins total","['Coming-of-Age', 'Epic', 'Romantic Epic', 'War Epic', 'Drama', 'Romance', 'War']","['None', 'English', 'French']"
10. Go West,1925,1h 9m,Not Rated,7.1,5.3K,,With little luck at keeping a job in the city a New Yorker tries work in the country and eventually finds his way leading a herd of cattle to the West Coast.,https://www.imdb.com/title/tt0015863/?ref_=sr_i_10,"['Buster Keaton', 'Lex Neal', 'Raymond Cannon']",['Buster Keaton'],"['Buster Keaton', 'Howard Truesdale', 'Kathleen Myers', 'Ray Thompson', 'Brown Eyes', ""Roscoe 'Fatty' Arbuckle"", 'Joe Keaton', 'Gus Leonard', 'Babe London']",,,$358,,"November 1, 1925",['United States'],"['Kingman, Arizona, USA']",['Buster Keaton Productions'],"Awards, 1 nomination total","['Comedy', 'Western']","['None', 'English']"
