Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. American Sniper,2014,2h 13m,R,7.3,548K,73,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",https://www.imdb.com/title/tt2179136/?ref_=sr_i_1
2. The Hunger Games: Mockingjay - Part 1,2014,2h 3m,PG-13,6.6,521K,64,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",https://www.imdb.com/title/tt1951265/?ref_=sr_i_2
3. Guardians of the Galaxy,2014,2h 1m,PG-13,8.0,1.3M,76,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,https://www.imdb.com/title/tt2015381/?ref_=sr_i_3
4. Captain America: The Winter Soldier,2014,2h 16m,PG-13,7.7,929K,70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",https://www.imdb.com/title/tt1843866/?ref_=sr_i_4
5. The Lego Movie,2014,1h 40m,PG,7.7,400K,83,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",https://www.imdb.com/title/tt1490017/?ref_=sr_i_5
6. The Hobbit: The Battle of the Five Armies,2014,2h 24m,R,7.4,594K,59,Bilbo Baggins and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,https://www.imdb.com/title/tt2310332/?ref_=sr_i_6
7. Transformers: Age of Extinction,2014,2h 45m,PG-13,5.6,340K,32,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",https://www.imdb.com/title/tt2109248/?ref_=sr_i_7
8. Maleficent,2014,1h 37m,PG,6.9,412K,56,"A vengeful fairy is driven to curse an infant princess, only to discover that the child could be the one person who can restore peace to their troubled land.",https://www.imdb.com/title/tt1587310/?ref_=sr_i_8
9. X-Men: Days of Future Past,2014,2h 12m,PG-13,7.9,767K,75,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,https://www.imdb.com/title/tt1877832/?ref_=sr_i_9
10. Big Hero 6,2014,1h 42m,PG,7.8,525K,74,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",https://www.imdb.com/title/tt2245084/?ref_=sr_i_10
11. Dawn of the Planet of the Apes,2014,2h 10m,PG-13,7.6,498K,79,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,https://www.imdb.com/title/tt2103281/?ref_=sr_i_11
12. The Amazing Spider-Man 2,2014,2h 22m,PG-13,6.6,560K,53,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",https://www.imdb.com/title/tt1872181/?ref_=sr_i_12
13. Interstellar,2014,2h 49m,PG-13,8.7,2.3M,74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://www.imdb.com/title/tt0816692/?ref_=sr_i_13
14. Godzilla,2014,2h 3m,PG-13,6.4,453K,62,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",https://www.imdb.com/title/tt0831387/?ref_=sr_i_14
15. 22 Jump Street,2014,1h 52m,R,7.0,421K,71,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",https://www.imdb.com/title/tt2294449/?ref_=sr_i_15
16. Teenage Mutant Ninja Turtles,2014,1h 41m,PG-13,5.8,225K,31,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",https://www.imdb.com/title/tt1291150/?ref_=sr_i_16
17. How to Train Your Dragon 2,2014,1h 42m,PG,7.8,379K,77,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",https://www.imdb.com/title/tt1646971/?ref_=sr_i_17
18. Gone Girl,2014,2h 29m,R,8.1,1.1M,79,The husband of a missing woman becomes the chief suspect in her disappearance.,https://www.imdb.com/title/tt2267998/?ref_=sr_i_18
19. Divergent,2014,2h 19m,PG-13,6.6,504K,48,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",https://www.imdb.com/title/tt1840309/?ref_=sr_i_19
20. Neighbors,2014,1h 37m,R,6.3,337K,68,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",https://www.imdb.com/title/tt2004420/?ref_=sr_i_20
21. Ride Along,2014,1h 39m,PG-13,6.1,126K,41,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",https://www.imdb.com/title/tt1408253/?ref_=sr_i_21
22. Rio 2,2014,1h 41m,G,6.3,106K,49,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",https://www.imdb.com/title/tt2357291/?ref_=sr_i_22
23. Kingsman: The Secret Service,2014,2h 9m,R,7.7,748K,60,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",https://www.imdb.com/title/tt2802144/?ref_=sr_i_23
24. Into the Woods,2014,2h 5m,PG,5.9,151K,69,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,https://www.imdb.com/title/tt2180411/?ref_=sr_i_24
25. Lucy,2014,1h 29m,R,6.4,554K,62,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",https://www.imdb.com/title/tt2872732/?ref_=sr_i_25
26. The Fault in Our Stars,2014,2h 6m,PG-13,7.6,414K,69,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.",https://www.imdb.com/title/tt2582846/?ref_=sr_i_26
27. Unbroken,2014,2h 17m,PG-13,7.2,190K,59,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",https://www.imdb.com/title/tt1809398/?ref_=sr_i_27
28. Night at the Museum: Secret of the Tomb,2014,1h 38m,PG,6.2,142K,47,"Larry Daley and his heroic friends embark on the greatest adventure of their lives, as they travel to London to save the magic that, after dark, allows the museum's exhibits to come to life.",https://www.imdb.com/title/tt2692250/?ref_=sr_i_28
29. Mr. Peabody & Sherman,2014,1h 32m,PG,6.7,81K,59,"Sherman, a young boy, misuses a time machine made by his scientist father Mr. Peabody and causes the world history to go haywire. It is now up to Mr. Peabody to rescue his son and the world.",https://www.imdb.com/title/tt0864835/?ref_=sr_i_29
30. 300: Rise of an Empire,2014,1h 42m,R,6.2,323K,48,"Greek general Themistocles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",https://www.imdb.com/title/tt1253863/?ref_=sr_i_30
31. The Maze Runner,2014,1h 53m,PG-13,6.8,533K,57,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",https://www.imdb.com/title/tt1790864/?ref_=sr_i_31
32. The Equalizer,2014,2h 12m,R,7.3,442K,57,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,https://www.imdb.com/title/tt0455944/?ref_=sr_i_32
33. Noah,2014,2h 18m,PG-13,5.8,271K,68,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,https://www.imdb.com/title/tt1959490/?ref_=sr_i_33
34. Edge of Tomorrow,2014,1h 53m,PG-13,7.9,768K,71,A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.,https://www.imdb.com/title/tt1631867/?ref_=sr_i_34
35. Non-Stop,2014,1h 46m,PG-13,6.9,282K,56,"An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes.",https://www.imdb.com/title/tt2024469/?ref_=sr_i_35
36. Heaven Is for Real,2014,1h 39m,PG,5.9,29K,47,"A small-town father must find the courage and conviction to share his son's extraordinary, life-changing experience with the world.",https://www.imdb.com/title/tt1929263/?ref_=sr_i_36
37. The Imitation Game,2014,1h 54m,PG-13,8.0,850K,71,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",https://www.imdb.com/title/tt2084970/?ref_=sr_i_37
38. Taken 3,2014,1h 48m,PG-13,6.0,210K,26,"Framed for his ex-Wife's murder, Bryan Mills sets out to take revenge on the real killers.",https://www.imdb.com/title/tt2446042/?ref_=sr_i_38
39. Dumb and Dumber To,2014,1h 49m,PG-13,5.6,149K,36,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",https://www.imdb.com/title/tt2096672/?ref_=sr_i_39
40. Annie,2014,1h 58m,PG,5.4,42K,33,A foster kid who lives with her mean foster mom sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.,https://www.imdb.com/title/tt1823664/?ref_=sr_i_40
41. Fury,2014,2h 14m,R,7.6,575K,64,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",https://www.imdb.com/title/tt2713180/?ref_=sr_i_41
42. Tammy,2014,1h 37m,R,4.9,56K,39,"After getting fired and finding out that her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother.",https://www.imdb.com/title/tt2103254/?ref_=sr_i_42
