Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. 2001: A Space Odyssey,1968,2h 29m,G,8.3,749K,84,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",https://www.imdb.com/title/tt0062622/?ref_=sr_i_1
2. Funny Girl,1968,2h 31m,G,7.4,26K,88,"The life of Fanny Brice, famed comedienne and entertainer of the early 1900s: her rise to fame as a Ziegfeld Girl, her subsequent career, and her personal life, particularly her relationship with Nick Arnstein.",https://www.imdb.com/title/tt0062994/?ref_=sr_i_2
3. The Odd Couple,1968,1h 45m,G,7.6,39K,86,"A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day.",https://www.imdb.com/title/tt0063374/?ref_=sr_i_3
4. Planet of the Apes,1968,1h 52m,G,8.0,204K,79,"After being kept in hypersleep during a long expedition into deep space, an astronaut crew crash-lands in the 40th century on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.",https://www.imdb.com/title/tt0063442/?ref_=sr_i_4
5. Hang 'Em High,1968,1h 54m,Approved,7.0,46K,62,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",https://www.imdb.com/title/tt0061747/?ref_=sr_i_5
6. Chitty Chitty Bang Bang,1968,2h 24m,G,7.0,53K,64,"A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land.",https://www.imdb.com/title/tt0062803/?ref_=sr_i_6
7. Where Eagles Dare,1968,2h 38m,M,7.6,65K,63,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",https://www.imdb.com/title/tt0065207/?ref_=sr_i_7
8. Once Upon a Time in the West,1968,2h 46m,PG-13,8.5,366K,82,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://www.imdb.com/title/tt0064116/?ref_=sr_i_8
9. Coogan's Bluff,1968,1h 34m,Approved,6.4,20K,,Arizona Deputy Sheriff Coogan is sent to New York City to escort an escaped fugitive back for trial.,https://www.imdb.com/title/tt0062824/?ref_=sr_i_9
10. Yellow Submarine,1968,1h 25m,G,7.4,29K,79,The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.,https://www.imdb.com/title/tt0063823/?ref_=sr_i_10
