Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Swiss Family Robinson,1960,2h 6m,Approved,7.1,19K,61,A Swiss family must survive being shipwrecked on a deserted island.,https://www.imdb.com/title/tt0054357/?ref_=sr_i_1
2. Psycho,1960,1h 49m,R,8.5,748K,97,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/?ref_=sr_i_2
3. The Apartment,1960,2h 5m,Approved,8.3,208K,94,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/?ref_=sr_i_3
4. Spartacus,1960,3h 17m,PG-13,7.9,147K,87,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",https://www.imdb.com/title/tt0054331/?ref_=sr_i_4
5. Breathless,1960,1h 30m,Not Rated,7.7,91K,,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.",https://www.imdb.com/title/tt0053472/?ref_=sr_i_5
6. Mughal-E-Azam,1960,3h 17m,Not Rated,8.1,9.2K,,A 16th century prince falls in love with a court dancer and battles with his emperor father.,https://www.imdb.com/title/tt0054098/?ref_=sr_i_6
7. The Big Risk,1960,1h 43m,Not Rated,7.5,4.7K,84,"A ruthless criminal flees from the pursuit, involving more and more casualties.",https://www.imdb.com/title/tt0052698/?ref_=sr_i_7
8. Eyes Without a Face,1960,1h 30m,Approved,7.6,37K,90,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,https://www.imdb.com/title/tt0053459/?ref_=sr_i_8
9. The Bad Sleep Well,1960,2h 31m,Not Rated,8.0,15K,,A vengeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father's suicide.,https://www.imdb.com/title/tt0054460/?ref_=sr_i_9
10. Peeping Tom,1960,1h 41m,Not Rated,7.6,42K,,"A young man murders women, using a movie camera to film their dying expressions of terror.",https://www.imdb.com/title/tt0054167/?ref_=sr_i_10
11. The Hole,1960,2h 11m,Not Rated,8.5,22K,,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.,https://www.imdb.com/title/tt0054407/?ref_=sr_i_11
12. The Passionate Thief,1960,1h 46m,,7.3,976,,"Tortorella tries to spend New Year's Eve with her wealthy friends, but ends up with an actor in decay and a pickpocket.",https://www.imdb.com/title/tt0054242/?ref_=sr_i_12
13. Shoot the Piano Player,1960,1h 32m,Not Rated,7.4,21K,,"A pianist helps his brother escape from two gangsters, who retaliate by abducting their kid brother.",https://www.imdb.com/title/tt0054389/?ref_=sr_i_13
14. The Pusher,1960,1h 21m,Not Rated,6.2,173,,"A detective investigating the murder of a heroin addict discovers that there is a connection between the junkie and his fiancee, who is his boss' daughter.",https://www.imdb.com/title/tt0054219/?ref_=sr_i_14
15. The Lost World,1960,1h 37m,Approved,5.5,4.8K,,Professor Challenger leads an expedition of scientists and adventurers to a remote plateau deep in the Amazonian jungle to verify his claim that dinosaurs still live there.,https://www.imdb.com/title/tt0054038/?ref_=sr_i_15
16. The Magnificent Seven,1960,2h 8m,Approved,7.7,106K,74,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,https://www.imdb.com/title/tt0054047/?ref_=sr_i_16
17. La Dolce Vita,1960,2h 54m,Not Rated,8.0,82K,95,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,https://www.imdb.com/title/tt0053779/?ref_=sr_i_17
18. The Alamo,1960,2h 42m,Approved,6.8,19K,,"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",https://www.imdb.com/title/tt0053580/?ref_=sr_i_18
19. The Time Machine,1960,1h 43m,G,7.5,46K,67,A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.,https://www.imdb.com/title/tt0054387/?ref_=sr_i_19
20. Ocean's Eleven,1960,2h 7m,Approved,6.5,26K,57,Danny Ocean gathers a group of his World War II compatriots to pull off the ultimate Las Vegas heist. Together the eleven friends plan to rob five Las Vegas casinos in one night.,https://www.imdb.com/title/tt0054135/?ref_=sr_i_20
21. Purple Noon,1960,1h 58m,PG-13,7.7,22K,,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess.",https://www.imdb.com/title/tt0054189/?ref_=sr_i_21
22. The Little Shop of Horrors,1960,1h 13m,Not Rated,6.2,20K,,"A clumsy young man working at an impoverished flower shop discovers that the strange plant he has been nurturing has an insatiable appetite for blood, forcing him to kill to feed it.",https://www.imdb.com/title/tt0054033/?ref_=sr_i_22
23. Inherit the Wind,1960,2h 8m,Approved,8.1,34K,75,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.",https://www.imdb.com/title/tt0053946/?ref_=sr_i_23
24. Pollyanna,1960,2h 14m,G,7.4,12K,66,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,https://www.imdb.com/title/tt0054195/?ref_=sr_i_24
25. Sink the Bismarck!,1960,1h 37m,Approved,7.2,8.7K,,The World War II story of the Royal Navy's effort to defeat Nazi Germany's most powerful warship.,https://www.imdb.com/title/tt0054310/?ref_=sr_i_25
26. Black Sunday,1960,1h 27m,Approved,7.1,19K,,"Decades after being executed for witchcraft, vengeful Princess Asa Vajda and her fiendish servant are resurrected and begin a bloody campaign to possess the body of Asa Vajda's beautiful look-alike descendant Princess Katia.",https://www.imdb.com/title/tt0054067/?ref_=sr_i_26
27. L'Avventura,1960,2h 24m,Not Rated,7.7,35K,,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",https://www.imdb.com/title/tt0053619/?ref_=sr_i_27
28. Guns of the Timberland,1960,1h 31m,Approved,5.5,606,,Feud between ranchers and lumberjacks over the issue of environment protection versus profits.,https://www.imdb.com/title/tt0053884/?ref_=sr_i_28
29. Exodus,1960,3h 28m,Approved,6.7,12K,70,"The State of Israel is created in 1948, resulting in war with its Arab neighbors.",https://www.imdb.com/title/tt0053804/?ref_=sr_i_29
30. The Virgin Spring,1960,1h 29m,Not Rated,8.0,33K,,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",https://www.imdb.com/title/tt0053976/?ref_=sr_i_30
31. Rocco and His Brothers,1960,2h 59m,Not Rated,8.2,24K,84,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",https://www.imdb.com/title/tt0054248/?ref_=sr_i_31
32. Elmer Gantry,1960,2h 26m,Approved,7.7,14K,,"A fast-talking traveling salesman with a charming, loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.",https://www.imdb.com/title/tt0053793/?ref_=sr_i_32
33. From the Terrace,1960,2h 29m,Approved,6.7,3.3K,,An ambitious young executive chooses a loveless marriage and an unfulfilling personal life in exchange for a successful Wall Street career.,https://www.imdb.com/title/tt0053841/?ref_=sr_i_33
34. Village of the Damned,1960,1h 17m,Approved,7.3,20K,77,"In the English village of Midwich, the blonde-haired, glowing-eyed children of uncertain paternity prove to have frightening powers.",https://www.imdb.com/title/tt0054443/?ref_=sr_i_34
35. Two Women,1960,1h 41m,Not Rated,7.7,13K,,"In WWII Italy, a widow and her lonely daughter seek distance between themselves and the horrors of war.",https://www.imdb.com/title/tt0054749/?ref_=sr_i_35
36. North to Alaska,1960,2h 2m,Approved,6.9,8.8K,,"During the Alaska gold rush, prospector George sends partner Sam to Seattle to bring his fiancée but when it turns out that she married another man, Sam returns with a pretty substitute, the hostess of the Henhouse dance hall.",https://www.imdb.com/title/tt0054127/?ref_=sr_i_36
37. The Unforgiven,1960,2h 5m,Approved,6.6,10K,,The neighbors of a frontier family turn on them when it is suspected that their adopted daughter was stolen from the local Kiowa tribe.,https://www.imdb.com/title/tt0054428/?ref_=sr_i_37
38. 13 Ghosts,1960,1h 25m,Approved,6.0,7.8K,56,A family inherits a house with 12 ghosts who want a 13th.,https://www.imdb.com/title/tt0053559/?ref_=sr_i_38
39. The Facts of Life,1960,1h 43m,Approved,6.3,1.8K,,Sophisticated comedy with Larry and Kitty leaving their spouses for an interlude together.,https://www.imdb.com/title/tt0053810/?ref_=sr_i_39
40. Beyond the Time Barrier,1960,1h 14m,Not Rated,5.3,2.2K,,"In 1960, a military test pilot is caught in a time warp that propels him to year 2024 where he finds a plague has sterilized the world's population.",https://www.imdb.com/title/tt0053651/?ref_=sr_i_40
41. It Takes a Thief,1960,1h 41m,Approved,6.0,411,,"A gang leader dumps her criminal boyfriend when he is convicted of robbery, but he recovers the stolen loot once he's released. In retaliation, the gang kidnaps his son and demands the money as ransom.",https://www.imdb.com/title/tt0053958/?ref_=sr_i_41
42. BUtterfield 8,1960,1h 49m,Not Rated,6.3,7.7K,48,"A beautiful New York model and socialite enjoys a very active night-life, but all things change when she falls for a married man and the consequences are tragic.",https://www.imdb.com/title/tt0053622/?ref_=sr_i_42
43. The Story of Ruth,1960,2h 12m,Approved,6.7,1.5K,,"Inspired by the scriptural tale. Moabitess priestess Ruth is drawn both to a Judean man and to his talk of a forgiving God. After tragedy strikes, she begins a new life in Bethlehem.",https://www.imdb.com/title/tt0054343/?ref_=sr_i_43
44. Where the Boys Are,1960,1h 39m,Approved,6.7,3.2K,63,"Four very different college girls drive to Fort Lauderdale, Florida for spring break and seek out various adventures and romance for themselves.",https://www.imdb.com/title/tt0054469/?ref_=sr_i_44
45. The Fugitive Kind,1960,1h 59m,Approved,7.1,7.6K,,A guitar-playing drifter wanders into a small Mississippi town and inflames two troubled women.,https://www.imdb.com/title/tt0052832/?ref_=sr_i_45
46. The Housemaid,1960,1h 49m,Not Rated,7.2,6.2K,,A composer and his wife are thrown into turmoil when a housemaid becomes more than they bargained for.,https://www.imdb.com/title/tt0150980/?ref_=sr_i_46
47. Private Property,1960,1h 19m,Not Rated,6.7,1.4K,80,"An arrogant criminal offers to seduce a woman for his dim, sexually inexperienced partner.",https://www.imdb.com/title/tt0054209/?ref_=sr_i_47
48. The Truth,1960,2h 7m,Not Rated,7.6,4.8K,,A liberated small-town girl stands on trial to determine whether she killed her lover in a crime of passion or in premeditation.,https://www.imdb.com/title/tt0054452/?ref_=sr_i_48
49. The Brides of Dracula,1960,1h 25m,Approved,6.6,9.4K,64,"Vampire hunter Dr. Van Helsing returns to Transylvania to destroy handsome bloodsucker Baron Meinster, who has designs on a beautiful young schoolteacher.",https://www.imdb.com/title/tt0053677/?ref_=sr_i_49
50. House of Usher,1960,1h 19m,Approved,6.9,16K,75,"Upon entering his fiancée's family mansion, a man discovers a savage family curse and fears that his future brother-in-law has entombed his bride-to-be prematurely.",https://www.imdb.com/title/tt0053925/?ref_=sr_i_50
51. Cash McCall,1960,1h 42m,Approved,6.3,1.7K,,James Garner put in a winning performance as a similarly unreconstructed capitalist in the grip of merger mania.,https://www.imdb.com/title/tt0052680/?ref_=sr_i_51
52. The Day They Robbed the Bank of England,1960,1h 25m,Approved,6.6,1K,,"In 1901, a group of IRA members decides to rob the Bank of England in order to finance their movement and to embarrass the British government.",https://www.imdb.com/title/tt0053752/?ref_=sr_i_52
53. Never on Sunday,1960,1h 37m,Not Rated,7.3,6.3K,,An American scholar in Greece sets about improving the prostitute with whom he is infatuated.,https://www.imdb.com/title/tt0054198/?ref_=sr_i_53
54. G.I. Blues,1960,1h 44m,PG,6.2,4.7K,,"Tulsa McLean, a soldier with dreams of running his own nightclub, places a bet with his friend Dynamite that he can win the heart of an untouchable dancer. But when Dynamite is transferred, Tulsa must replace him in the bet.",https://www.imdb.com/title/tt0053848/?ref_=sr_i_54
55. Please Don't Eat the Daisies,1960,1h 52m,Approved,6.4,5.2K,,Drama professor turned theater critic balances his home life and career when he moves to the country with his wife and their four sons.,https://www.imdb.com/title/tt0054188/?ref_=sr_i_55
56. Let's Make Love,1960,1h 59m,Approved,6.4,8.3K,,"When billionaire Jean-Marc Clement learns that he is to be satirized in an off-Broadway revue, he passes himself off as an actor playing him in order to get closer to the beautiful star of the show, Amanda Dell.",https://www.imdb.com/title/tt0054022/?ref_=sr_i_56
57. The Gallant Hours,1960,1h 55m,Approved,7.1,2.1K,,"A semi-documentary dramatization of five weeks in the life of Vice Admiral William F. ""Bull"" Halsey, Jr., from his assignment to command the U.S. naval operations in the South Pacific to the Allied victory at Guadalcanal.",https://www.imdb.com/title/tt0053849/?ref_=sr_i_57
58. Faces in the Dark,1960,1h 24m,,6.6,390,,"Inventor Richard Hammond goes blind and mentally unstable after lab accident. His family brings him to countryside home. Hammond suspects something suspicious about their motives and circumstances, building tension and mystery.",https://www.imdb.com/title/tt0053809/?ref_=sr_i_58
