link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0054357/?ref_=sr_i_1,"['Lowell S. Hawley', 'Johann David Wyss']",['Ken Annakin'],"['John Mills', 'Dorothy McGuire', 'James MacArthur', 'Janet Munro', 'Sessue Hayakawa', 'Tommy Kirk', 'Kevin Corcoran', 'Cecil Parker', 'Andy Ho', 'Milton Reid']","$5,000,000 (estimated)",,"$40,357,287","$40,356,000","December 21, 1960",['United States'],"['Tobago, Trinidad and Tobago (this picture was filmed on the Island of Tobago, The West Indies)']",['Walt Disney Productions'],,"['Survival', 'Adventure', 'Family']","['English', 'Malay']"
https://www.imdb.com/title/tt0054215/?ref_=sr_i_2,"['Joseph Stefano', 'Robert Bloch']",['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor']","$806,947 (estimated)",,"$32,248,065","$32,181,230","September 8, 1960",['United States'],"['Psycho House and Bates Motel, Backlot Universal Studios, Universal City, California, USA (exterior of Bates Motel and house)']","['Alfred J. Hitchcock Productions', 'Shamley Productions']","Nominated for 4 Oscars, 8 wins & 14 nominations total","['Dark Comedy', 'Psychological Horror', 'Psychological Thriller', 'Slasher Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",['English']
https://www.imdb.com/title/tt0053604/?ref_=sr_i_3,"['Billy Wilder', 'I.A.L. Diamond']",['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen', 'David Lewis', 'Hope Holiday', 'Joan Shawlee', 'Naomi Stevens', 'Johnny Seven']","$3,000,000 (estimated)",,"$18,783,770","$18,600,000","June 29, 1960",['United States'],"['Majestic Theater, 247 West 44th Street, Manhattan, New York City, New York, USA']",['The Mirisch Corporation'],"Won 5 Oscars, 25 wins & 8 nominations total","['Farce', 'Holiday Comedy', 'Holiday Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Holiday', 'Romance']",['English']
https://www.imdb.com/title/tt0054331/?ref_=sr_i_4,"['Dalton Trumbo', 'Howard Fast', 'Peter Ustinov']","['Stanley Kubrick', 'Anthony Mann']","['Kirk Douglas', 'Laurence Olivier', 'Tony Curtis', 'Jean Simmons', 'Charles Laughton', 'Peter Ustinov', 'John Gavin', 'Nina Foch', 'John Ireland', 'Herbert Lom']","$12,000,000 (estimated)","$92,162","$1,846,975","$1,830,650","November 17, 1960",['United States'],"[""Hearst Castle, San Simeon, California, USA (Crassus' villa)""]",['Bryna Productions'],"Won 4 Oscars, 12 wins & 11 nominations total","['Adventure Epic', 'Epic', 'Historical Epic', 'Sword & Sandal', 'War Epic', 'Adventure', 'Biography', 'Drama', 'History', 'War']",['English']
https://www.imdb.com/title/tt0053472/?ref_=sr_i_5,"['François Truffaut', 'Jean-Luc Godard', 'Claude Chabrol']",['Jean-Luc Godard'],"['Jean-Paul Belmondo', 'Jean Seberg', 'Van Doude', 'Jean-Luc Godard', 'Richard Balducci', 'Daniel Boulanger', 'Gérard Brach', 'Philippe de Broca', 'José Bénazéraf', 'Jean Domarchi']","FRF400,000 (estimated)","$32,424","$594,039","$414,173","February 7, 1961",['France'],"['11 rue Campagne Première, Paris 14, Paris, France (on location)']","['Les Films Impéria', 'Les Productions Georges de Beauregard', 'Société Nouvelle de Cinématographie (SNC)']","Nominated for 1 BAFTA Award, 5 wins & 4 nominations total","['Caper', 'Crime', 'Drama']","['French', 'English']"
https://www.imdb.com/title/tt0054098/?ref_=sr_i_6,"['K. Asif', 'Aman', 'Kamal Amrohi']",['K. Asif'],"['Prithviraj Kapoor', 'Madhubala', 'Dilip Kumar', 'Durga Khote', 'Nigar Sultana', 'Ajit Khan', 'M. Kumar', 'Murad', 'Jillo', 'Vijayalaxmi']","₹15,000,000 (estimated)","$60,258","$161,434","$161,434","August 5, 1960",['India'],,['Sterling Investment Corp.'],"Awards, 3 wins & 3 nominations total","['Period Drama', 'Tragic Romance', 'Drama', 'Romance', 'War']","['Hindi', 'Urdu']"
https://www.imdb.com/title/tt0052698/?ref_=sr_i_7,"['José Giovanni', 'Claude Sautet', 'Pascal Jardin']",['Claude Sautet'],"['Lino Ventura', 'Sandra Milo', 'Jean-Paul Belmondo', 'Marcel Dalio', 'Michel Ardan', 'Simone Desmaison', 'Michèle Méritz', 'Stan Krol', 'Evelyne Ker', 'Betty Schneider']",,"$11,945","$132,928","$132,928","April 1, 1960","['France', 'Italy']","['Nice, Alpes-Maritimes, France']","['Mondex Films', 'Les Films Odéon', 'Filmsonor']",,"['Crime', 'Drama', 'Romance', 'Thriller']","['French', 'Italian']"
https://www.imdb.com/title/tt0053459/?ref_=sr_i_8,"['Jean Redon', 'Pierre Boileau', 'Thomas Narcejac']",['Georges Franju'],"['Pierre Brasseur', 'Alida Valli', 'Juliette Mayniel', 'Alexandre Rignault', 'Béatrice Altariba', 'Charles Blavette', 'Edith Scob', 'Claude Brasseur', 'Michel Etcheverry', 'Yvette Etiévant']",,"$19,628","$61,453","$58,565","October 24, 1962","['France', 'Italy']","['Studios de Boulogne, Avenue Jean-Baptiste Clément, Boulogne-Billancourt, Hauts-de-Seine, France (Studio)']","['Champs-Élysées Productions', 'Lux Film']",,"['Body Horror', 'Drama', 'Horror']",['French']
https://www.imdb.com/title/tt0054460/?ref_=sr_i_9,"['Hideo Oguni', 'Eijirô Hisaita', 'Akira Kurosawa']",['Akira Kurosawa'],"['Toshirô Mifune', 'Masayuki Mori', 'Kyôko Kagawa', 'Tatsuya Mihashi', 'Takashi Shimura', 'Kô Nishimura', 'Takeshi Katô', 'Kamatari Fujiwara', 'Chishû Ryû', 'Seiji Miyaguchi']","¥82,540,000 (estimated)","$15,942","$47,023","$46,808","January 22, 1963",['Japan'],"['Aso Kuju National Park, Kyushu, Japan (volcanic area)']","['Toho', 'Kurosawa Production Co.']","Awards, 3 wins & 1 nomination total","['Tragedy', 'Crime', 'Drama', 'Thriller']",['Japanese']
https://www.imdb.com/title/tt0054167/?ref_=sr_i_10,['Leo Marks'],['Michael Powell'],"['Karlheinz Böhm', 'Anna Massey', 'Moira Shearer', 'Maxine Audley', 'Brenda Bruce', 'Miles Malleson', 'Esmond Knight', 'Martin Miller', 'Michael Goodliffe', 'Jack Watson']","£135,000 (estimated)",,"$99,129","$36,598","May 16, 1960",['United Kingdom'],"[""Newman Arms - 23 Rathbone Street, Fitzrovia, London, England, UK (Pub below Dora's flat)""]",['Michael Powell (Theatre)'],"Awards, 1 win total","['Slasher Horror', 'Drama', 'Horror', 'Thriller']",['English']
