Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The 39 Steps,1935,1h 26m,Approved,7.6,64K,93.0,"A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to steal top-secret information.",https://www.imdb.com/title/tt0026029/?ref_=sr_i_1,"['John Buchan', 'Charles Bennett', 'Ian Hay']",['Alfred Hitchcock'],"['Robert Donat', 'Madeleine Carroll', 'Lucie Mannheim', 'Godfrey Tearle', 'Peggy Ashcroft', 'John Laurie', 'Helen Haye', 'Frank Cellier', 'Wylie Watson', 'Gus McNaughton']","£50,000 (estimated)",,"$52,623",,"July 31, 1935",['United Kingdom'],"[""Glen Coe, Highland, Scotland, UK (Hannay arrives at Professor Jordan's home)""]",['Gaumont British Picture Corporation'],"Awards, 3 wins & 1 nomination total","['Conspiracy Thriller', 'Spy', 'Suspense Mystery', 'Whodunnit', 'Crime', 'Mystery', 'Thriller']",['English']
2. The Irish in Us,1935,1h 24m,Approved,6.2,812,,"Two brothers, a police officer and a boxing promoter, vie for the affections of a lovely young woman.",https://www.imdb.com/title/tt0026534/?ref_=sr_i_2,"['Earl Baldwin', 'Frank Orsatti']",['Lloyd Bacon'],"['James Cagney', ""Pat O'Brien"", 'Olivia de Havilland', 'Frank McHugh', 'Allen Jenkins', 'Mary Gordon', 'J. Farrell MacDonald', 'Thomas E. Jackson', 'Harvey Parry', 'Phil Bloom']",,,,,"August 3, 1935",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 2 wins total",['Comedy'],['English']
3. Triumph of the Will,1935,1h 50m,Approved,7.1,19K,,"The infamous propaganda film of the 1934 Nazi Party rally in Nuremberg, Germany.",https://www.imdb.com/title/tt0025913/?ref_=sr_i_3,"['Leni Riefenstahl', 'Walter Ruttmann', 'Eberhard Taubert']",['Leni Riefenstahl'],"['Adolf Hitler', 'Hermann Göring', 'Max Amann', 'Martin Bormann', 'Walter Buch', 'Walter Darré', 'Otto Dietrich', 'Sepp Dietrich', 'Hans Frank', 'Joseph Goebbels']","DEM280,000 (estimated)",,,,"March 28, 1935",['Germany'],"['Nuremberg, Bavaria, Germany']","['Leni Riefenstahl-Produktion', 'Reichspropagandaleitung der NSDAP']","Awards, 1 win & 1 nomination total","['Epic', 'Historical Epic', 'History Documentary', 'Military Documentary', 'Political Documentary', 'Documentary', 'History']",['German']
4. Bride of Frankenstein,1935,1h 15m,Approved,7.8,56K,95.0,"Mary Shelley reveals the main characters of her novel survived: Baron Henry Frankenstein, goaded by an even madder scientist, builds his monster a mate.",https://www.imdb.com/title/tt0026138/?ref_=sr_i_4,"['Mary Shelley', 'William Hurlbut', 'John L. Balderston']",['James Whale'],"['Boris Karloff', 'Elsa Lanchester', 'Colin Clive', 'Valerie Hobson', 'Ernest Thesiger', 'Gavin Gordon', 'Douglas Walton', ""Una O'Connor"", 'E.E. Clive', 'Lucien Prival']","$397,024 (estimated)",,"$11,533",,"May 6, 1935",['United States'],"['Court of Miracles, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA']","['Motion Picture Producers and Distributors Association of America', 'Universal Pictures']","Nominated for 1 Oscar, 6 wins & 4 nominations total","['Body Horror', 'Monster Horror', 'Tragedy', 'Drama', 'Horror', 'Sci-Fi']",['English']
5. Going Highbrow,1935,1h 7m,Approved,6.1,313,,A social-climbing couple throw a lavish party for a stranger they persuaded to pose as their daughter.,https://www.imdb.com/title/tt0026420/?ref_=sr_i_5,"['Edward Kaufman', 'Sy Bartlett', 'Ralph Spence']",['Robert Florey'],"['Guy Kibbee', 'Zasu Pitts', 'Edward Everett Horton', 'Ross Alexander', 'June Martel', 'Gordon Westcott', 'Judy Canova', 'Nella Walker', 'Jack Norton', 'Arthur Treacher']",,,,,"August 23, 1935",['United States'],"['Waldorf-Astoria Hotel - 301 Park Avenue, Manhattan, New York City, New York, USA (exterior establishing shot)']",['Warner Bros.'],,"['Comedy', 'Romance']","['English', 'French']"
6. In Caliente,1935,1h 24m,Approved,5.9,421,,"A magazine editor at a resort falls for a Spanish dancer he once criticized, unaware of her identity. Her uncle plots to exploit this, while she seeks revenge. A rival pursues the editor as romance blooms.",https://www.imdb.com/title/tt0026523/?ref_=sr_i_6,"['Jerry Wald', 'Julius J. Epstein', 'Ralph Block']",['Lloyd Bacon'],"['Dolores Del Río', ""Pat O'Brien"", 'Leo Carrillo', 'Edward Everett Horton', 'Glenda Farrell', 'Tony De Marco', 'Sally De Marco', 'Phil Regan', 'Wini Shaw', 'Luis Alberni']",,,,,"May 25, 1935",['United States'],"['Agua Caliente Casino-Resort, Tijuana, Mexico (Viewed film)']",['Warner Bros.'],"Awards, 2 wins total","['Holiday Romance', 'Comedy', 'Musical', 'Romance']","['English', 'Spanish']"
7. Top Hat,1935,1h 41m,Approved,7.7,21K,93.0,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",https://www.imdb.com/title/tt0027125/?ref_=sr_i_7,"['Dwight Taylor', 'Allan Scott', 'Aladár László']",['Mark Sandrich'],"['Fred Astaire', 'Ginger Rogers', 'Edward Everett Horton', 'Erik Rhodes', 'Eric Blore', 'Helen Broderick', 'Robert Adair', 'Lucille Ball', 'Tito Blasco', 'William A. Boardway']","$609,000 (estimated)",,"$13,592",,"September 6, 1935",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],"Nominated for 4 Oscars, 7 wins & 6 nominations total","['Classic Musical', 'Romantic Comedy', 'Comedy', 'Musical', 'Romance']","['English', 'Italian']"
8. Call of the Wild,1935,1h 35m,Approved,6.8,2.7K,,"During the Klondike Gold Rush, a traveler purchases a dog to lead the way toward the treasure, but reconsiders his journey when he finds a stranded widow.",https://www.imdb.com/title/tt0026164/?ref_=sr_i_8,"['Jack London', 'Gene Fowler', 'Leonard Praskins']",['William A. Wellman'],"['Clark Gable', 'Loretta Young', 'Jack Oakie', 'Reginald Owen', 'Frank Conroy', 'Katherine DeMille', 'Sidney Toler', 'James Burke', 'Charles Stevens', 'Lalo Encinas']",,,,,"August 9, 1935",['United States'],"['Mount Baker Lodge - State Route 542, Mount Baker, Washington, USA']",['20th Century Pictures'],"Awards, 1 win total","['Adventure', 'Drama', 'Family', 'Western']","['English', 'German']"
9. The Informer,1935,1h 31m,Approved,7.4,7.5K,65.0,"In 1922, an Irish rebel informs on his friend, then feels doom closing in.",https://www.imdb.com/title/tt0026529/?ref_=sr_i_9,"['Dudley Nichols', ""Liam O'Flaherty""]",['John Ford'],"['Victor McLaglen', 'Heather Angel', 'Preston Foster', 'Margot Grahame', 'Wallace Ford', ""Una O'Connor"", 'J.M. Kerrigan', 'Joe Sawyer', 'Neil Fitzgerald', 'Donald Meek']","$243,000 (estimated)",,,,"May 24, 1935",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],"Won 4 Oscars, 13 wins & 4 nominations total","['Crime', 'Drama']",['English']
10. Mutiny on the Bounty,1935,2h 12m,Approved,7.6,26K,87.0,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.",https://www.imdb.com/title/tt0026752/?ref_=sr_i_10,"['Talbot Jennings', 'Jules Furthman', 'Carey Wilson']",['Frank Lloyd'],"['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin', 'Eddie Quillan', 'Dudley Digges', 'Donald Crisp', 'Henry Stephenson', 'Francis Lister', 'Spring Byington']","$1,950,000 (estimated)",,,,"January 12, 1936",['United States'],"['Tahiti, French Polynesia (second unit photography)']",['Metro-Goldwyn-Mayer (MGM)'],"Won 1 Oscar, 8 wins & 7 nominations total","['Sea Adventure', 'Adventure', 'Biography', 'Drama', 'History', 'Romance']","['English', 'Polynesian']"
11. A Night at the Opera,1935,1h 36m,Approved,7.8,36K,,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,https://www.imdb.com/title/tt0026778/?ref_=sr_i_11,"['George S. Kaufman', 'Morrie Ryskind', 'James Kevin McGuinness']","['Sam Wood', 'Edmund Goulding']","['Groucho Marx', 'Chico Marx', 'Harpo Marx', 'Kitty Carlisle', 'Allan Jones', 'Walter Woolf King', 'Sig Ruman', 'Margaret Dumont', 'Edward Keane', ""Robert Emmett O'Connor""]",,,"$5,933",,"November 15, 1935",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 3 wins total","['Farce', 'Satire', 'Slapstick', 'Comedy', 'Music', 'Musical']","['English', 'Italian']"
12. A Tale of Two Cities,1935,2h 8m,Approved,7.8,6.6K,87.0,"A pair of lookalikes, one a former French aristocrat and the other an alcoholic English lawyer, fall in love with the same woman amidst the turmoil of the French Revolution.",https://www.imdb.com/title/tt0027075/?ref_=sr_i_12,"['Charles Dickens', 'W.P. Lipscomb', 'S.N. Behrman']","['Jack Conway', 'Robert Z. Leonard']","['Ronald Colman', 'Elizabeth Allan', 'Edna May Oliver', 'Reginald Owen', 'Basil Rathbone', 'Blanche Yurka', 'Henry B. Walthall', 'Donald Woods', 'Walter Catlett', 'Fritz Leiber']","$1,232,000 (estimated)",,,,"December 25, 1935",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio, Waterfront Street)']",['Metro-Goldwyn-Mayer (MGM)'],"Nominated for 2 Oscars, 2 wins & 2 nominations total","['Period Drama', 'Drama', 'History', 'Romance']",['English']
13. Captain Blood,1935,1h 59m,Approved,7.7,17K,89.0,"After treating a Monmouth rebel against King James II in 1680s England, a young Irish doctor is exiled as a slave to Jamaica where he captures a Spanish galleon and becomes the most feared pirate of the Caribbean.",https://www.imdb.com/title/tt0026174/?ref_=sr_i_13,"['Rafael Sabatini', 'Casey Robinson', 'Andrée Levy']",['Michael Curtiz'],"['Errol Flynn', 'Olivia de Havilland', 'Lionel Atwill', 'Basil Rathbone', 'Ross Alexander', 'Guy Kibbee', 'Henry Stephenson', 'Robert Barrat', 'Hobart Cavanaugh', 'Donald Meek']","$1,200,000 (estimated)",,,,"December 28, 1935",['United States'],"['Three Arch Bay, California, USA']","['Cosmopolitan Productions', 'First National Pictures']","Nominated for 5 Oscars, 3 wins & 5 nominations total","['Action Epic', 'Adventure Epic', 'Historical Epic', 'Romantic Epic', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'History', 'Romance']","['English', 'French']"
14. Mad Love,1935,1h 8m,Approved,7.2,6.1K,,"In Paris, a demented surgeon's obsession with a British actress leads him to secretly replace her concert-pianist husband's mangled hands with those of a guillotined murderer with a gift for knife-throwing.",https://www.imdb.com/title/tt0026663/?ref_=sr_i_14,"['Maurice Renard', 'Florence Crewe-Jones', 'Guy Endore']",['Karl Freund'],"['Peter Lorre', 'Frances Drake', 'Colin Clive', 'Ted Healy', 'Sara Haden', 'Edward Brophy', 'Henry Kolker', 'Keye Luke', 'May Beatty', 'George Davis']","$257,502 (estimated)",,,,"July 12, 1935",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 1 nomination total","['Body Horror', 'Horror', 'Romance', 'Sci-Fi']",['English']
15. A Midsummer Night's Dream,1935,2h 13m,Approved,6.8,4K,,Two couples and a troupe of actors have an encounter with some mischievous fairies in the forest.,https://www.imdb.com/title/tt0026714/?ref_=sr_i_15,"['William Shakespeare', 'Charles Kenyon', 'Mary C. McCall Jr.']","['William Dieterle', 'Max Reinhardt']","['James Cagney', 'Dick Powell', 'Ian Hunter', 'Verree Teasdale', 'Hobart Cavanaugh', 'Ross Alexander', 'Olivia de Havilland', 'Jean Muir', 'Grant Mitchell', 'Frank McHugh']",,,"$2,616,000",,"October 30, 1935",['United States'],"['Stage 11, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']","['Warner Bros.', 'Max Reinhardt Productions']","Won 2 Oscars, 6 wins & 2 nominations total","['Comedy', 'Fantasy', 'Romance']",['English']
