Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Captain America: Brave New World,2025,1h 58m,PG-13,5.9,82K,42,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.",https://www.imdb.com/title/tt14513804/?ref_=sr_i_1
2. Dog Man,2025,1h 29m,PG,6.3,7.4K,66,"Dog Man, half dog and half man, he is sworn to protect and serve as he doggedly pursues the feline supervillain Petey the Cat.",https://www.imdb.com/title/tt10954718/?ref_=sr_i_2
3. One of Them Days,2025,1h 37m,R,6.6,8.5K,71,"When best friends and roommates Dreux and Alyssa discover Alyssa's boyfriend has blown their rent money, the duo finds themselves going to extremes in a race against the clock to avoid eviction and keep their friendship intact.",https://www.imdb.com/title/tt32221196/?ref_=sr_i_3
4. Snow White,2025,1h 49m,PG,1.6,152K,50,A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother the Evil Queen.,https://www.imdb.com/title/tt6208148/?ref_=sr_i_4
5. Mickey 17,2025,2h 17m,R,7.0,60K,72,"Mickey 17, known as an ""expendable,"" goes on a dangerous journey to colonize an ice planet.",https://www.imdb.com/title/tt12299608/?ref_=sr_i_5
6. The Monkey,2025,1h 38m,R,6.3,23K,62,"When twin brothers Bill and Hal find their father's old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years.",https://www.imdb.com/title/tt27714946/?ref_=sr_i_6
7. Den of Thieves: Pantera,2025,2h 24m,R,6.3,21K,60,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",https://www.imdb.com/title/tt8008948/?ref_=sr_i_7
8. Heart Eyes,2025,1h 37m,R,6.1,14K,61,"For the past several years, the ""Heart Eyes Killer"" has wreaked havoc on Valentine's Day by stalking and murdering romantic couples. This Valentine's Day, no couple is safe.",https://www.imdb.com/title/tt32558992/?ref_=sr_i_8
9. Flight Risk,2025,1h 31m,R,5.3,22K,38,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem.",https://www.imdb.com/title/tt10078772/?ref_=sr_i_9
10. Companion,2025,1h 37m,R,7.0,67K,70,A weekend getaway with friends at a remote cabin turns into chaos after it's revealed that one of the guests is not what they seem.,https://www.imdb.com/title/tt26584495/?ref_=sr_i_10
11. Wolf Man,2025,1h 43m,R,5.6,23K,50,"A family at a remote farmhouse is attacked by an unseen animal, but as the night stretches on, the father begins to transform into something unrecognizable.",https://www.imdb.com/title/tt4216984/?ref_=sr_i_11
12. Last Breath,2025,1h 33m,PG-13,6.6,9.9K,66,A true story that follows seasoned deep-sea divers as they battle the raging elements to rescue their crew mate trapped hundreds of feet below the ocean's surface.,https://www.imdb.com/title/tt14403504/?ref_=sr_i_12
13. Ne Zha 2,2025,2h 23m,Not Rated,8.2,9K,59,"After the catastrophe, although the souls of Nezha and Aobing were saved, their bodies would soon be shattered. Taiyi Zhenren planned to use the seven-colored lotus to rebuild their bodies.",https://www.imdb.com/title/tt34956443/?ref_=sr_i_13
14. Novocaine,2025,1h 50m,R,6.8,9.5K,60,"When the girl of his dreams is kidnapped, a man incapable of feeling physical pain turns his rare condition into an unexpected advantage in the fight to rescue her.",https://www.imdb.com/title/tt29603959/?ref_=sr_i_14
15. Black Bag,2025,1h 33m,R,7.3,11K,85,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband - also a legendary agent - faces the ultimate test of whether to be loyal to his marriage, or his country.",https://www.imdb.com/title/tt30988739/?ref_=sr_i_15
16. Love Hurts,2025,1h 23m,R,5.2,7.5K,34,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",https://www.imdb.com/title/tt30788842/?ref_=sr_i_16
17. Becoming Led Zeppelin,2025,2h 2m,PG-13,7.8,2.5K,64,"The film traces the journeys of the four members of the Stairway To Heaven rockers through the music scene of the 1960s and their meeting in the summer of 1968, culminating in 1970.",https://www.imdb.com/title/tt10365912/?ref_=sr_i_17
18. The Unbreakable Boy,2025,1h 49m,PG,5.7,1K,35,"A young boy with both a rare brittle-bone disease and autism transforms everyone around him with his joyous, funny, and life-affirming world view.",https://www.imdb.com/title/tt5181260/?ref_=sr_i_18
19. The Last Supper,2025,1h 54m,PG-13,6.1,390,,"Depicts events prior to a betrayal, as a group of disciples gather, unveiling secrets and underlying motives.",https://www.imdb.com/title/tt32461003/?ref_=sr_i_19
20. Chhaava,2025,2h 41m,,7.8,25K,,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj.",https://www.imdb.com/title/tt27922706/?ref_=sr_i_20
21. The Alto Knights,2025,2h 3m,R,5.9,2.3K,46,"Two of New York City's most notorious organized crime bosses vie for control of the city's streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collision course.",https://www.imdb.com/title/tt21815562/?ref_=sr_i_21
22. 2025 Oscar Nominated Short Films: Live Action,2025,1h 44m,,7.8,54,,"2025 Oscar Nominated Short Films (Live Action): ""The Man Who Could Not Remain Silent"" - 20 min, Croatia (Croatian) ""Anuja"" - 18 min, India (Hindi) ""I'm Not a Robot"" - 15 min, Belgium/Netherlands (Dutch) ""A Lien"" - 22 min, USA (English) ""The Last Ranger"" - 23 min, South Africa (Afrikaans)",https://www.imdb.com/title/tt35115983/?ref_=sr_i_22
23. Rule Breakers,2025,2h,PG,7.4,617,55,"In a nation where educating girls is rebellion, a visionary woman sparks hope and opposition. Their courage ignites a movement that could transform their nation forever.",https://www.imdb.com/title/tt23398348/?ref_=sr_i_23
24. Detective Chinatown 1900,2025,2h 18m,,6.1,778,,"In 1900, a white woman was murdered in Chinatown in San Francisco, and the suspect was a Chinese man. The murder caused social shock, and people demanded the closure of Chinatown.",https://www.imdb.com/title/tt34463310/?ref_=sr_i_24
25. Game Changer,2025,2h 45m,,5.5,27K,,An honest IAS officer's fight against a corrupt political system through fair and transparent elections.,https://www.imdb.com/title/tt14209618/?ref_=sr_i_25
26. In the Lost Lands,2025,1h 41m,R,5.0,1.5K,41,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce, must outwit and outfight man and demon.",https://www.imdb.com/title/tt4419684/?ref_=sr_i_26
27. Creation of the Gods II: Demon Force,2025,2h 25m,,6.5,934,,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.",https://www.imdb.com/title/tt32843325/?ref_=sr_i_27
28. Opus,2025,1h 44m,R,5.9,1.9K,42,"A writer travels to the compound of a pop icon who disappeared years ago. Surrounded by his cult of sycophants, as well as a group of fellow journalists, she soon discovers his twisted plans for the gathering.",https://www.imdb.com/title/tt29929565/?ref_=sr_i_28
