Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. M,1931,1h 39m,Passed,8.3,176K,,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://www.imdb.com/title/tt0022100/?ref_=sr_i_1,"['Thea von Harbou', 'Fritz Lang', 'Egon Jacobsohn']",['Fritz Lang'],"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke', 'Theodor Loos', 'Gustaf Gründgens', 'Friedrich Gnaß', 'Fritz Odemar', 'Paul Kemp', 'Theo Lingen']",,"$6,123","$35,566","$35,566","August 31, 1931",['Germany'],"['Staaken, Spandau, Berlin, Germany']",['Nero-Film AG'],"Awards, 2 wins total","['Psychological Thriller', 'Serial Killer', 'Suspense Mystery', 'Crime', 'Mystery', 'Thriller']",['German']
2. City Lights,1931,1h 27m,G,8.5,206K,99.0,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://www.imdb.com/title/tt0021749/?ref_=sr_i_2,"['Charles Chaplin', 'Harry Carr', 'Harry Crocker']",['Charles Chaplin'],"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann', 'Johnny Aber', 'Jack Alexander', 'T.S. Alexander', 'Victor Alexander']","$1,500,000 (estimated)","$9,102","$55,154","$19,181","March 7, 1931",['United States'],"['Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA']",['Charles Chaplin Productions'],"Awards, 6 wins total","['Feel-Good Romance', 'Romantic Comedy', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'Romance']","['None', 'English']"
3. Marius,1931,2h 10m,Not Rated,7.8,2.7K,,Marius is faced with a choice whether to fulfill his passion by sailing the seas or stay and marry the woman he loves.,https://www.imdb.com/title/tt0022125/?ref_=sr_i_3,['Marcel Pagnol'],['Alexander Korda'],"['Raimu', 'Pierre Fresnay', 'Fernand Charpin', 'Alida Rouffe', 'Paul Dullac', 'Alexandre Mihalesco', 'Robert Vattier', 'Édouard Delmont', 'Orane Demazis', 'Lucien Callamand']",,"$7,720","$8,262","$8,262","April 13, 1933",['France'],"['Marseille, Bouches-du-Rhône, France']",['Les Films Marcel Pagnol'],,"['Comedy', 'Drama', 'Romance']",['French']
4. Frankenstein,1931,1h 10m,Approved,7.8,83K,91.0,Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.,https://www.imdb.com/title/tt0021884/?ref_=sr_i_4,"['John L. Balderston', 'Mary Shelley', 'Peggy Webling']",['James Whale'],"['Colin Clive', 'Mae Clarke', 'Boris Karloff', 'John Boles', 'Edward Van Sloan', 'Frederick Kerr', 'Dwight Frye', 'Lionel Belmore', 'Marilyn Harris', 'Ted Billings']","$291,000 (estimated)",,"$1,626",,"November 21, 1931",['United States'],"['Malibou Lake, Agoura Hills, California, USA (creature and young girl by the lake scene)']",['Universal Pictures'],"Awards, 7 wins & 3 nominations total","['Body Horror', 'Monster Horror', 'Tragedy', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']","['English', 'Latin']"
5. Dracula,1931,1h 15m,Passed,7.4,62K,71.0,"Transylvanian vampire Count Dracula bends a naive real estate agent to his will, then takes up residence at a London estate where he sleeps in his coffin by day and searches for potential victims by night.",https://www.imdb.com/title/tt0021814/?ref_=sr_i_5,"['Bram Stoker', 'Hamilton Deane', 'John L. Balderston']","['Tod Browning', 'Karl Freund']","['Bela Lugosi', 'Helen Chandler', 'David Manners', 'Dwight Frye', 'Edward Van Sloan', 'Herbert Bunston', 'Frances Dade', 'Joan Standing', 'Charles K. Gerrard', 'Anna Bakacs']","$355,000 (estimated)",,"$87,019",,"February 14, 1931",['United States'],"['Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA (Borgo Pass)']",['Universal Pictures'],"Awards, 5 wins & 3 nominations total","['Dark Fantasy', 'Supernatural Horror', 'Vampire Horror', 'Drama', 'Fantasy', 'Horror']","['English', 'Hungarian', 'Latin']"
6. Dr. Jekyll and Mr. Hyde,1931,1h 38m,Approved,7.6,17K,88.0,Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.,https://www.imdb.com/title/tt0022835/?ref_=sr_i_6,"['Samuel Hoffenstein', 'Percy Heath', 'Robert Louis Stevenson']",['Rouben Mamoulian'],"['Fredric March', 'Miriam Hopkins', 'Rose Hobart', 'Holmes Herbert', 'Halliwell Hobbes', 'Edgar Norton', 'Tempe Pigott', 'Robert Adair', 'Harry Adams', 'William Begg']","$535,000 (estimated)",,"$16,615",,"January 3, 1932",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA']",['Paramount Pictures'],"Won 1 Oscar, 7 wins & 2 nominations total","['Body Horror', 'Supernatural Horror', 'Horror', 'Sci-Fi']",['English']
7. Lonely Wives,1931,1h 25m,Passed,6.2,512,,A lonely husband whose wife has been away hires a lookalike impersonator to fill his place and fool his mother-in-law while he plays around with a pretty coquette. Confusion prevails when his wife returns that evening.,https://www.imdb.com/title/tt0022086/?ref_=sr_i_7,"['A.H. Woods', 'Walter DeLeon']",['Russell Mack'],"['Edward Everett Horton', 'Esther Ralston', 'Laura La Plante', 'Patsy Ruth Miller', 'Spencer Charters', 'Maude Eburne', 'Maurice Black', 'Georgette Rhodes']",,,,,"February 22, 1931",['United States'],"['RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA (Studio)']",['Pathé Exchange'],"Awards, 2 wins total","['Comedy', 'Romance']",['English']
8. Night Nurse,1931,1h 12m,Passed,7.0,4.8K,,A nurse enlists the help of a petty criminal to foil a sinister plot to murder two children.,https://www.imdb.com/title/tt0022208/?ref_=sr_i_8,"['Grace Perkins', 'Oliver H.P. Garrett', 'Charles Kenyon']",['William A. Wellman'],"['Barbara Stanwyck', 'Ben Lyon', 'Joan Blondell', 'Clark Gable', 'Blanche Friderici', 'Charlotte Merriam', 'Charles Winninger', 'Edward J. Nugent', 'Vera Lewis', 'Ralf Harolde']","$260,000 (estimated)",,,,"August 8, 1931",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 3 wins total","['Comedy', 'Crime', 'Drama', 'Horror', 'Mystery']","['English', 'Cantonese']"
9. The Public Enemy,1931,1h 23m,Passed,7.6,24K,80.0,An Irish-American street punk tries to make it big in the world of organized crime.,https://www.imdb.com/title/tt0022286/?ref_=sr_i_9,"['Kubec Glasmon', 'John Bright', 'Harvey F. Thew']",['William A. Wellman'],"['James Cagney', 'Jean Harlow', 'Edward Woods', 'Joan Blondell', 'Donald Cook', 'Leslie Fenton', 'Beryl Mercer', ""Robert Emmett O'Connor"", 'Murray Kinnell', 'Lev Abramov']",,,"$1,214,260","$1,011,520","May 15, 1931",['United States'],"['Wilshire Blvd, Los Angeles, California, USA (convertible ride with Jean Harlow)']",['Warner Bros.'],"Nominated for 1 Oscar, 1 win & 1 nomination total","['Gangster', 'Crime', 'Drama']",['English']
10. Little Caesar,1931,1h 19m,Not Rated,7.2,15K,,A small-time criminal moves to a big city to seek bigger fortune.,https://www.imdb.com/title/tt0021079/?ref_=sr_i_10,"['W.R. Burnett', 'Francis Edward Faragoh', 'Robert N. Lee']",['Mervyn LeRoy'],"['Edward G. Robinson', 'Douglas Fairbanks Jr.', 'Glenda Farrell', 'William Collier Jr.', 'Sidney Blackmer', 'Ralph Ince', 'Thomas E. Jackson', 'Stanley Fields', 'Maurice Black', 'George E. Stone']",,,,,"January 25, 1931",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['First National Pictures'],"Nominated for 1 Oscar, 2 wins & 1 nomination total","['Gangster', 'Psychological Drama', 'Tragedy', 'Action', 'Crime', 'Drama', 'Romance']",['English']
11. The Black Camel,1931,1h 11m,Passed,6.6,1.7K,,The unsolved murder of a Hollywood actor several years earlier and an enigmatic psychic are the keys to help Charlie solve the Honolulu stabbing death of a beautiful actress.,https://www.imdb.com/title/tt0021668/?ref_=sr_i_11,"['Earl Derr Biggers', 'Hugh Stanislaus Stange', 'Barry Conners']",['Hamilton MacFadden'],"['Warner Oland', 'Sally Eilers', 'Bela Lugosi', 'Dorothy Revier', 'Victor Varconi', 'Murray Kinnell', 'William Post Jr.', 'Robert Young', 'Violet Dunn', 'J.M. Kerrigan']",,,,,"June 21, 1931",['United States'],"[""Waikiki Beach, Honolulu, O'ahu, Hawaii, USA""]",['Fox Film Corporation'],,"['Whodunnit', 'Crime', 'Mystery', 'Thriller']",['English']
12. Illicit,1931,1h 19m,Unrated,6.1,1.2K,,"A young couple lives together out of wedlock, but they find that they're ahead of their time.",https://www.imdb.com/title/tt0021992/?ref_=sr_i_12,"['Edith Fitzgerald', 'Robert Riskin', 'Harvey F. Thew']",['Archie Mayo'],"['Barbara Stanwyck', 'James Rennie', 'Ricardo Cortez', 'Natalie Moorhead', 'Charles Butterworth', 'Joan Blondell', 'Claude Gillingwater', 'Hazel Howell', 'Lucille Ward', 'Barbara Weeks']","$249,000 (estimated)",,,,"February 14, 1931",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 2 wins total","['Drama', 'Romance']",['English']
13. Safe in Hell,1931,1h 13m,Passed,6.9,2.2K,57.0,"After accidentally killing the man who raped her and forced her into prostitution, a New Orleans woman flees to a Caribbean island. While she awaits her fiancé, the vicious local police chief sets his sights on her.",https://www.imdb.com/title/tt0022335/?ref_=sr_i_13,"['Houston Branch', 'Joseph Jackson', 'Maude Fulton']",['William A. Wellman'],"['Dorothy Mackaill', 'Donald Cook', 'Ralf Harolde', 'John Wray', 'Ivan F. Simpson', 'Victor Varconi', 'Morgan Wallace', 'Nina Mae McKinney', 'Charles Middleton', 'Clarence Muse']",,,,,"December 12, 1931",['United States'],"['New Orleans, Louisiana, USA (opening shots)']",['First National Pictures'],,"['Crime', 'Drama', 'Romance']",['English']
14. Cimarron,1931,2h 3m,Approved,5.8,7.3K,70.0,A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,https://www.imdb.com/title/tt0021746/?ref_=sr_i_14,"['Edna Ferber', 'Howard Estabrook', 'Louis Sarecky']",['Wesley Ruggles'],"['Richard Dix', 'Irene Dunne', 'Estelle Taylor', ""Nance O'Neil"", 'William Collier Jr.', 'Roscoe Ates', 'George E. Stone', 'Stanley Fields', 'Robert McWade', 'Edna May Oliver']","$1,433,000 (estimated)",,,,"February 9, 1931",['United States'],"['Venice, Los Angeles, California, USA']",['RKO Radio Pictures'],"Won 3 Oscars, 7 wins & 5 nominations total","['Classical Western', 'Drama', 'Western']","['English', 'French']"
15. The Miracle Woman,1931,1h 30m,Passed,7.2,2.6K,,"After an unappreciated minister dies, his daughter loses her faith in God, prompting her to open a phony temple with a con man. Can the love of a blind aviator restore her faith and happiness?",https://www.imdb.com/title/tt0022153/?ref_=sr_i_15,"['Jo Swerling', 'John Meehan', 'Robert Riskin']",['Frank Capra'],"['Barbara Stanwyck', 'David Manners', 'Sam Hardy', 'Beryl Mercer', 'Russell Hopton', 'Charles Middleton', 'Eddie Boland', 'Thelma Hill', 'Jessie Arnold', 'Robert Bolder']",,,,,"July 20, 1931",['United States'],"['Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['Columbia Pictures'],"Awards, 4 wins total","['Feel-Good Romance', 'Drama', 'Romance']",['English']
16. The Galloping Ghost,1931,3h 46m,Passed,5.7,195,,"A gambling ring run out of the Mogul Taxi company is intent on fixing college football games. Football star Harold ""Red"" Grange is a target for the gamblers, whose thugs try to eliminate Grange from playing. Grange's buddy Buddy is himself vulnerable to blackmail, since he has broken team rules by marrying. The crooks use all their wiles to keep Grange and Buddy from leading their team to victory.",https://www.imdb.com/title/tt0021895/?ref_=sr_i_16,"['Helmer Walton Bergman', 'Ford Beebe', 'Wyndham Gittens']",['B. Reeves Eason'],"[""Harold 'Red' Grange"", 'Dorothy Gulliver', 'Tom Dugan', 'Gwen Lee', 'Francis X. Bushman Jr.', 'Theodore Lorch', 'Walter Miller', 'Edward Hearn', 'Ernie Adams', 'Tom London']",,,,,"September 1, 1931",['United States'],"['Clay College, Los Angeles, California, USA (football stadium scenes)']",['Mascot Pictures'],,"['Drama', 'Sport', 'Thriller']",['English']
17. Monkey Business,1931,1h 17m,Approved,7.4,15K,74.0,"On a transatlantic crossing, The Marx Brothers get up to their usual antics and manage to annoy just about everyone on board the ship.",https://www.imdb.com/title/tt0022158/?ref_=sr_i_17,"['S.J. Perelman', 'Will B. Johnstone', 'Arthur Sheekman']",['Norman Z. McLeod'],"['Groucho Marx', 'Harpo Marx', 'The Marx Brothers', 'Chico Marx', 'Zeppo Marx', 'Rockliffe Fellowes', 'Harry Woods', 'Thelma Todd', 'Ruth Hall', 'Tom Kennedy']",,,,,"September 19, 1931",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Paramount Pictures'],"Awards, 2 nominations total","['Classic Musical', 'Farce', 'Sea Adventure', 'Slapstick', 'Comedy', 'Family', 'Musical']",['English']
18. Svengali,1931,1h 21m,Approved,6.8,2.7K,,"Through hypnotism and telepathic mind control, a sinister music maestro controls the singing voice, but not the heart, of the woman he loves.",https://www.imdb.com/title/tt0022454/?ref_=sr_i_18,"['George L. Du Maurier', 'J. Grubb Alexander']",['Archie Mayo'],"['John Barrymore', 'Marian Marsh', 'Donald Crisp', 'Bramwell Fletcher', 'Carmel Myers', 'Luis Alberni', 'Lumsden Hare', 'Paul Porcasi', 'Ferike Boros', ""Adrienne D'Ambricourt""]",,,,,"May 22, 1931",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Nominated for 2 Oscars, 1 win & 2 nominations total","['Psychological Drama', 'Psychological Horror', 'Tragic Romance', 'Drama', 'Horror', 'Romance']","['English', 'French', 'Italian', 'German']"
19. Mädchen in Uniform,1931,1h 27m,Passed,7.5,4K,,"At an all-girls boarding school, Manuela falls in love with a teacher, to terrific consequences.",https://www.imdb.com/title/tt0022183/?ref_=sr_i_19,"['Christa Winsloe', 'Friedrich Dammann', 'Colette']","['Leontine Sagan', 'Carl Froelich']","['Dorothea Wieck', 'Hertha Thiele', 'Emilia Unda', 'Hedy Krilla', 'Ellen Schwanneke', 'Lene Berdolt', 'Erika Biebrach', 'Margory Bodker', 'Gertrud de Lalsky', 'Else Ehser']",,,,,"November 27, 1931",['Germany'],"['Bild und Ton Studio, Berlin, Germany']",['Deutsche Film-Gemeinschaft'],"Awards, 4 wins total","['Drama', 'Romance']","['German', 'French', 'English']"
20. Waterloo Bridge,1931,1h 21m,,7.4,3.3K,,A prostitute's self-loathing makes her reluctant to marry an idealistic soldier during World War I.,https://www.imdb.com/title/tt0022550/?ref_=sr_i_20,"['Robert E. Sherwood', 'Benn W. Levy', 'Tom Reed']",['James Whale'],"['Mae Clarke', 'Douglass Montgomery', 'Doris Lloyd', 'Frederick Kerr', 'Enid Bennett', 'Bette Davis', 'Ethel Griffies', 'Rita Carlyle', 'Ruth Handforth', 'Billy Bevan']","$251,289 (estimated)",,,,"September 1, 1931",['United States'],"['Pasadena, California, USA (Wetherby house, exteriors)']",['Universal Pictures'],"Awards, 2 wins total","['Drama', 'Romance', 'War']",['English']
21. Tabu: A Story of the South Seas,1931,1h 26m,TV-PG,7.4,6.6K,,"On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.",https://www.imdb.com/title/tt0022458/?ref_=sr_i_21,"['F.W. Murnau', 'Robert J. Flaherty', 'Edgar G. Ulmer']",['F.W. Murnau'],"['Anne Chevalier', 'Matahi', 'Hitu', 'Bill Bambridge', 'Ah Fong', 'Jules', 'Mehao']","$150,000 (estimated)",,,,"August 1, 1931",['United States'],"['Bora Bora, Leeward Islands, French Polynesia']",['Murnau-Flaherty Productions'],"Won 1 Oscar, 4 wins total","['Sea Adventure', 'Tragedy', 'Tragic Romance', 'Adventure', 'Drama', 'Romance']",['English']
