link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0114709/?ref_=sr_i_1,"['John Lasseter', 'Pete Docter', 'Andrew Stanton']",['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf']","$30,000,000 (estimated)","$29,140,617","$394,436,586","$223,225,679","November 22, 1995",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","Nominated for 3 Oscars, 29 wins & 24 nominations total","['Buddy Comedy', 'Computer Animation', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['English']
https://www.imdb.com/title/tt0112462/?ref_=sr_i_2,"['Bob Kane', 'Lee Batchler', 'Janet Scott Batchler']",['Joel Schumacher'],"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell"", 'Michael Gough', 'Pat Hingle', 'Drew Barrymore', 'Debi Mazar', 'Elizabeth Sanders']","$100,000,000 (estimated)","$52,784,433","$336,567,158","$184,069,126","June 16, 1995","['United States', 'United Kingdom']","[""Alcatraz Island, San Francisco Bay, California, USA (exteriors: the Riddler's lair, Claw Island)""]","['Warner Bros.', 'Polygram Filmed Entertainment']","Nominated for 3 Oscars, 10 wins & 26 nominations total","['Superhero', 'Urban Adventure', 'Action', 'Adventure']",['English']
https://www.imdb.com/title/tt0112384/?ref_=sr_i_3,"['Jim Lovell', 'Jeffrey Kluger', 'William Broyles Jr.']",['Ron Howard'],"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise', 'Ed Harris', 'Kathleen Quinlan', 'Mary Kate Schellhardt', 'Emily Ann Lloyd', 'Miko Hughes', 'Max Elliott Slade']","$52,000,000 (estimated)","$25,353,380","$355,237,933","$173,837,933","June 30, 1995",['United States'],"['Kennedy Space Center, Titusville, Florida, USA']","['Imagine Entertainment', 'Universal City Studios']","Won 2 Oscars, 31 wins & 59 nominations total","['Survival', 'Adventure', 'Drama', 'History']",['English']
https://www.imdb.com/title/tt0114148/?ref_=sr_i_4,"['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']","['Mike Gabriel', 'Eric Goldberg']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker', 'Irene Bedard', 'Billy Connolly', 'James Apaumut Fall', 'John Kassir', 'Judy Kuhn', 'Danny Mann']","$55,000,000 (estimated)","$2,689,714","$346,079,773","$141,579,773","June 23, 1995","['United States', 'Japan']",,"['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Walt Disney Feature Animation']","Won 2 Oscars, 16 wins & 7 nominations total","['Hand-Drawn Animation', 'Period Drama', 'Pop Musical', 'Adventure', 'Animation', 'Drama', 'Family', 'Musical', 'Romance']","['English', 'Algonquin']"
https://www.imdb.com/title/tt0112281/?ref_=sr_i_5,"['Jack Bernstein', 'Steve Oedekerk']",['Steve Oedekerk'],"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny Daniels', 'Sam Phillips']","$30,000,000 (estimated)","$37,804,076","$212,385,533","$108,385,533","November 10, 1995",['United States'],"['San Antonio, Texas, USA']","['Morgan Creek Entertainment', 'Morgan Creek Productions', 'O Entertainment']","Awards, 7 wins & 6 nominations total","['Jungle Adventure', 'Slapstick', 'Adventure', 'Comedy', 'Crime']",['English']
https://www.imdb.com/title/tt0113189/?ref_=sr_i_6,"['Ian Fleming', 'Michael France', 'Jeffrey Caine']",['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Robbie Coltrane', 'Tchéky Karyo', 'Gottfried John', 'Alan Cumming']","$60,000,000 (estimated)","$26,205,007","$352,194,034","$106,429,941","November 17, 1995","['United Kingdom', 'United States']","['Arecibo Observatory, Arecibo, Puerto Rico (Goldeneye Satellite Dish)']","['Eon Productions', 'United Artists']","Nominated for 2 BAFTA Awards, 2 wins & 8 nominations total","['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'Russian', 'Spanish']"
https://www.imdb.com/title/tt0114369/?ref_=sr_i_7,['Andrew Kevin Walker'],['David Fincher'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker', 'Daniel Zacapa', 'Gwyneth Paltrow', 'John Cassini', 'Bob Mack', 'Peter Crombie', 'Reg E. Cathey']","$33,000,000 (estimated)","$13,949,807","$328,980,168","$101,040,643","September 22, 1995",['United States'],"['Pacific Electric Building, Los Angeles, California, USA (Police Headquarters)']","['Arnold Kopelson Productions', 'Cecchi Gori Pictures', 'Juno Pix']","Nominated for 1 Oscar, 29 wins & 44 nominations total","['Cop Drama', 'Hard-boiled Detective', 'Legal Drama', 'Police Procedural', 'Psychological Drama', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Mystery']",['English']
https://www.imdb.com/title/tt0112642/?ref_=sr_i_8,"['Joseph Oriolo', 'Sherri Stoner', 'Deanna Oliver']",['Brad Silberling'],"['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty', 'Eric Idle', 'Chauncey Leopardi', 'Spencer Vrooman', 'Malachi Pearson', 'Ben Stein', 'Don Novello', 'Fred Rogers']","$55,000,000 (estimated)","$16,840,385","$288,144,179","$100,544,179","May 26, 1995",['United States'],"['Rockport, Maine, USA (Anonymous)']","['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']","Awards, 5 wins & 5 nominations total","['Supernatural Fantasy', 'Teen Fantasy', 'Comedy', 'Family', 'Fantasy']",['English']
https://www.imdb.com/title/tt0113497/?ref_=sr_i_9,"['Jonathan Hensleigh', 'Greg Taylor', 'Jim Strain']",['Joe Johnston'],"['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt', 'Jonathan Hyde', 'Bradley Pierce', 'Bebe Neuwirth', 'David Alan Grier', 'Patricia Clarkson', 'Adam Hann-Byrd', 'Laura Bell Bundy']","$65,000,000 (estimated)","$11,084,370","$262,821,940","$100,499,940","December 15, 1995",['United States'],"['Keene, New Hampshire, USA (Town of Brantford)']","['TriStar Pictures', 'Interscope Communications', 'Teitler Film']","Awards, 4 wins & 11 nominations total","['High-Concept Comedy', 'Jungle Adventure', 'Supernatural Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['English', 'French']"
https://www.imdb.com/title/tt0112864/?ref_=sr_i_10,"['Jonathan Hensleigh', 'Roderick Thorp']",['John McTiernan'],"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp', 'Larry Bryggman', 'Anthony Peck', 'Nick Wyman', 'Sam Phillips', 'Kevin Chamberlin']","$90,000,000 (estimated)","$22,162,245","$366,101,666","$100,012,499","May 19, 1995",['United States'],"['Central Park, Manhattan, New York City, New York, USA']","['Cinergi Pictures Entertainment', 'Twentieth Century Fox']","Awards, 2 wins & 3 nominations total","['Dark Comedy', 'One-Person Army Action', 'Urban Adventure', 'Action', 'Adventure', 'Thriller']","['English', 'German', 'Romanian']"
