Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. E.T. the Extra-Terrestrial,1982,1h 55m,PG,7.9,452K,92,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,https://www.imdb.com/title/tt0083866/?ref_=sr_i_1
2. Tootsie,1982,1h 56m,PG,7.4,118K,88,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",https://www.imdb.com/title/tt0084805/?ref_=sr_i_2
3. An Officer and a Gentleman,1982,2h 4m,R,7.1,65K,75,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.",https://www.imdb.com/title/tt0084434/?ref_=sr_i_3
4. Rocky III,1982,1h 39m,PG,6.8,219K,57,"Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.",https://www.imdb.com/title/tt0084602/?ref_=sr_i_4
5. Star Trek II: The Wrath of Khan,1982,1h 53m,PG,7.7,132K,68,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",https://www.imdb.com/title/tt0084726/?ref_=sr_i_5
6. 48 Hrs.,1982,1h 36m,R,6.9,89K,71,A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.,https://www.imdb.com/title/tt0083511/?ref_=sr_i_6
7. Poltergeist,1982,1h 54m,PG,7.3,187K,79,"A family's home becomes the center of paranormal activity that opens a doorway to the ""other side."" With help, they must cross over to get their daughter back.",https://www.imdb.com/title/tt0084516/?ref_=sr_i_7
8. The Best Little Whorehouse in Texas,1982,1h 54m,R,6.1,14K,40,A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.,https://www.imdb.com/title/tt0083642/?ref_=sr_i_8
9. Annie,1982,2h 7m,PG,6.6,51K,39,"A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",https://www.imdb.com/title/tt0083564/?ref_=sr_i_9
10. The Verdict,1982,2h 9m,R,7.7,48K,77,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",https://www.imdb.com/title/tt0084855/?ref_=sr_i_10
11. Gandhi,1982,3h 11m,PG,8.0,243K,79,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,https://www.imdb.com/title/tt0083987/?ref_=sr_i_11
12. First Blood,1982,1h 33m,R,7.7,288K,61,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,https://www.imdb.com/title/tt0083944/?ref_=sr_i_12
13. The Toy,1982,1h 42m,PG,5.8,15K,16,An underemployed reporter finds himself literally purchased as a toy for a rich spoiled brat.,https://www.imdb.com/title/tt0084809/?ref_=sr_i_13
14. Firefox,1982,2h 16m,PG,5.9,30K,44,A retired air force pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by neuralink.,https://www.imdb.com/title/tt0083943/?ref_=sr_i_14
15. The Dark Crystal,1982,1h 33m,PG,7.1,74K,66,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world.",https://www.imdb.com/title/tt0083791/?ref_=sr_i_15
16. Conan the Barbarian,1982,2h 9m,R,6.9,168K,43,A powerful warrior seeks to avenge the genocide of his people and the murder of his parents at the hands of a snake cult.,https://www.imdb.com/title/tt0082198/?ref_=sr_i_16
17. The Sword and the Sorcerer,1982,1h 39m,R,5.5,8.1K,39,A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.,https://www.imdb.com/title/tt0084749/?ref_=sr_i_17
18. Best Friends,1982,1h 56m,PG,5.5,3.4K,70,"After five successful years of living and working together, a couple decide to get married. But what they don't count on is how to survive the honeymoon.",https://www.imdb.com/title/tt0083641/?ref_=sr_i_18
19. Friday the 13th: Part 3,1982,1h 35m,R,5.6,64K,30,Jason Voorhees stalks a group of friends who have just arrived to spend the weekend at a cabin near Crystal Lake.,https://www.imdb.com/title/tt0083972/?ref_=sr_i_19
20. Richard Pryor: Live on the Sunset Strip,1982,1h 22m,R,7.6,4.6K,,Richard Pryor performs his stand-up comedy act on the Sunset Strip.,https://www.imdb.com/title/tt0084597/?ref_=sr_i_20
21. Tron,1982,1h 36m,PG,6.7,133K,58,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.,https://www.imdb.com/title/tt0084827/?ref_=sr_i_21
22. Blade Runner,1982,1h 57m,R,8.1,850K,84,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,https://www.imdb.com/title/tt0083658/?ref_=sr_i_22
