link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0080684/?ref_=sr_i_1,"['Leigh Brackett', 'Lawrence Kasdan', 'George Lucas']",['Irvin Kershner'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Peter Mayhew', 'Kenny Baker', 'Frank Oz', 'Alec Guinness']","$18,000,000 (estimated)","$4,910,483","$550,016,086","$292,753,960","June 18, 1980",['United States'],"['Hardangerjøkulen Glacier, Finse, Norway (exterior Hoth scenes)']",['Lucasfilm'],"Won 1 Oscar, 27 wins & 20 nominations total","['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery']",['English']
https://www.imdb.com/title/tt0081573/?ref_=sr_i_2,"['Jerry Siegel', 'Joe Shuster', 'Mario Puzo']","['Richard Lester', 'Richard Donner']","['Gene Hackman', 'Christopher Reeve', 'Margot Kidder', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas', ""Jack O'Halloran"", 'Valerie Perrine', 'Susannah York', 'Clifton James']","$54,000,000 (estimated)","$14,100,523","$216,385,706","$108,185,706","June 19, 1981",['United Kingdom'],"['Calgary, Alberta, Canada (on location)']","['Dovemead Films', 'Film Export A.G.', 'International Film Production']","Awards, 4 wins & 7 nominations total","['Alien Invasion', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']","['English', 'French', 'Russian']"
https://www.imdb.com/title/tt0080319/?ref_=sr_i_3,"['Patricia Resnick', 'Colin Higgins']",['Colin Higgins'],"['Jane Fonda', 'Lily Tomlin', 'Dolly Parton', 'Dabney Coleman', 'Sterling Hayden', 'Elizabeth Wilson', 'Henry Jones', 'Lawrence Pressman', 'Marian Mercer', 'Renn Woods']","$10,000,000 (estimated)","$3,966,832","$103,303,473","$103,290,500","December 19, 1980",['United States'],"[""4370 Ocean View Boulevard, Montrose, California, USA (Judy's apartment)""]","['IPC Films', 'Twentieth Century Fox']","Nominated for 1 Oscar, 4 wins & 8 nominations total","['Farce', 'Comedy']","['English', 'French']"
https://www.imdb.com/title/tt0081562/?ref_=sr_i_4,"['Bruce Jay Friedman', 'Charles Blackwell']",['Sidney Poitier'],"['Gene Wilder', 'Richard Pryor', 'Georg Stanford Brown', 'JoBeth Williams', 'Miguel Ángel Suárez', 'Craig T. Nelson', 'Barry Corbin', 'Charles Weldon', 'Nicolas Coster', 'Joel Brooks']","$10,000,000 (estimated)","$8,691,886","$101,300,000","$101,300,000","December 12, 1980",['United States'],"['Tucson, Arizona, USA']",['Columbia Pictures'],"Awards, 1 nomination total","['Dark Comedy', 'Comedy', 'Crime']","['English', 'Spanish']"
https://www.imdb.com/title/tt0080339/?ref_=sr_i_5,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar', 'Lloyd Bridges', 'Peter Graves', 'Lorna Patterson', 'Robert Stack', 'Stephen Stucker', 'Otto']","$3,500,000 (estimated)",,"$83,455,874","$83,453,539","July 2, 1980",['United States'],"['Los Angeles International Airport - 1 World Way, Los Angeles, California, USA']","['Paramount Pictures', 'Howard W. Koch Productions']","Nominated for 1 BAFTA Award, 3 wins & 7 nominations total","['Dark Comedy', 'Farce', 'Parody', 'Satire', 'Slapstick', 'Comedy']",['English']
https://www.imdb.com/title/tt0080377/?ref_=sr_i_6,"['Stanford Sherman', 'Jeremy Joe Kronsberg']",['Buddy Van Horn'],"['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis', 'William Smith', 'Harry Guardino', 'Ruth Gordon', 'Michael Cavanaugh', 'Barry Corbin', 'Roy Jenson', 'Bill McKinney']","$15,000,000 (estimated)","$8,024,663","$70,687,344","$70,687,344","December 17, 1980",['United States'],"['Million Dollar Cowboy Bar, 25 North Cache Drive, Jackson, Wyoming, USA (Bar scene after the fight, with Glen Campbell performing)']","['The Malpaso Company', 'Warner Bros.']","Awards, 2 wins & 2 nominations total","['Action', 'Comedy']",['English']
https://www.imdb.com/title/tt0081375/?ref_=sr_i_7,"['Nancy Meyers', 'Charles Shyer', 'Harvey Miller']",['Howard Zieff'],"['Goldie Hawn', 'Eileen Brennan', 'Armand Assante', 'Robert Webber', 'Sam Wanamaker', 'Barbara Barrie', 'Mary Kay Place', 'Harry Dean Stanton', 'Albert Brooks', 'Alan Oppenheimer']","$9,500,000 (estimated)","$4,739,769","$69,847,348","$69,847,348","October 10, 1980",['United States'],"['Fort MacArthur, San Pedro, Los Angeles, California, USA']",['Warner Bros.'],"Nominated for 3 Oscars, 1 win & 6 nominations total","['Satire', 'Comedy', 'War']","['French', 'English']"
https://www.imdb.com/title/tt0080549/?ref_=sr_i_8,"['Thomas Rickman', 'Loretta Lynn', 'George Vecsey']",['Michael Apted'],"['Sissy Spacek', 'Tommy Lee Jones', 'Levon Helm', 'Phyllis Boyens', 'Bill Anderson Jr.', 'Foister Dickerson', 'Malla McCown', 'Pamela McCown', 'Kevin Salvilla', 'William Sanderson']",,"$3,366,443","$67,182,787","$67,182,787","March 7, 1980",['United States'],"['Nashville, Tennessee, USA (Ryman Auditorium)']",['Universal Pictures'],"Won 1 Oscar, 11 wins & 13 nominations total","['Biography', 'Drama', 'Music']",['English']
https://www.imdb.com/title/tt0081529/?ref_=sr_i_9,"['Hal Needham', 'Robert L. Levy', 'Jerry Belson']",['Hal Needham'],"['Burt Reynolds', 'Jackie Gleason', 'Jerry Reed', 'Dom DeLuise', 'Sally Field', 'Paul Williams', 'Pat McCormick', 'David Huddleston', 'Mike Henry', 'John Anderson']",,"$10,883,835","$66,132,626","$66,132,626","August 15, 1980",['United States'],"['Las Vegas, Nevada, USA']","['Universal Pictures', 'Rastar Films']","Awards, 1 win & 5 nominations total","['Road Trip', 'Action', 'Adventure', 'Comedy']","['English', 'Spanish']"
https://www.imdb.com/title/tt0080453/?ref_=sr_i_10,"['Henry De Vere Stacpoole', 'Douglas Day Stewart']",['Randal Kleiser'],"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels', 'Elva Josephson', 'Glenn Kohan', 'Alan Hopgood', 'Gus Mercurio', 'Jeffrey Kleiser', 'Bradley Pryce']","$4,500,000 (estimated)",,"$58,853,243","$58,853,106","July 2, 1980",['United States'],"['Turtle Island, Fiji']",['Columbia Pictures'],"Nominated for 1 Oscar, 4 wins & 8 nominations total","['Coming-of-Age', 'Survival', 'Teen Drama', 'Teen Romance', 'Adventure', 'Drama', 'Romance']",['English']
https://www.imdb.com/title/tt0080455/?ref_=sr_i_11,"['Dan Aykroyd', 'John Landis']",['John Landis'],"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy', 'Tom Erhart', 'Gerald Walling', 'Walter Levine', 'Frank Oz', 'Kathleen Freeman', 'Alonzo Atkins']","$27,500,000 (estimated)","$4,858,152","$115,229,890","$57,229,890","June 20, 1980",['United States'],"['15101 Dixie Highway, Harvey, Illinois, USA ([28:20]Shopping Mall Complex with infamous car chase scene. They broke my watch! Demolished)']","['Universal Pictures', 'Brillstein Company']","Awards, 2 wins & 1 nomination total","['Buddy Comedy', 'Jukebox Musical', 'Quest', 'Road Trip', 'Adventure', 'Comedy', 'Crime', 'Music', 'Musical']",['English']
https://www.imdb.com/title/tt0081283/?ref_=sr_i_12,"['Judith Guest', 'Alvin Sargent', 'Nancy Dowd']",['Robert Redford'],"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton', 'M. Emmet Walsh', 'Elizabeth McGovern', 'Dinah Manoff', 'Fredric Lehne', 'James Sikking', 'Basil Hoffman']","$6,000,000 (estimated)","$170,335","$54,766,923","$54,766,923","September 19, 1980",['United States'],"['Lake Forest High School - 1285 N. McKinley Road, Lake Forest, Illinois, USA']","['Paramount Pictures', 'Wildwood Enterprises']","Won 4 Oscars, 21 wins & 14 nominations total","['Psychological Drama', 'Drama']",['English']
