link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0050212/?ref_=sr_i_1,"['Pierre Boulle', 'Carl Foreman', 'Michael Wilson']",['David Lean'],"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa', 'James Donald', 'Geoffrey Horne', 'André Morell', 'Peter Williams', 'John Boxer', 'Percy Herbert']","$3,000,000 (estimated)",,"$27,201,366","$27,200,000","December 14, 1957","['United Kingdom', 'United States']","['Ambepussa, Sri Lanka']",['Horizon Pictures (II)'],"Won 7 Oscars, 30 wins & 7 nominations total","['Jungle Adventure', 'War Epic', 'Adventure', 'Drama', 'War']","['English', 'Japanese', 'Thai']"
https://www.imdb.com/title/tt0050105/?ref_=sr_i_2,"['Delmer Daves', 'Leo McCarey', 'Mildred Cram']",['Leo McCarey'],"['Cary Grant', 'Deborah Kerr', 'Richard Denning', 'Neva Patterson', 'Cathleen Nesbitt', 'Robert Q. Lewis', 'Charles Watts', 'Fortunio Bonanova', 'Jean Acker', 'Dorothy Adams']",,,"$3,856,344","$3,850,000","July 19, 1957",['United States'],"['Villefranche-sur-Mer, Alpes-Maritimes, France (stopover during cruise)']",['Jerry Wald Productions'],"Nominated for 4 Oscars, 4 wins & 6 nominations total","['Drama', 'Romance']","['English', 'French', 'Italian']"
https://www.imdb.com/title/tt0050783/?ref_=sr_i_3,"['Federico Fellini', 'Ennio Flaiano', 'Tullio Pinelli']",['Federico Fellini'],"['Giulietta Masina', 'François Périer', 'Franca Marzi', 'Dorian Gray', 'Aldo Silvani', 'Ennio Girolami', 'Mario Passante', 'Christian Tassou', 'Amedeo Nazzari', 'Gianni Baghino']",,"$38,988","$770,764","$766,530","October 16, 1957","['Italy', 'France']","['Castel Gandolfo, Rome, Lazio, Italy (Exterior)']","['Dino de Laurentiis Cinematografica', 'Les Films Marceau']","Won 1 Oscar, 17 wins & 7 nominations total","['Tragedy', 'Drama']","['Italian', 'Latin']"
https://www.imdb.com/title/tt0050613/?ref_=sr_i_4,"['Hideo Oguni', 'Shinobu Hashimoto', 'Ryûzô Kikushima']",['Akira Kurosawa'],"['Toshirô Mifune', 'Minoru Chiaki', 'Isuzu Yamada', 'Takashi Shimura', 'Akira Kubo', 'Hiroshi Tachikawa', 'Takamaru Sasaki', 'Gen Shimizu', 'Kokuten Kôdô', 'Kichijirô Ueda']",,"$15,942","$60,732","$46,808","November 22, 1961",['Japan'],"['Gotemba, Shizuoka, Japan']","['Toho', 'Kurosawa Production Co.']","Awards, 4 wins & 1 nomination total",['Drama'],['Japanese']
https://www.imdb.com/title/tt0050634/?ref_=sr_i_5,['Viktor Rozov'],['Mikhail Kalatozov'],"['Tatyana Samoylova', 'Aleksey Batalov', 'Vasiliy Merkurev', 'Aleksandr Shvorin', 'Svetlana Kharitonova', 'Konstantin Kadochnikov', 'Valentin Zubkov', 'Antonina Bogdanova', 'Boris Kokovkin', 'Ekaterina Kupriyanova']",,,"$32,549","$17,923","March 21, 1960",['Soviet Union'],"['Mosfilm Studios, Moscow, Russia (Studio)']",['Mosfilm'],"Nominated for 2 BAFTA Awards, 4 wins & 3 nominations total","['Political Drama', 'Tragic Romance', 'Drama', 'Romance', 'War']",['Russian']
https://www.imdb.com/title/tt0050458/?ref_=sr_i_6,"['Michelangelo Antonioni', 'Elio Bartolini', 'Ennio De Concini']",['Michelangelo Antonioni'],"['Gabriella Pallotta', 'Steve Cochran', 'Alida Valli', 'Dorian Gray', 'Jacqueline Jones', 'Pina Boldrini', 'Guerrino Campanilli', 'Mirna Girardi', 'Lilia Landi', 'Gaetano Matteucci']",,"$6,536","$17,413","$16,549","October 9, 1958","['Italy', 'United States']","['Stienta, Rovigo, Veneto, Italy']","['SpA Cinematografica', 'Robert Alexander Productions']","Awards, 3 wins & 2 nominations total","['Psychological Drama', 'Drama']",['Italian']
https://www.imdb.com/title/tt0050083/?ref_=sr_i_7,['Reginald Rose'],['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Joseph Sweeney', 'Ed Begley']","$350,000 (estimated)",,"$2,945",,"April 10, 1957",['United States'],"['New York County Courthouse - 60 Centre Street, New York City, New York, USA (Exterior)']",['Orion-Nova Productions'],"Nominated for 3 Oscars, 16 wins & 12 nominations total","['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']",['English']
https://www.imdb.com/title/tt0050976/?ref_=sr_i_8,['Ingmar Bergman'],['Ingmar Bergman'],"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe', 'Bibi Andersson', 'Inga Gill', 'Maud Hansson', 'Inga Landgré', 'Gunnel Lindblom', 'Bertil Anderberg']","$150,000 (estimated)",,"$311,212",,"October 13, 1958",['Sweden'],"['Hovs Hallar - Naturreservat, Skåne län, Sweden (Opening beach scene and ending scene)']",['Svensk Filmindustri (SF)'],"Awards, 9 wins & 2 nominations total","['Psychological Drama', 'Drama', 'Fantasy']","['Swedish', 'Latin']"
https://www.imdb.com/title/tt0051201/?ref_=sr_i_9,"['Agatha Christie', 'Billy Wilder', 'Harry Kurnitz']",['Billy Wilder'],"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester', 'John Williams', 'Henry Daniell', 'Ian Wolfe', 'Torin Thatcher', 'Norma Varden', ""Una O'Connor""]","$3,000,000 (estimated)",,"$7,903",,"February 6, 1958",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA']",['Edward Small Productions'],"Nominated for 6 Oscars, 3 wins & 15 nominations total","['Legal Drama', 'Legal Thriller', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']","['English', 'German']"
https://www.imdb.com/title/tt0050825/?ref_=sr_i_10,"['Stanley Kubrick', 'Calder Willingham', 'Jim Thompson']",['Stanley Kubrick'],"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready', 'Wayne Morris', 'Richard Anderson', 'Joe Turkel', 'Christiane Kubrick', 'Jerry Hausner', 'Peter Capell']","$935,000 (estimated)",,"$8,290",,"December 25, 1957",['United States'],"['Schloß Schleißheim, Oberschleißheim, Bavaria, Germany (Command Headquarter)']",['Bryna Productions'],"Nominated for 1 BAFTA Award, 5 wins & 3 nominations total","['Epic', 'Psychological Drama', 'War Epic', 'Drama', 'War']","['English', 'German', 'Latin']"
https://www.imdb.com/title/tt0050902/?ref_=sr_i_11,"[""Frank O'Connor"", 'Michael J. McHugh', 'Lady Augusta Gregory']",['John Ford'],"['Tyrone Power', 'Noel Purcell', 'Cyril Cusack', 'Jack MacGowran', ""Jimmy O'Dea"", 'Tony Quinn', 'Paul Farrell', 'Kevin Casey', 'Maureen Potter', 'May Craig']",,,,,"August 10, 1957",['Ireland'],['Ireland'],['Four Provinces Films'],"Awards, 1 win total","['Comedy', 'Drama']",['English']
https://www.imdb.com/title/tt0050986/?ref_=sr_i_12,['Ingmar Bergman'],['Ingmar Bergman'],"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand', 'Jullan Kindahl', 'Folke Sundquist', 'Björn Bjelfvenstam', 'Naima Wifstrand', 'Gunnel Broström', 'Gertrud Fridh']",,,"$81,070",,"June 22, 1959",['Sweden'],"['Dalarö, Stockholms län, Sweden']",['Svensk Filmindustri (SF)'],"Nominated for 1 Oscar, 16 wins & 4 nominations total","['Psychological Drama', 'Drama', 'Romance']","['Swedish', 'Latin']"
https://www.imdb.com/title/tt0050371/?ref_=sr_i_13,['Budd Schulberg'],['Elia Kazan'],"['Andy Griffith', 'Patricia Neal', 'Anthony Franciosa', 'Walter Matthau', 'Lee Remick', 'Percy Waram', 'Paul McGrath', 'Rod Brasfield', 'Marshall Neilan', 'Alexander Kirkland']",,,,,"June 1, 1957",['United States'],"['Paragould, Arkansas, USA']",['Newtown Productions'],"Awards, 1 win & 1 nomination total","['Drama', 'Music']",['English']
https://www.imdb.com/title/tt0050419/?ref_=sr_i_14,"['Leonard Gershe', 'Claude-Jean Bonnardot']",['Stanley Donen'],"['Audrey Hepburn', 'Fred Astaire', 'Kay Thompson', 'Michel Auclair', 'Robert Flemyng', 'Dovima', 'Suzy Parker', 'Sunny Hartnett', 'Jean Del Val', 'Virginia Gibson']","$3,000,000 (estimated)",,"$1,669",,"February 13, 1957",['United States'],"[""Château de la reine blanche, Coye-la-Forêt, Oise, France (wedding dress photo shoot, Dick's marriage proposal)""]",['Paramount Pictures'],"Nominated for 4 Oscars, 2 wins & 10 nominations total","['Romantic Comedy', 'Comedy', 'Musical', 'Romance']","['English', 'French']"
https://www.imdb.com/title/tt0052077/?ref_=sr_i_15,['Edward D. Wood Jr.'],['Edward D. Wood Jr.'],"['Gregory Walcott', 'Tom Keene', 'Mona McKinnon', 'Duke Moore', 'Carl Anthony', 'Paul Marco', 'Tor Johnson', 'Dudley Manlove', 'Joanna Lee', 'Bunny Breckinridge']","$60,000 (estimated)",,,,"July 22, 1959",['United States'],"[""15129 Lakeside Street, Sylmar, Los Angeles, California, USA (old man's house)""]",['Reynolds Pictures'],,"['Alien Invasion', 'B-Horror', 'Supernatural Horror', 'Zombie Horror', 'Horror', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0050798/?ref_=sr_i_16,"['Fred Gipson', 'William Tunberg']",['Robert Stevenson'],"['Dorothy McGuire', 'Fess Parker', 'Tommy Kirk', 'Jeff York', 'Chuck Connors', 'Beverly Washburn', 'Kevin Corcoran', 'Jumper', 'Spike']",,,$91,,"July 10, 1959",['United States'],"['Santa Clarita, California, USA']",['Walt Disney Productions'],"Awards, 2 wins total","['Animal Adventure', 'Classical Western', 'Tragedy', 'Adventure', 'Drama', 'Family', 'Western']",['English']
https://www.imdb.com/title/tt0050803/?ref_=sr_i_17,"['Howard Clewes', 'Kendal Burt', 'James Leasor']",['Roy Ward Baker'],"['Hardy Krüger', 'Colin Gordon', 'Michael Goodliffe', 'Terence Alexander', 'Jack Gwillim', 'Andrew Faulds', 'Julian Somers', 'Alec McCowen', 'Harry Lockart', 'Robert Crewdson']",,,,,"November 22, 1957",['United Kingdom'],"['Grizedale, Ambleside, Cumbria, England, UK (Grizedale Hall and country scenes)']","['The Rank Organisation', 'British Film', 'Julian Wintle Productions']",,"['Adventure', 'Drama', 'War']","['English', 'German']"
https://www.imdb.com/title/tt0051036/?ref_=sr_i_18,"['Clifford Odets', 'Ernest Lehman', 'Alexander Mackendrick']",['Alexander Mackendrick'],"['Burt Lancaster', 'Tony Curtis', 'Susan Harrison', 'Martin Milner', 'Jeff Donnell', 'Sam Levene', 'Joe Frisco', 'Barbara Nichols', 'Emile Meyer', 'Edith Atwater']","$3,400,000 (estimated)",,"$8,025",,"July 4, 1957",['United States'],"['Brill Building - 1619 Broadway, Manhattan, New York City, New York, USA']","['Norma Productions', 'Curtleigh Productions', 'Hecht-Hill-Lancaster Productions']","Nominated for 1 BAFTA Award, 3 wins & 3 nominations total","['Film Noir', 'Drama']","['English', 'Italian', 'Spanish']"
https://www.imdb.com/title/tt0050086/?ref_=sr_i_19,"['Halsted Welles', 'Elmore Leonard']",['Delmer Daves'],"['Glenn Ford', 'Van Heflin', 'Felicia Farr', 'Leora Dana', 'Henry Jones', 'Richard Jaeckel', 'Robert Emhardt', 'Sheridan Comerate', 'George Mitchell', 'Robert Ellenstein']",,,,"$4,033,000","August 7, 1957",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA (Contention City backdrop)']",['Columbia Pictures'],"Nominated for 1 BAFTA Award, 1 win & 3 nominations total","['Classical Western', 'Adventure', 'Drama', 'Thriller', 'Western']",['English']
https://www.imdb.com/title/tt0050766/?ref_=sr_i_20,"['Charles Bennett', 'Hal E. Chester', 'M.R. James']",['Jacques Tourneur'],"['Dana Andrews', 'Peggy Cummins', 'Niall MacGinnis', 'Maurice Denham', 'Athene Seyler', 'Liam Redmond', 'Reginald Beckwith', 'Ewan Roberts', 'Peter Elliott', 'Rosamund Greenwood']",,,,,"March 30, 1958",['United Kingdom'],"['Brocket Hall, Lemsford, Welwyn Garden City, Hertfordshire, England, UK (as ""Lufford Hall, Warwickshire"")']",['Sabre Film Production'],"Awards, 1 win & 1 nomination total","['B-Horror', 'Dark Fantasy', 'Folk Horror', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Fantasy', 'Supernatural Horror', 'Suspense Mystery', 'Witch Horror', 'Fantasy']",['English']
https://www.imdb.com/title/tt0050598/?ref_=sr_i_21,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Maxine Audley', 'Jerry Desmonde', 'Oliver Johnston', 'Dawn Addams', 'Sidney James', 'Joan Ingram', 'Michael Chaplin', 'John McLaren', 'Phil Brown']",,,$910,,"September 23, 1957","['United Kingdom', 'United States']","['Odeon Cinema, Leicester Square, Soho, London, England, UK']",['Attica Film Company'],"Awards, 1 win & 1 nomination total","['Satire', 'Slapstick', 'Comedy', 'Drama']",['English']
https://www.imdb.com/title/tt0050839/?ref_=sr_i_22,"['John Michael Hayes', 'Grace Metalious']",['Mark Robson'],"['Lana Turner', 'Lee Philips', 'Lloyd Nolan', 'Arthur Kennedy', 'Russ Tamblyn', 'Terry Moore', 'Hope Lange', 'Diane Varsi', 'David Nelson', 'Barry Coe']",,,,"$25,600,000","February 19, 1958",['United States'],"['Camden, Maine, USA (Exterior)']","['Twentieth Century Fox', 'Jerry Wald Productions']","Nominated for 9 Oscars, 2 wins & 17 nominations total","['Crime', 'Drama', 'Mystery', 'Romance']",['English']
https://www.imdb.com/title/tt0050468/?ref_=sr_i_23,"['Leon Uris', 'George Scullin']",['John Sturges'],"['Burt Lancaster', 'Kirk Douglas', 'Rhonda Fleming', 'Jo Van Fleet', 'John Ireland', 'Lyle Bettger', 'Frank Faylen', 'Earl Holliman', 'Ted de Corsia', 'Dennis Hopper']","$2,000,000 (estimated)",,,,"May 30, 1957",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA (Tombstone in the opening scene is the same bridge and town as ""Rio Bravo"" w/John Wayne and was filmed in ""Old Tucson"".)']",['Wallis-Hazen'],"Nominated for 2 Oscars, 3 wins & 4 nominations total","['Biography', 'Drama', 'Western']",['English']
https://www.imdb.com/title/tt0050933/?ref_=sr_i_24,"['Paul Osborn', 'James A. Michener']",['Joshua Logan'],"['Marlon Brando', 'Ricardo Montalban', 'Patricia Owens', 'James Garner', 'Martha Scott', 'Miiko Taka', 'Miyoshi Umeki', 'Red Buttons', 'Kent Smith', 'Douglass Watson']",,,,"$26,300,000","December 20, 1957",['United States'],"['Kobe, Hyogo, Japan']","['Pennebaker Productions', 'William Goetz Productions']","Won 4 Oscars, 8 wins & 18 nominations total","['Drama', 'Romance']","['English', 'Japanese']"
https://www.imdb.com/title/tt0050485/?ref_=sr_i_25,['Leo Katcher'],['George Sherman'],"['Guy Madison', 'Valerie French', 'Lorne Greene', 'Barry Atwater', 'Robert Burton', 'Rudy Bond', 'Trevor Bardette', 'Renata Vanni', 'Leah Baird', 'Doyle Brooks']",,,,,"December 26, 1957",['United States'],,['Romson Productions'],,"['Classical Western', 'Western']",['English']
https://www.imdb.com/title/tt0050397/?ref_=sr_i_26,"['Irwin Shaw', 'Max Catto']",['Robert Parrish'],"['Rita Hayworth', 'Robert Mitchum', 'Jack Lemmon', 'Herbert Lom', 'Bonar Colleano', 'Bernard Lee', 'Edric Connor', 'Peter Illing', 'Joan Miller', 'Anthony Newley']",,,,"$2,050,000","June 14, 1957","['United Kingdom', 'United States']","['Tobago, Trinidad and Tobago']",['Warwick Film Productions'],,"['Adventure', 'Drama', 'Romance']",['English']
