Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Our Hospitality,1923,1h 5m,Passed,7.7,13K,,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",https://www.imdb.com/title/tt0014341/?ref_=sr_i_1,"['Jean C. Havez', 'Clyde Bruckman', 'Joseph A. Mitchell']","['John G. Blystone', 'Buster Keaton']","['Buster Keaton', 'Natalie Talmadge', 'Joe Keaton', 'Joe Roberts', 'Francis X. Bushman Jr.', 'Monte Collins', 'Craig Ward', 'Kitty Bradbury', 'Buster Keaton Jr.', 'Jim Blackwell']",,,$248,,"November 19, 1923",['United States'],"['Truckee River, California, USA']",['Joseph M. Schenck Productions'],"Awards, 1 nomination total","['Comedy', 'Romance', 'Thriller']","['None', 'English']"
2. Three Ages,1923,1h 3m,Not Rated,7.0,5.5K,,The misadventures of Buster in three separate historical periods.,https://www.imdb.com/title/tt0014538/?ref_=sr_i_2,"['Clyde Bruckman', 'Joseph A. Mitchell', 'Jean C. Havez']","['Edward F. Cline', 'Buster Keaton']","['Buster Keaton', 'Margaret Leahy', 'Wallace Beery', 'Joe Roberts', 'Lillian Lawrence', 'Kewpie Morgan', 'Lionel Belmore', 'Bernard Berger', 'Basil Bookasta', 'George Bookasta']",,,$177,,"September 24, 1923",['United States'],"['Los Angeles Memorial Coliseum - 3911 S. Figueroa Street, Exposition Park, Los Angeles, California, USA (Roman age)']",['Buster Keaton Productions'],"Awards, 1 nomination total",['Comedy'],['None']
3. Safety Last!,1923,1h 14m,Not Rated,8.1,24K,,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,https://www.imdb.com/title/tt0014429/?ref_=sr_i_3,"['Hal Roach', 'Sam Taylor', 'Tim Whelan']","['Fred C. Newmeyer', 'Sam Taylor']","['Harold Lloyd', 'Mildred Davis', 'Bill Strother', 'Noah Young', 'Westcott Clarke', 'Chester A. Bachman', 'Ed Brandenburg', 'Roy Brooks', 'Charley Chase', 'Monte Collins']","$121,000 (estimated)",,,,"April 1, 1923",['United States'],"['Atlantic Hotel, Broadway, Los Angeles, California, USA (facade, clock tower scene)']",['Hal Roach Studios'],"Awards, 4 wins & 1 nomination total","['Farce', 'Slapstick', 'Action', 'Comedy', 'Thriller']",['English']
4. The Hunchback of Notre Dame,1923,2h 13m,Passed,7.2,6.4K,,"In 15th-century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with a gypsy dancer.",https://www.imdb.com/title/tt0014142/?ref_=sr_i_4,"['Victor Hugo', 'Perley Poore Sheehan', 'Edward T. Lowe Jr.']",['Wallace Worsley'],"['Lon Chaney', 'Patsy Ruth Miller', 'Norman Kerry', 'Kate Lester', 'Winifred Bryson', 'Nigel De Brulier', 'Brandon Hurst', 'Ernest Torrence', 'Tully Marshall', 'Harry von Meter']","$1,250,000 (estimated)",,,,"September 6, 1923",['United States'],"['Court of Miracles, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA']",['Universal Pictures'],"Awards, 3 wins & 1 nomination total","['Costume Drama', 'Period Drama', 'Drama', 'Horror', 'Romance']",['English']
5. A Woman of Paris: A Drama of Fate,1923,1h 22m,Passed,6.9,6.5K,76.0,A kept woman runs into her former fiancé and finds herself torn between love and comfort.,https://www.imdb.com/title/tt0014624/?ref_=sr_i_5,['Charles Chaplin'],['Charles Chaplin'],"['Edna Purviance', 'Clarence Geldert', 'Carl Miller', 'Lydia Knott', 'Charles K. French', 'Adolphe Menjou', 'Betty Morrissey', 'Malvina Polo', 'Nellie Bly Baker', 'Henry Bergman']","$351,000 (estimated)",,"$12,921",,"November 4, 1923",['United States'],"['Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA']",['Charles Chaplin Productions'],"Awards, 3 wins total","['Drama', 'Romance']",['English']
6. The Ten Commandments,1923,2h 16m,Passed,6.8,2.8K,,"After hearing the story of Moses, the sons of a devout Christian mother go their own ways, and the atheist brother's breaking of the Ten Commandments leads to tragedy.",https://www.imdb.com/title/tt0014532/?ref_=sr_i_6,['Jeanie Macpherson'],['Cecil B. DeMille'],"['Theodore Roberts', 'Charles de Rochefort', 'Estelle Taylor', 'Julia Faye', 'Pat Moore', 'James Neill', 'Lawson Butt', 'Clarence Burton', 'Noble Johnson', 'Edythe Chapman']","$1,475,837 (estimated)",,,,"December 4, 1923",['United States'],"['Guadalupe-Nipomo Dunes, California, USA']",['Paramount Pictures'],"Awards, 2 wins & 1 nomination total","['Biography', 'Drama', 'History']","['None', 'English']"
7. The Wheel,1923,6h 57m,Not Rated,7.5,2.7K,,"A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.",https://www.imdb.com/title/tt0014417/?ref_=sr_i_7,['Abel Gance'],['Abel Gance'],"['Gabriel de Gravone', 'Pierre Magnier', 'Georges Térof', 'Séverin-Mars', 'Ivy Close', 'Max Maxudian', 'Gil Clary', 'Géo Dugast']",,,,,"February 17, 1923",['France'],"['Mont-Blanc, Chamonix, Haute-Savoie, France']",['Films Abel Gance'],"Awards, 1 win total",['Drama'],"['None', 'French', 'English']"
8. The Covered Wagon,1923,1h 38m,,6.6,837,,"Two wagon caravans converge at what is now Kansas City, and combine for the westward push to Oregon. On their quest the pilgrims will experience desert heat, mountain snow, hunger, and Indian attacks. To complicate matters further, a love triangle develops, as pretty Molly must chose between Sam, a brute, and Will, the dashing captain of the other caravan. Can Will overcome the skeleton in his closet and win Molly's heart?",https://www.imdb.com/title/tt0013951/?ref_=sr_i_8,"['Emerson Hough', 'Jack Cunningham']",['James Cruze'],"['J. Warren Kerrigan', 'Lois Wilson', 'Alan Hale', 'Ernest Torrence', 'Tully Marshall', 'Ethel Wales', 'Charles Ogle', 'Guy Oliver', 'Johnny Fox', 'James Cruze']","$782,000 (estimated)",,$31,,"September 8, 1924",['United States'],"['Great Basin National Park, Nevada, USA']",['Paramount Pictures'],"Awards, 6 wins total","['Adventure', 'Romance', 'Western']","['None', 'English']"
9. Zaza,1923,1h 24m,,6.6,938,,"Zaza is the favorite actress at an open-air theater in a small French town. When diplomat Bernard Dufresne comes to the village, he stays away for fear he will fall for her. But when Zaza is badly injured, he has no choice.",https://www.imdb.com/title/tt0014636/?ref_=sr_i_9,"['Pierre Berton', 'Albert S. Le Vino', 'Charles Simon']",['Allan Dwan'],"['Gloria Swanson', 'H.B. Warner', 'Ferdinand Gottschalk', 'Lucille La Verne', 'Mary Thurman', 'Yvonne Hughes', 'Riley Hatch', 'L. Rogers Lytton', 'Ivan Linow', 'Florence Fair']",,,,"$427,875","October 21, 1923",['United States'],"['New York City, New York, USA']",['Paramount Pictures'],"Awards, 2 wins total","['Drama', 'Romance']","['None', 'English']"
10. Souls for Sale,1923,1h 30m,Passed,7.0,1.2K,,"A young woman hits Hollywood, determined to become a star.",https://www.imdb.com/title/tt0014497/?ref_=sr_i_10,['Rupert Hughes'],['Rupert Hughes'],"['Eleanor Boardman', 'Mae Busch', 'Barbara La Marr', 'Richard Dix', 'Frank Mayo', 'Lew Cody', 'Forrest Robinson', 'Edith Yorke', 'Snitz Edwards', 'William Haines']",,,,,"April 22, 1923",['United States'],"['Palm Springs, California, USA (desert scenes)']",['Goldwyn Pictures Corporation'],"Awards, 1 win total","['Farce', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['None', 'English']"
