Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Ben-Hur,1959,3h 32m,G,8.1,262K,90,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",https://www.imdb.com/title/tt0052618/?ref_=sr_i_1
2. Sleeping Beauty,1959,1h 15m,G,7.2,166K,85,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",https://www.imdb.com/title/tt0053285/?ref_=sr_i_2
3. The World of Apu,1959,1h 45m,Not Rated,8.4,18K,,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,https://www.imdb.com/title/tt0052572/?ref_=sr_i_3
4. Hiroshima Mon Amour,1959,1h 30m,Not Rated,7.8,38K,,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,https://www.imdb.com/title/tt0052893/?ref_=sr_i_4
5. North by Northwest,1959,2h 16m,Approved,8.3,359K,98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",https://www.imdb.com/title/tt0053125/?ref_=sr_i_5
6. The Law,1959,1h 54m,Not Rated,6.7,913,,"Illicit passions pervade an Italian town, where men gather nightly for the cynical ""game of the law.""",https://www.imdb.com/title/tt0051852/?ref_=sr_i_6
7. The Indian Tomb,1959,1h 42m,,6.6,3.1K,,"A German architect runs away with the maharajah of Eschnapur's fiancee but is caught and thrown in the dungeon, while his relatives arrive from Europe looking for him and the maharajah's brother is scheming to usurp the throne.",https://www.imdb.com/title/tt0052924/?ref_=sr_i_7
8. The Tiger of Eschnapur,1959,1h 41m,,6.6,3.4K,,"In Eschnapur, a local Maharajah and a German architect fall in-love with the same temple dancer.",https://www.imdb.com/title/tt0052295/?ref_=sr_i_8
9. The 400 Blows,1959,1h 39m,Not Rated,8.0,131K,,"A young boy, left without attention, delves into a life of petty crime.",https://www.imdb.com/title/tt0053198/?ref_=sr_i_9
10. Darby O'Gill and the Little People,1959,1h 33m,G,7.1,9.8K,80,A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.,https://www.imdb.com/title/tt0052722/?ref_=sr_i_10
11. Some Like It Hot,1959,2h 1m,Approved,8.2,293K,98,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",https://www.imdb.com/title/tt0053291/?ref_=sr_i_11
"12. The World, the Flesh and the Devil",1959,1h 35m,Approved,6.8,3.7K,,"A miner trapped in a cave-in resurfaces, and upon discovering mankind has been wiped out in a nuclear holocaust, sets out to find other survivors.",https://www.imdb.com/title/tt0053454/?ref_=sr_i_12
13. Rio Bravo,1959,2h 21m,Approved,8.0,71K,93,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",https://www.imdb.com/title/tt0053221/?ref_=sr_i_13
14. Anatomy of a Murder,1959,2h 41m,Approved,8.0,75K,95,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",https://www.imdb.com/title/tt0052561/?ref_=sr_i_14
15. On the Beach,1959,2h 14m,Approved,7.1,15K,55,"After a global nuclear war, the residents of Australia must come to terms with the fact that all life will be destroyed in a matter of months.",https://www.imdb.com/title/tt0053137/?ref_=sr_i_15
16. Journey to the Center of the Earth,1959,2h 9m,Approved,7.0,20K,,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.,https://www.imdb.com/title/tt0052948/?ref_=sr_i_16
17. The Mouse That Roared,1959,1h 23m,Approved,6.9,9.7K,,"A tiny, impoverished European nation declares war on the United States of America, planning to lose in order to collect post-war compensation, but things don't go according to plan.",https://www.imdb.com/title/tt0053084/?ref_=sr_i_17
18. Imitation of Life,1959,2h 5m,Approved,7.8,19K,87,An aspiring white actress takes in an African American widow whose mixed-race daughter is desperate to be seen as white.,https://www.imdb.com/title/tt0052918/?ref_=sr_i_18
"19. Suddenly, Last Summer",1959,1h 54m,Approved,7.5,18K,54,A surgeon is assigned the case of a young woman whose aunt wants her lobotomized to cover up a family secret.,https://www.imdb.com/title/tt0053318/?ref_=sr_i_19
20. The Shaggy Dog,1959,1h 44m,Approved,6.4,5.8K,45,A teenage boy is cursed with periodically turning into a sheepdog.,https://www.imdb.com/title/tt0053271/?ref_=sr_i_20
21. Pillow Talk,1959,1h 42m,Approved,7.4,20K,73,An interior decorator and a playboy songwriter share a telephone party line and size each other up.,https://www.imdb.com/title/tt0053172/?ref_=sr_i_21
22. House on Haunted Hill,1959,1h 15m,Approved,6.7,33K,,"A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.",https://www.imdb.com/title/tt0051744/?ref_=sr_i_22
23. Operation Petticoat,1959,2h 4m,Approved,7.2,17K,,"During World War II, a commander finds himself stuck with a decrepit (and pink) submarine, a con man executive officer, and a group of army nurses.",https://www.imdb.com/title/tt0053143/?ref_=sr_i_23
24. The Best of Everything,1959,2h 1m,Approved,6.6,2.5K,,An expose of the lives and loves of Madison Avenue working girls and their higher ups.,https://www.imdb.com/title/tt0052619/?ref_=sr_i_24
25. Edge of Eternity,1959,1h 20m,Approved,6.5,1.3K,,"In the 1950s, Arizona Deputy Sheriff Les Martin is pressured by his community to solve a string of mysterious murders around a mining ghost town in the Grand Canyon.",https://www.imdb.com/title/tt0052771/?ref_=sr_i_25
26. The Human Condition I: No Greater Love,1959,3h 28m,Not Rated,8.5,10K,,"A Japanese pacifist, unable to face the dire consequences of conscientious objection, is transformed by his attempts to compromise with the demands of war-time Japan.",https://www.imdb.com/title/tt0053114/?ref_=sr_i_26
27. The Diary of Anne Frank,1959,3h,Approved,7.4,14K,59,"During World War II, a teenage Jewish girl named Anne Frank and her family are forced into hiding in the Nazi-occupied Netherlands.",https://www.imdb.com/title/tt0052738/?ref_=sr_i_27
28. The Horse Soldiers,1959,2h,Approved,7.1,12K,,"In 1863, a Union outfit is sent behind Confederate lines in Mississippi to destroy enemy railroads but a captive southern belle and the unit's doctor cause frictions within ranks.",https://www.imdb.com/title/tt0052902/?ref_=sr_i_28
29. Solomon and Sheba,1959,2h 21m,Not Rated,6.1,4K,,"After becoming king of ancient Israel, Solomon faces threats coming from his jealous dispossessed brother Adonijah, the Egyptian Pharaoh and the scheming Queen of Sheba.",https://www.imdb.com/title/tt0053290/?ref_=sr_i_29
30. A Summer Place,1959,2h 10m,Approved,6.9,4K,,A self-made businessman rekindles a romance with a former flame while their two teenage children begin a romance of their own with drastic consequences for both couples.,https://www.imdb.com/title/tt0053320/?ref_=sr_i_30
31. Serious Charge,1959,1h 39m,Not Rated,6.4,285,,A vicar falsely accused of assaulting a youth attempts to prove his innocence and save his reputation.,https://www.imdb.com/title/tt0053269/?ref_=sr_i_31
32. Gidget,1959,1h 35m,Approved,6.6,4K,,A young girl discovers surfing and love (in that order) during one transitive summer.,https://www.imdb.com/title/tt0052847/?ref_=sr_i_32
33. The Hound of the Baskervilles,1959,1h 27m,Approved,6.9,13K,,"When a nobleman is threatened by a family curse on his newly inherited estate, detective Sherlock Holmes is hired to investigate.",https://www.imdb.com/title/tt0052905/?ref_=sr_i_33
34. Black Orpheus,1959,1h 40m,PG,7.4,13K,81,"A retelling of the Orpheus and Eurydice myth, set during the time of the Carnaval in Rio de Janeiro.",https://www.imdb.com/title/tt0053146/?ref_=sr_i_34
35. Li'l Abner,1959,1h 54m,Approved,6.7,1.6K,,"As Sadie Hawkins Day approaches, Daisy Mae hopes to win the hand of Li'l Abner by catching him in the traditional race.",https://www.imdb.com/title/tt0053001/?ref_=sr_i_35
36. Pickpocket,1959,1h 16m,Not Rated,7.6,26K,,"Michel passes the time by picking pockets, careful to never be caught despite being watched by the police. His friend Jacques may suspect, while both men may have their eyes on Jeanne, the pretty neighbor of Michel's ailing mother.",https://www.imdb.com/title/tt0053168/?ref_=sr_i_36
37. Yesterday's Enemy,1959,1h 35m,Approved,7.1,1.4K,,"In World War II, during the Japanese invasion of Burma, the lost remnant of a British Army Brigade HQ, led by the ruthless Captain Alan Langford, escapes through the jungle toward the British lines.",https://www.imdb.com/title/tt0053458/?ref_=sr_i_37
38. King of the Wild Stallions,1959,1h 16m,Approved,5.9,185,,A young widow and her son on an isolated ranch find themselves being protected by a wild stallion.,https://www.imdb.com/title/tt0052971/?ref_=sr_i_38
39. The Nun's Story,1959,2h 29m,Approved,7.5,12K,78,"After leaving a wealthy Belgian family to become a nun, Sister Luke struggles with her devotion to her vows during crisis, disappointment, and World War II.",https://www.imdb.com/title/tt0053131/?ref_=sr_i_39
40. Compulsion,1959,1h 43m,Approved,7.4,8K,,Two wealthy law-school students go on trial for murder in this version of the Leopold-Loeb case.,https://www.imdb.com/title/tt0052700/?ref_=sr_i_40
41. Attack of the Giant Leeches,1959,1h 2m,Approved,3.7,5.1K,,"A backwoods game warden and a local doctor discover that giant leeches are responsible for disappearances and deaths in a local swamp, but the local police don't believe them.",https://www.imdb.com/title/tt0053611/?ref_=sr_i_41
42. Odds Against Tomorrow,1959,1h 36m,Approved,7.4,5.8K,,"In need of quick money, a fallen former cop recruits a hard-bitten ex-con and a debt-ridden nightclub singer to pull off a bank job. But as the animosity between them boils over, the entire plan threatens to implode.",https://www.imdb.com/title/tt0053133/?ref_=sr_i_42
43. Ride Lonesome,1959,1h 13m,Approved,7.1,7K,,"A bounty hunter escorts a killer to be tried for murder, with the killer's brother after them.",https://www.imdb.com/title/tt0053220/?ref_=sr_i_43
44. Warlock,1959,2h 1m,Approved,7.1,7.3K,,"A famous gunman becomes the marshal of Warlock to end a gang's rampages, but is met with some opposition by a former gang member turned deputy sheriff who wants to follow only legal methods.",https://www.imdb.com/title/tt0053434/?ref_=sr_i_44
45. The Mummy,1959,1h 28m,Unrated,6.6,12K,62,"In 1895, British archaeologists find and open the tomb of Egyptian Princess Ananka with nefarious consequences.",https://www.imdb.com/title/tt0053085/?ref_=sr_i_45
46. Day of the Outlaw,1959,1h 32m,Approved,7.3,4.7K,,"Blaise Starrett is a rancher at odds with homesteaders when outlaws hold up the small town. The outlaws are held in check only by their notorious leader, but he is diagnosed with a fatal wound and the town is a powder keg waiting to blow.",https://www.imdb.com/title/tt0052724/?ref_=sr_i_46
47. I Spit on Your Grave,1959,1h 50m,,5.4,313,,"After the lynching death of his black brother in Memphis, a light-skinned African-American, heads to a small Southern town, where he draws the attention of a heiress, and learns that the place is as racist as his hometown.",https://www.imdb.com/title/tt0052937/?ref_=sr_i_47
48. A Bucket of Blood,1959,1h 6m,Approved,6.7,8.5K,,"A dimwitted busboy at a beatnik cafe passes off a cat he accidentally killed and covered in plaster as a sculpture, prompting a demand for more art that compels him to commit murders.",https://www.imdb.com/title/tt0052655/?ref_=sr_i_48
49. Our Man in Havana,1959,1h 51m,Not Rated,7.2,6.3K,,"Expatriate vacuum cleaner salesman Jim Wormold agrees to work as an agent, and to recruit new agents, for the British Secret Service in Cuba, but he soon realizes that his deceptive ways are going to get him in trouble.",https://www.imdb.com/title/tt0054152/?ref_=sr_i_49
50. The 39 Steps,1959,1h 33m,Approved,6.6,2.5K,,"In London, a diplomat accidentally becomes involved in the death of a British agent who's after a spy ring that covets British military secrets.",https://www.imdb.com/title/tt0053354/?ref_=sr_i_50
51. Escort West,1959,1h 15m,Approved,6.2,663,,"An ex-Confederate officer and his young daughter, traveling West, rescue two women survivors of an Indian attack.",https://www.imdb.com/title/tt0051591/?ref_=sr_i_51
52. The Bat,1959,1h 20m,Approved,6.0,6.6K,,"A crazed killer known as ""The Bat"" is on the loose in a mansion full of people.",https://www.imdb.com/title/tt0052602/?ref_=sr_i_52
53. Good Morning,1959,1h 34m,Not Rated,7.8,12K,87,Two boys begin a silence strike to press their parents into buying them a television set.,https://www.imdb.com/title/tt0053134/?ref_=sr_i_53
54. The Tingler,1959,1h 22m,Approved,6.6,10K,,An obsessed pathologist discovers and captures a parasitic creature that grows when fear grips its host.,https://www.imdb.com/title/tt0053363/?ref_=sr_i_54
55. The Wasp Woman,1959,1h 3m,Approved,4.8,5.8K,,"The head of a major cosmetics company experiments on herself with a youth formula made from royal jelly extracted from wasps, but the formula's side effects have deadly consequences.",https://www.imdb.com/title/tt0054462/?ref_=sr_i_55
56. The Gunfight at Dodge City,1959,1h 21m,Approved,6.2,1.1K,,"After his brother the sheriff is murdered, Bat Masterson is elected to the job and is determined to find the killer and make Dodge City safe.",https://www.imdb.com/title/tt0051688/?ref_=sr_i_56
57. The Wild and the Innocent,1959,1h 24m,Approved,6.3,1K,,"In Wyoming, mountain trapper Yancey goes to the nearest town to trade his pelts but gets into trouble when he tries to save runaway dance-hall girl Rosalie from her shameful job.",https://www.imdb.com/title/tt0053445/?ref_=sr_i_57
58. Mr. Tease and His Playthings,1959,1h 8m,R,4.6,1.1K,,A door to door salesman of dentist's appliances encounters beautiful well-endowed nude women everywhere he goes.,https://www.imdb.com/title/tt0052920/?ref_=sr_i_58
59. The Great Van Robbery,1959,1h 11m,Approved,5.7,131,,"Interpol detective Caesar Smith tracks robbers of the Royal Mint van. He travels to Rio de Janeiro, Rome and Paris and establishes the guilt of a London coffee importer.",https://www.imdb.com/title/tt0052863/?ref_=sr_i_59
60. North West Frontier,1959,2h 9m,Not Rated,7.1,3.2K,,"Set on the North West Frontier of colonial India in 1905. A British Army Officer, Captain Scott is sent to rescue a five year old Indian Prince and his American governess, Catherine Wyatt from certain death at the hands of rebel tribesman.",https://www.imdb.com/title/tt0053126/?ref_=sr_i_60
61. The Hanging Tree,1959,1h 47m,Approved,7.1,5K,,"Unusual western about a doctor with a dark past, whose life is complicated and ultimately redeemed by a young thief, and a pretty Swiss immigrant whom he nurses back to health.",https://www.imdb.com/title/tt0052876/?ref_=sr_i_61
62. Teenagers from Outer Space,1959,1h 26m,Approved,3.9,4K,,A young alien and a teenage earthling fall in love and plot to stop the alien race from using Earth as a food-breeding ground for giant lobsters from their planet.,https://www.imdb.com/title/tt0053337/?ref_=sr_i_62
63. Porgy and Bess,1959,2h 18m,Not Rated,6.9,2K,77,A woman whose past is scorned by nearly everyone around her meets a man who'd love her regardlessly - if only everyone else would allow them to.,https://www.imdb.com/title/tt0053182/?ref_=sr_i_63
64. Pork Chop Hill,1959,1h 37m,Approved,7.0,5.5K,,"During the Korean War peace talks in Panmunjom, U.S. troops fight and die trying to retake a worthless hill from the Communist Chinese forces.",https://www.imdb.com/title/tt0053183/?ref_=sr_i_64
65. Never So Few,1959,2h 5m,Approved,5.8,3.5K,,"During WW2, the American OSS mounts covert operations with the native Kachin against the Japanese army in the jungles of Burma.",https://www.imdb.com/title/tt0053108/?ref_=sr_i_65
66. Tiger Bay,1959,1h 45m,Not Rated,7.5,3.4K,,"A twelve-year-old tomboy witnesses the murder of a woman by her Polish merchant marine boyfriend, but bonds with him and thwarts the police in their investigation.",https://www.imdb.com/title/tt0053361/?ref_=sr_i_66
67. Green Mansions,1959,1h 44m,Approved,5.3,2.7K,,A young man in the jungles of Venezuela meets a strange girl of the forest and falls in love with her.,https://www.imdb.com/title/tt0052864/?ref_=sr_i_67
68. Floating Weeds,1959,1h 59m,Not Rated,7.9,9.4K,,"The head of a Japanese theatre troupe returns to a small coastal town where he left a son who thinks he is his uncle, and tries to make up for the lost time, but his current mistress grows jealous.",https://www.imdb.com/title/tt0053390/?ref_=sr_i_68
69. It Happened to Jane,1959,1h 37m,Approved,6.5,3.2K,,"Jane Osgood runs a lobster business, which supports her two young children. Railroad staff inattention ruins her shipment, so with her lawyer George, Jane sues Harry Foster Malone, director of the line and the ""meanest man in the world"".",https://www.imdb.com/title/tt0052933/?ref_=sr_i_69
