Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. King Kong,1933,1h 40m,Approved,7.9,93K,92.0,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.",https://www.imdb.com/title/tt0024216/?ref_=sr_i_1,"['James Ashmore Creelman', 'Ruth Rose', 'Merian C. Cooper']","['Merian C. Cooper', 'Ernest B. Schoedsack']","['Fay Wray', 'Robert Armstrong', 'Bruce Cabot', 'Frank Reicher', 'Sam Hardy', 'Noble Johnson', 'Steve Clemente', 'James Flavin', 'Walter Ackerman', 'James Adamson']","$670,000 (estimated)",,$651,,"April 7, 1933",['United States'],"['San Pedro Harbor, Long Beach, California, USA']",['RKO Radio Pictures'],"Awards, 4 wins & 8 nominations total","['Adventure Epic', 'Dinosaur Adventure', 'Jungle Adventure', 'Monster Horror', 'Urban Adventure', 'Adventure', 'Horror']",['English']
2. The Invisible Man,1933,1h 11m,Approved,7.6,42K,87.0,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",https://www.imdb.com/title/tt0024184/?ref_=sr_i_2,"['H.G. Wells', 'R.C. Sherriff', 'Preston Sturges']",['James Whale'],"['Claude Rains', 'Gloria Stuart', 'William Harrigan', 'Henry Travers', ""Una O'Connor"", 'Forrester Harvey', 'Holmes Herbert', 'E.E. Clive', 'Dudley Digges', 'Harry Stubbs']","$328,033 (estimated)",,"$27,105",,"November 13, 1933",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA']",['Universal Pictures'],"Awards, 4 wins & 2 nominations total","['Body Horror', 'Psychological Horror', 'Supernatural Horror', 'Horror', 'Sci-Fi']",['English']
3. Mystery of the Wax Museum,1933,1h 17m,Passed,6.8,7.2K,,The disappearance of people and corpses leads a reporter to a wax museum and a sinister sculptor.,https://www.imdb.com/title/tt0024368/?ref_=sr_i_3,"['Don Mullaly', 'Carl Erickson', 'Charles Belden']",['Michael Curtiz'],"['Lionel Atwill', 'Fay Wray', 'Glenda Farrell', 'Frank McHugh', 'Allen Vincent', 'Gavin Gordon', 'Edwin Maxwell', 'Holmes Herbert', 'Claude King', 'Arthur Edmund Carewe']",,,,,"February 18, 1933",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],,"['Horror', 'Mystery', 'Thriller']",['English']
4. Peg o' My Heart,1933,1h 27m,Approved,6.5,1.6K,,"A young woman living in an Irish fishing village inherits her late grandfather's estate, but is forced to spend three years in England training to be a proper lady to collect the fortune.",https://www.imdb.com/title/tt0024433/?ref_=sr_i_4,"['Frank R. Adams', 'J. Hartley Manners', 'Frances Marion']",['Robert Z. Leonard'],"['Marion Davies', 'Onslow Stevens', 'J. Farrell MacDonald', 'Juliette Compton', 'Irene Browne', 'Tyrell Davis', 'Alan Mowbray', 'Doris Lloyd', 'Robert Greig', 'Nora Cecil']","$623,000 (estimated)",,,,"May 26, 1933",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']","['Cosmopolitan Productions', 'Metro-Goldwyn-Mayer (MGM)']","Awards, 1 win total","['Drama', 'Romance']",['English']
5. Ecstasy,1933,1h 22m,TV-MA,6.6,2.9K,,"Eva has just got married to an older gentleman. She leaves him, and one day, she meets a young man, and they fall in love. Fate brings the husband together with the young lover that has taken Eva from him.",https://www.imdb.com/title/tt0022867/?ref_=sr_i_5,"['Robert Horky', 'Frantisek Horký', 'Jacques A. Koerpel']",['Gustav Machatý'],"['Hedy Lamarr', 'Zvonimir Rogoz', 'Aribert Mog', 'Leopold Kramer', 'Emil Jerman', 'Eduard Slégl', 'Antonín Kubový', 'Jan Sviták', 'Bedrich Vrbský', 'Jirina Stepnicková']",,,,,April 1936,['Czechoslovakia'],"['Atelier Schönbrunn, Vienna, Austria']",['Elektafilm'],"Awards, 2 wins & 1 nomination total","['Drama', 'Romance']","['Czech', 'German']"
6. Duck Soup,1933,1h 9m,Approved,7.7,64K,93.0,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on.",https://www.imdb.com/title/tt0023969/?ref_=sr_i_6,"['Bert Kalmar', 'Harry Ruby', 'Arthur Sheekman']",['Leo McCarey'],"['Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx', 'The Marx Brothers', 'Margaret Dumont', 'Raquel Torres', 'Louis Calhern', 'Edmund Breese', 'Leonid Kinskey']",,,"$106,318",,"November 17, 1933",['United States'],"['Loja, Granada, Andalucía, Spain (aerial view of Sylvania)']",['Paramount Pictures'],"Awards, 3 wins & 2 nominations total","['Farce', 'Satire', 'Slapstick', 'Comedy', 'Musical']",['English']
7. Alice in Wonderland,1933,1h 16m,Approved,6.3,2.8K,54.0,In Victorian England a bored young girl dreams that she has entered a fantasy world called Wonderland populated by even more fantastic characters.,https://www.imdb.com/title/tt0023753/?ref_=sr_i_7,"['Joseph L. Mankiewicz', 'William Cameron Menzies', 'Lewis Carroll']","['Norman Z. McLeod', 'Hugh Harman', 'Rudolf Ising']","['Richard Arlen', 'Roscoe Ates', 'William Austin', 'Gary Cooper', 'Leon Errol', 'Louise Fazenda', 'W.C. Fields', 'Alec B. Francis', ""Richard 'Skeets' Gallagher"", 'Cary Grant']",,,,,"December 22, 1933",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Paramount Pictures'],"Awards, 1 win total","['Adventure', 'Family', 'Fantasy']",['English']
8. Design for Living,1933,1h 31m,Passed,7.4,8.2K,,"A woman cannot decide between two men who love her, and the trio agree to try living together in a platonic friendly relationship.",https://www.imdb.com/title/tt0023940/?ref_=sr_i_8,"['Noël Coward', 'Ben Hecht', 'Samuel Hoffenstein']",['Ernst Lubitsch'],"['Fredric March', 'Gary Cooper', 'Miriam Hopkins', 'Edward Everett Horton', 'Franklin Pangborn', 'Isabel Jewell', 'Jane Darwell', 'Wyndham Standing', 'Cosmo Kyrle Bellew', 'Lionel Belmore']",,,$157,,"December 29, 1933",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Paramount Pictures'],"Awards, 3 wins total","['Romantic Comedy', 'Screwball Comedy', 'Comedy', 'Mystery', 'Romance']","['English', 'French', 'Latin']"
9. Ladies They Talk About,1933,1h 9m,Approved,6.6,2K,,"Attractive Nan, member of a bank-robbery gang, goes to prison thanks to evangelist Dave Slade...who loves her.",https://www.imdb.com/title/tt0024238/?ref_=sr_i_9,"['Brown Holmes', 'William McGrath', 'Sidney Sutherland']","['Howard Bretherton', 'William Keighley']","['Barbara Stanwyck', 'Preston Foster', 'Lyle Talbot', 'Dorothy Burgess', 'Lillian Roth', 'Maude Eburne', 'Ruth Donnelly', 'Harold Huber', 'Robert McWade', 'Jack Baxley']",,,,,"February 4, 1933",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],,['Drama'],['English']
10. Baby Face,1933,1h 11m,Approved,7.5,8.6K,,"A young woman, sexually exploited all her life, decides to turn the tables and exploit the hapless men at a big city bank by gleefully seducing her way to the top.",https://www.imdb.com/title/tt0023775/?ref_=sr_i_10,"['Gene Markey', 'Kathryn Scola', 'Darryl F. Zanuck']",['Alfred E. Green'],"['Barbara Stanwyck', 'George Brent', 'Donald Cook', 'Alphonse Ethier', 'Henry Kolker', 'Margaret Lindsay', 'Arthur Hohl', 'John Wayne', 'Robert Barrat', 'Douglass Dumbrille']","$187,000 (estimated)",,,,"November 17, 1933",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 2 wins total","['Tragic Romance', 'Workplace Drama', 'Drama', 'Romance']","['English', 'French']"
