Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,941K,71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",https://www.imdb.com/title/tt10872600/?ref_=sr_i_1
2. Shang-Chi and the Legend of the Ten Rings,2021,2h 12m,PG-13,7.3,459K,71,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",https://www.imdb.com/title/tt9376612/?ref_=sr_i_2
3. Venom: Let There Be Carnage,2021,1h 37m,PG-13,5.9,285K,49,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",https://www.imdb.com/title/tt7097896/?ref_=sr_i_3
4. Black Widow,2021,2h 14m,PG-13,6.6,448K,68,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,https://www.imdb.com/title/tt3480822/?ref_=sr_i_4
5. F9: The Fast Saga,2021,2h 23m,PG-13,5.2,170K,58,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,https://www.imdb.com/title/tt5433138/?ref_=sr_i_5
6. Eternals,2021,2h 36m,PG-13,6.2,405K,52,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",https://www.imdb.com/title/tt9032400/?ref_=sr_i_6
7. Sing 2,2021,1h 50m,PG,7.3,95K,49,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,https://www.imdb.com/title/tt6467266/?ref_=sr_i_7
8. No Time to Die,2021,2h 43m,PG-13,7.3,463K,68,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",https://www.imdb.com/title/tt2382320/?ref_=sr_i_8
9. Ghostbusters: Afterlife,2021,2h 4m,PG-13,7.0,232K,45,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",https://www.imdb.com/title/tt4513678/?ref_=sr_i_9
10. Free Guy,2021,1h 55m,PG-13,7.1,458K,62,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",https://www.imdb.com/title/tt6264654/?ref_=sr_i_10
11. Jungle Cruise,2021,2h 7m,PG-13,6.6,220K,50,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,https://www.imdb.com/title/tt0870154/?ref_=sr_i_11
12. Dune: Part One,2021,2h 35m,PG-13,8.0,949K,74,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",https://www.imdb.com/title/tt1160419/?ref_=sr_i_12
13. Godzilla vs. Kong,2021,1h 53m,PG-13,6.3,256K,59,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,https://www.imdb.com/title/tt5034838/?ref_=sr_i_13
14. Encanto,2021,1h 42m,PG,7.2,279K,75,"An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mirabel.",https://www.imdb.com/title/tt2953050/?ref_=sr_i_14
15. Halloween Kills,2021,1h 45m,R,5.5,103K,42,Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror.,https://www.imdb.com/title/tt10665338/?ref_=sr_i_15
16. The Black Phone,2021,1h 43m,R,6.9,224K,65,"After being abducted and locked in a basement, a boy starts receiving calls on a disconnected phone from the killer's previous victims.",https://www.imdb.com/title/tt7144666/?ref_=sr_i_16
17. Cruella,2021,2h 14m,PG-13,7.3,280K,59,"During the 1970s London punk rock revolution, young grifter Estella transforms herself into the raucous, revenge-bent Cruella de Vil.",https://www.imdb.com/title/tt3228774/?ref_=sr_i_17
18. Space Jam: A New Legacy,2021,1h 55m,PG,4.5,83K,36,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with the Looney Tunes to win a basketball game.",https://www.imdb.com/title/tt3554046/?ref_=sr_i_18
19. The Conjuring: The Devil Made Me Do It,2021,1h 52m,R,6.3,149K,53,"Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence.",https://www.imdb.com/title/tt7069210/?ref_=sr_i_19
20. Candyman,2021,1h 31m,R,5.9,79K,72,A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.,https://www.imdb.com/title/tt9347730/?ref_=sr_i_20
21. The Boss Baby: Family Business,2021,1h 47m,PG,5.9,24K,39,"The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business.",https://www.imdb.com/title/tt6932874/?ref_=sr_i_21
22. The Addams Family 2,2021,1h 33m,PG,5.4,17K,37,Morticia and Gomez are distraught that Wednesday and Pugsley are growing up. To reclaim their bond they decide to cram the family into their haunted camper and hit the road for one last vacation together.,https://www.imdb.com/title/tt11125620/?ref_=sr_i_22
23. The Suicide Squad,2021,2h 12m,R,7.2,430K,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",https://www.imdb.com/title/tt6334354/?ref_=sr_i_23
24. Raya and the Last Dragon,2021,1h 47m,PG,7.3,180K,74,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",https://www.imdb.com/title/tt5109280/?ref_=sr_i_24
25. House of Gucci,2021,2h 38m,R,6.6,168K,59,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",https://www.imdb.com/title/tt11214590/?ref_=sr_i_25
