link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0056172/?ref_=sr_i_1,"['Robert Bolt', 'Michael Wilson']",['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit']","$15,000,000 (estimated)","$20,846","$45,766,917","$45,306,425","April 2, 2013","['United Kingdom', 'United States']","['Wadi Rum, Jordan (desert - red cliffs)']",['Horizon Pictures (II)'],"Won 7 Oscars, 31 wins & 14 nominations total","['Adventure Epic', 'Desert Adventure', 'Epic', 'Tragedy', 'War Epic', 'Adventure', 'Biography', 'Drama', 'War']","['English', 'Arabic', 'Turkish']"
https://www.imdb.com/title/tt0055928/?ref_=sr_i_2,"['Richard Maibaum', 'Johanna Harwood', 'Berkely Mather']",['Terence Young'],"['Sean Connery', 'Ursula Andress', 'Bernard Lee', 'Joseph Wiseman', 'Jack Lord', 'Anthony Dawson', 'Zena Marshall', 'John Kitzmiller', 'Eunice Gayson', 'Lois Maxwell']","£392,022 (estimated)",,"$16,120,643","$16,067,035","October 10, 1962","['United Kingdom', 'United States']","[""Dunn's River Falls, Ocho Rios, St. Ann, Jamaica (Bond and Rider take a tropical dip - Crab Key shoreline - Bond and Quarrel arrive at the Crab Key falls)""]",['Eon Productions'],"Awards, 4 wins & 4 nominations total","['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'French', 'Italian']"
https://www.imdb.com/title/tt0056218/?ref_=sr_i_3,"['Richard Condon', 'George Axelrod', 'John Frankenheimer']",['John Frankenheimer'],"['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh', 'Angela Lansbury', 'Henry Silva', 'James Gregory', 'Leslie Parrish', 'John McGiver', 'Khigh Dhiegh', 'James Edwards']","$2,200,000 (estimated)","$87,850","$2,757,256","$2,757,256","October 24, 1962",['United States'],"[""Jilly's, 52nd Street at 8th Avenue, Manhattan, New York City, New York, USA (bar where Shaw hears he ought to go jump in a lake)""]",['M.C. Productions'],"Nominated for 2 Oscars, 6 wins & 9 nominations total","['Conspiracy Thriller', 'Political Thriller', 'Psychological Thriller', 'Spy', 'Tragedy', 'Drama', 'Thriller']","['English', 'Spanish']"
https://www.imdb.com/title/tt0056592/?ref_=sr_i_4,"['Harper Lee', 'Horton Foote']",['Robert Mulligan'],"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy', 'Ruth White', 'Brock Peters', 'Estelle Evans', 'Paul Fix', 'Collin Wilcox Paxton', 'James Anderson']","$2,000,000 (estimated)","$357,549","$602,810","$592,237","March 16, 1963",['United States'],"['Monroeville, Alabama, USA']","['Pakula-Mulligan', 'Brentwood Productions']","Won 3 Oscars, 14 wins & 16 nominations total","['Legal Drama', 'Period Drama', 'Crime', 'Drama']",['English']
https://www.imdb.com/title/tt0056210/?ref_=sr_i_5,"['Rafael Azcona', 'Bruno Caruso', 'Marco Ferreri']",['Alberto Lattuada'],"['Alberto Sordi', 'Norma Bengell', 'Gabriella Conti', 'Ugo Attanasio', 'Cinzia Bruno', 'Katiuscia', 'Armando Tine', 'Lilly Bistrattin', 'Michèle Bailly', 'Francesco Lo Briglio']",,"$29,965","$400,019","$400,019","March 4, 1965",['Italy'],"['Belmonte Mezzagno, Sicily, Italy (sicilian village)']","['Compagnia Cinematografica Antonio Cervi', 'Dino de Laurentiis Cinematografica']","Awards, 1 win & 2 nominations total","['Comedy', 'Crime', 'Drama']","['Italian', 'English', 'French', 'German']"
https://www.imdb.com/title/tt0057427/?ref_=sr_i_6,"['Pierre Cholot', 'Franz Kafka', 'Orson Welles']",['Orson Welles'],"['Anthony Perkins', 'Arnoldo Foà', 'Jess Hahn', 'Billy Kearns', 'Madeleine Robinson', 'Jeanne Moreau', 'Maurice Teynac', 'Naydra Shore', 'Suzanne Flon', 'Raoul Delfosse']","$1,300,000 (estimated)","$7,280","$94,243","$93,533","December 22, 1962","['France', 'Italy', 'West Germany']","['240 Grada Vukovara Street, Zagreb, Croatia (Joseph K. and old lady lugging a trunk)']","['Paris-Europa Productions', 'Hisa-Film', 'Finanziaria Cinematografica Italiana (FICIT)']","Awards, 2 wins & 2 nominations total","['Legal Drama', 'Legal Thriller', 'Drama', 'Mystery', 'Thriller']",['English']
https://www.imdb.com/title/tt0054821/?ref_=sr_i_7,"['Pierre Lesou', 'Jean-Pierre Melville']",['Jean-Pierre Melville'],"['Jean-Paul Belmondo', 'Serge Reggiani', 'Jean Desailly', 'René Lefèvre', 'Marcel Cuvelier', 'Philippe March', 'Fabienne Dali', 'Monique Hennessy', 'Carl Studer', 'Christian Lude']",,"$9,362","$91,410","$82,772","March 2, 1964","['France', 'Italy']","['Rue Watt, Paris 13, Paris, France (opening scene: Faugel walking under railway)']","['Compagnia Cinematografica Champion', 'Rome Paris Films']","Awards, 1 nomination total","['Crime', 'Thriller']",['French']
https://www.imdb.com/title/tt0056085/?ref_=sr_i_8,"['James R. Webb', 'Gerald Devriès', 'Christian Dura']","['John Ford', 'Henry Hathaway', 'George Marshall']","['James Stewart', 'John Wayne', 'Gregory Peck', 'Henry Fonda', 'Carroll Baker', 'Lee J. Cobb', 'Carolyn Jones', 'Karl Malden', 'George Peppard', 'Robert Preston']","$15,000,000 (estimated)","$28,568","$76,729","$76,729","February 20, 1963",['United States'],"['Cave-In-Rock State Park - 1 New State Park Road, Cave-In-Rock, Illinois, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cinerama Productions Corp.']","Won 3 Oscars, 10 wins & 5 nominations total","['Classical Western', 'Epic', 'Western Epic', 'Adventure', 'War', 'Western']","['English', 'Arapaho']"
https://www.imdb.com/title/tt0054758/?ref_=sr_i_9,"['Alain Cavalier', 'Jean-Paul Rappeneau']",['Alain Cavalier'],"['Romy Schneider', 'Jean-Louis Trintignant', 'Henri Serre', 'Diane Lepvrier', 'Robert Bousquet', 'Jacques Berlioz', 'Armand Meffre', 'Maurice Garrel', 'Marcel Cuvelier', 'Pierre Asso']",,"$10,217","$50,039","$50,039","June 12, 2009",['France'],"[""Le Moulin d'Andé, 65 rue du Moulin, Andé, Eure, France (watermill)""]","['Union Générale Cinématographique (UGC)', 'La Société des Films Sirius', 'Nouvelles Éditions de Films (NEF)']",,"['Drama', 'Romance', 'Thriller']","['French', 'English']"
https://www.imdb.com/title/tt0056443/?ref_=sr_i_10,"['Ryûzô Kikushima', 'Hideo Oguni', 'Akira Kurosawa']",['Akira Kurosawa'],"['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûnosuke Itô', 'Yûzô Kayama', 'Reiko Dan', 'Takashi Shimura', 'Kamatari Fujiwara', 'Takako Irie', 'Masao Shimizu']",,"$15,942","$65,090","$46,808","May 7, 1963",['Japan'],"['Toho Studios, Tokyo, Japan (Studio)']","['Toho', 'Kurosawa Production Co.']","Awards, 1 win & 1 nomination total","['Samurai', 'Action', 'Drama', 'Thriller']",['Japanese']
