Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. The Four Horsemen of the Apocalypse,1921,2h 30m,Passed,7.1,3.7K,,An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.,https://www.imdb.com/title/tt0012190/?ref_=sr_i_1,"['Vicente Blasco Ibáñez', 'June Mathis']",['Rex Ingram'],"['Rudolph Valentino', 'Alice Terry', 'Pomeroy Cannon', 'Josef Swickard', 'Bridgetta Clark', 'Virginia Warwick', 'Alan Hale', 'Mabel Van Buren', 'Stuart Holmes', 'John St. Polis']","$800,000 (estimated)",,"$9,183,673","$9,183,673",April 1921,['United States'],"['Gilmore Ranch, Fairfax, Los Angeles, California, USA (South American scenes)']",['Metro Pictures Corporation'],"Awards, 1 win total","['Epic', 'War Epic', 'Drama', 'Romance', 'War']",['English']
2. Destiny,1921,1h 54m,Not Rated,7.6,7K,,"When a woman's fiancé disappears, Death gives her three chances to save him from his fate.",https://www.imdb.com/title/tt0012494/?ref_=sr_i_2,"['Fritz Lang', 'Thea von Harbou']",['Fritz Lang'],"['Bernhard Goetzke', 'Lil Dagover', 'Walter Janssen', 'Hans Sternberg', 'Karl Rückert', 'Max Adalbert', 'Wilhelm Diegelmann', 'Erich Pabst', 'Karl Platen', 'Hermann Picha']",,"$2,334","$12,156","$12,156","January 30, 1922",['Germany'],"['Studio Babelsberg, Potsdam, Brandenburg, Germany']",['Decla-Bioscop AG'],"Awards, 2 nominations total","['Drama', 'Fantasy', 'Horror', 'Thriller']",['German']
3. The Last Door,1921,50m,,,,,"At a reception given at the Rogers mansion in his honor, Somerset Carroll surprises the guests by averring that he would give aid to a female convict reported to have escaped. Later, alone in the library, he is appealed to by a young girl who confesses to being pursued by the police, and he takes her to his own house. There she reveals herself to be Helen Rogers, playing a game with him on the advice of her guests. He then declares himself a crook, holding the real Carroll prisoner, with the intention of robbing the Rogers mansion. She follows and shields ""The Magnet"" from the police, the real Carroll having escaped and notified them, and through her interference he eludes his would-be captors.",https://www.imdb.com/title/tt0012378/?ref_=sr_i_3,"['W. Bert Foster', 'Ralph Ince', 'Edward J. Montagne']",['William P.S. Earle'],"[""Eugene O'Brien"", 'Charles Craig', 'Nita Naldi', 'Helen Pillsbury', 'Martha Mansfield', 'Katherine Perry', 'Warren Cook']",,$488,$488,$488,"May 10, 1921",['United States'],,['Selznick Pictures Corporation'],,"['Crime', 'Drama', 'Mystery']","['None', 'English']"
4. The Kid,1921,1h 8m,Passed,8.2,140K,,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",https://www.imdb.com/title/tt0012349/?ref_=sr_i_4,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller', 'Albert Austin', 'Beulah Bains', 'Nellie Bly Baker', 'Henry Bergman', 'Edward Biby', 'B.F. Blinn']","$250,000 (estimated)",,"$41,979",,"February 6, 1921",['United States'],"['Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA']",['Charles Chaplin Productions'],"Awards, 2 wins total","['Buddy Comedy', 'Slapstick', 'Comedy', 'Drama', 'Family']","['None', 'English']"
5. The Phantom Carriage,1921,1h 47m,Not Rated,8.0,15K,,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",https://www.imdb.com/title/tt0012364/?ref_=sr_i_5,"['Selma Lagerlöf', 'Victor Sjöström']",['Victor Sjöström'],"['Victor Sjöström', 'Hilda Borgström', 'Tore Svennberg', 'Astrid Holm', 'Concordia Selander', 'Lisa Lundholm', 'Tor Weijden', 'Einar Axelsson', 'Olof Ås', 'Nils Aréhn']",,,,,"June 4, 1922",['Sweden'],"['Svensk Filmindustri, Filmstaden, Råsunda, Stockholms län, Sweden (Studio)']",['Svensk Filmindustri (SF)'],,"['Drama', 'Fantasy', 'Horror']","['None', 'Swedish']"
6. The Haunted Castle,1921,1h 9m,Not Rated,6.1,2.2K,,"In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstat's first husband, three years ago. So he is rather undesirable. But Oetsch stays; arguing he is not the murderer and will find the real one...",https://www.imdb.com/title/tt0012651/?ref_=sr_i_6,"['Rudolf Stratz', 'Carl Mayer']",['F.W. Murnau'],"['Arnold Korff', 'Lulu Kyser-Korff', 'Lothar Mehnert', 'Paul Hartmann', 'Paul Bildt', 'Olga Tschechowa', 'Victor Bluetner', 'Hermann Vallentin', 'Julius Falkenstein', 'Robert Leffler']",,,,,"April 7, 1921",['Germany'],"['Bioscop-Atelier, Neubabelsberg, Potsdam, Brandenburg, Germany']",['Uco-Film GmbH'],,"['Crime', 'Drama', 'Horror', 'Mystery']",['German']
7. The Wildcat,1921,1h 19m,Not Rated,6.8,1.4K,,"A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",https://www.imdb.com/title/tt0011960/?ref_=sr_i_7,"['Hanns Kräly', 'Ernst Lubitsch']",['Ernst Lubitsch'],"['Pola Negri', 'Victor Janson', 'Paul Heidemann', 'Wilhelm Diegelmann', 'Hermann Thimig', 'Edith Meller', 'Marga Köhler', 'Paul Graetz', 'Max Gronert', 'Erwin Kopp']",,,,,"November 30, 1921",['Germany'],"['Kreuzeck, Bavaria, Germany']",['Projektions-AG Union (PAGU)'],,"['Comedy', 'Drama', 'Romance']",['None']
8. Johan,1921,1h 24m,,6.7,284,,"On a farm in up-country Sweden, an enigmatic stranger comes to a conservative peasant community and seduces a farmer's wife.",https://www.imdb.com/title/tt0012334/?ref_=sr_i_8,"['Juhani Aho', 'Mauritz Stiller', 'Arthur Nordén']",['Mauritz Stiller'],"['Jenny Hasselqvist', 'Mathias Taube', 'Hildegard Harring', 'Urho Somersalmi', 'Lilly Berg', 'Nils Fredrik Widegren']",,,,,"February 28, 1921",['Sweden'],"['Flakaträsk, Norrbottens län, Sweden']","['Svensk Filmindustri (SF)', 'Svenska Biografteatern AB']",,['Drama'],['None']
9. The Queen of Sheba,1921,1h 30m,,6.8,73,,"The story of the ill-fated romance between Solomon, king of Israel, and the Queen of Sheba.",https://www.imdb.com/title/tt0012600/?ref_=sr_i_9,"['J. Gordon Edwards', 'Virginia Tracy']",['J. Gordon Edwards'],"['Betty Blythe', 'Fritz Leiber', 'Claire de Lorez', 'George Siegmann', 'Herbert Heyes', 'Herschel Mayall', 'G. Raymond Nye', 'George Nichols', 'Genevieve Blinn', 'Pat Moore']",,,,,"April 10, 1921",['United States'],"['Laguna Beach, California, USA']",['Fox Film Corporation'],,"['Adventure', 'Drama']","['None', 'English']"
10. A Sailor-Made Man,1921,47m,Passed,6.8,1.3K,,"An idle, wealthy playboy foolishly joins the Navy when the father of the girl he wants to marry tells him to get a job to prove himself worthy.",https://www.imdb.com/title/tt0012642/?ref_=sr_i_10,"['Hal Roach', 'Sam Taylor', 'Jean C. Havez']",['Fred C. Newmeyer'],"['Harold Lloyd', 'Mildred Davis', 'Noah Young', 'Dick Sutherland', 'William Gillespie', 'Fred Guiol', 'Wally Howe', 'Gus Leonard', 'Augustina López', 'Jobyna Ralston']","$77,315 (estimated)",,,,"December 25, 1921",['United States'],"['Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA']",['Hal Roach Studios'],,"['Action', 'Adventure', 'Comedy', 'Romance']","['None', 'English']"
