Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. The Four Horsemen of the Apocalypse,1921,2h 30m,Passed,7.1,3.7K,,An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.,https://www.imdb.com/title/tt0012190/?ref_=sr_i_1
2. Destiny,1921,1h 54m,Not Rated,7.6,7K,,"When a woman's fiancé disappears, Death gives her three chances to save him from his fate.",https://www.imdb.com/title/tt0012494/?ref_=sr_i_2
3. The Last Door,1921,50m,,,,,"At a reception given at the Rogers mansion in his honor, Somerset Carroll surprises the guests by averring that he would give aid to a female convict reported to have escaped. Later, alone in the library, he is appealed to by a young girl who confesses to being pursued by the police, and he takes her to his own house. There she reveals herself to be Helen Rogers, playing a game with him on the advice of her guests. He then declares himself a crook, holding the real Carroll prisoner, with the intention of robbing the Rogers mansion. She follows and shields ""The Magnet"" from the police, the real Carroll having escaped and notified them, and through her interference he eludes his would-be captors.",https://www.imdb.com/title/tt0012378/?ref_=sr_i_3
4. The Kid,1921,1h 8m,Passed,8.2,140K,,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",https://www.imdb.com/title/tt0012349/?ref_=sr_i_4
5. The Phantom Carriage,1921,1h 47m,Not Rated,8.0,15K,,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",https://www.imdb.com/title/tt0012364/?ref_=sr_i_5
6. The Haunted Castle,1921,1h 9m,Not Rated,6.1,2.2K,,"In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstat's first husband, three years ago. So he is rather undesirable. But Oetsch stays; arguing he is not the murderer and will find the real one...",https://www.imdb.com/title/tt0012651/?ref_=sr_i_6
7. The Wildcat,1921,1h 19m,Not Rated,6.8,1.4K,,"A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",https://www.imdb.com/title/tt0011960/?ref_=sr_i_7
8. Johan,1921,1h 24m,,6.7,284,,"On a farm in up-country Sweden, an enigmatic stranger comes to a conservative peasant community and seduces a farmer's wife.",https://www.imdb.com/title/tt0012334/?ref_=sr_i_8
9. The Queen of Sheba,1921,1h 30m,,6.8,73,,"The story of the ill-fated romance between Solomon, king of Israel, and the Queen of Sheba.",https://www.imdb.com/title/tt0012600/?ref_=sr_i_9
10. A Sailor-Made Man,1921,47m,Passed,6.8,1.3K,,"An idle, wealthy playboy foolishly joins the Navy when the father of the girl he wants to marry tells him to get a job to prove himself worthy.",https://www.imdb.com/title/tt0012642/?ref_=sr_i_10
