link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0103639/?ref_=sr_i_1,"['Ron Clements', 'John Musker', 'Ted Elliott']","['Ron Clements', 'John Musker']","['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale', 'Charlie Adler', 'Jack Angel', 'Corey Burton']","$28,000,000 (estimated)","$196,664","$504,050,219","$217,350,219","November 25, 1992",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Walt Disney Feature Animation']","Won 2 Oscars, 35 wins & 22 nominations total","['Desert Adventure', 'Fairy Tale', 'Feel-Good Romance', 'Hand-Drawn Animation', 'Pop Musical', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['English']
https://www.imdb.com/title/tt0104431/?ref_=sr_i_2,['John Hughes'],['Chris Columbus'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara"", 'John Heard', 'Devin Ratray', 'Hillary Wolf', 'Maureen Elisabeth Shay', 'Michael C. Maronna', 'Gerry Bamman']","$28,000,000 (estimated)","$31,126,882","$358,994,850","$173,585,516","November 20, 1992",['United States'],"['World Trade Center, Manhattan, New York City, New York, USA']","['Twentieth Century Fox', 'Hughes Entertainment']","Awards, 3 wins & 3 nominations total","['High-Concept Comedy', 'Holiday Comedy', 'Holiday Family', 'Slapstick', 'Urban Adventure', 'Adventure', 'Comedy', 'Crime', 'Family', 'Holiday']","['English', 'French', 'Spanish', 'Latin']"
https://www.imdb.com/title/tt0103776/?ref_=sr_i_3,"['Bob Kane', 'Daniel Waters', 'Sam Hamm']",['Tim Burton'],"['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer', 'Christopher Walken', 'Michael Gough', 'Michael Murphy', 'Cristi Conaway', 'Andrew Bryniarski', 'Pat Hingle', 'Vincent Schiavelli']","$80,000,000 (estimated)","$45,687,711","$266,941,512","$162,924,631","June 19, 1992","['United States', 'United Kingdom']","[""Stage 12, Universal Studios - 100 Universal City Plaza, Universal City, California, USA (Penguin's lair, demolished in 2020)""]","['Warner Bros.', 'Polygram Filmed Entertainment']","Nominated for 2 Oscars, 2 wins & 29 nominations total","['Dark Fantasy', 'Superhero', 'Supernatural Fantasy', 'Action', 'Crime', 'Fantasy', 'Holiday']",['English']
https://www.imdb.com/title/tt0104714/?ref_=sr_i_4,"['Jeffrey Boam', 'Robert Mark Kamen', 'Shane Black']",['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo', 'Stuart Wilson', 'Steve Kahan', 'Darlene Love', 'Traci Wolfe', 'Damon Hines', 'Ebonie Smith']","$35,000,000 (estimated)","$33,243,086","$321,731,527","$144,731,527","May 15, 1992",['United States'],"['Orlando, Florida, USA']","['Warner Bros.', 'Silver Pictures']","Awards, 3 wins & 4 nominations total","['Action', 'Crime', 'Thriller']",['English']
https://www.imdb.com/title/tt0104257/?ref_=sr_i_5,['Aaron Sorkin'],['Rob Reiner'],"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon', 'Kiefer Sutherland', 'Kevin Pollak', 'James Marshall', 'J.T. Walsh', 'Christopher Guest', 'J.A. Preston']","$41,000,000 (estimated)","$15,517,468","$243,240,178","$141,340,178","December 11, 1992",['United States'],"['Naval Air Station Point Mugu, Point Mugu, California, USA (Guantanamo Bay US Naval Base, Cuba)']","['Columbia Pictures', 'Castle Rock Entertainment', 'David Brown Productions']","Nominated for 4 Oscars, 10 wins & 30 nominations total","['Legal Drama', 'Legal Thriller', 'Drama', 'Thriller']","['English', 'French']"
https://www.imdb.com/title/tt0105417/?ref_=sr_i_6,['Paul Rudnick'],['Emile Ardolino'],"['Whoopi Goldberg', 'Maggie Smith', 'Harvey Keitel', 'Bill Nunn', 'Mary Wickes', 'Kathy Najimy', 'Wendy Makkena', 'Joseph Maher', 'Richard Portnow', 'Ellen Albertini Dow']","$31,000,000 (estimated)","$11,894,587","$231,605,150","$139,605,150","May 29, 1992",['United States'],"[""St. Paul's Church, Church Street, Noe Valley, San Francisco, California, USA""]","['Touchstone Pictures', 'Touchwood Pacific Partners 1']","Awards, 9 wins & 10 nominations total","['Dark Comedy', 'Comedy', 'Family', 'Music']",['English']
https://www.imdb.com/title/tt0103855/?ref_=sr_i_7,['Lawrence Kasdan'],['Mick Jackson'],"['Kevin Costner', 'Whitney Houston', 'Gary Kemp', 'Bill Cobbs', 'Ralph Waite', 'Tomas Arana', 'Michele Lamar Richards', 'Mike Starr', 'Christopher Birt', 'DeVaughn Nixon']","$25,000,000 (estimated)","$16,611,793","$411,046,449","$122,046,449","November 25, 1992",['United States'],"[""Beverly Estate, 1011 North Beverly Drive, Beverly Hills, California, USA (Rachel's estate - exteriors)""]","['Warner Bros.', 'Kasdan Pictures', 'Tig Productions']","Nominated for 2 Oscars, 14 wins & 21 nominations total","['Drama', 'Music', 'Romance', 'Thriller']",['English']
https://www.imdb.com/title/tt0105793/?ref_=sr_i_8,"['Mike Myers', 'Bonnie Turner', 'Terry Turner']",['Penelope Spheeris'],"['Mike Myers', 'Dana Carvey', 'Rob Lowe', 'Tia Carrere', 'Brian Doyle-Murray', 'Lara Flynn Boyle', 'Michael DeLuise', 'Dan Bell', 'Lee Tergesen', 'Kurt Fuller']","$20,000,000 (estimated)","$18,122,710","$183,097,323","$121,697,323","February 14, 1992",['United States'],"['West Covina, California, USA']",['Paramount Pictures'],"Awards, 4 wins & 5 nominations total","['Buddy Comedy', 'Comedy', 'Music']","['English', 'Cantonese']"
https://www.imdb.com/title/tt0103772/?ref_=sr_i_9,['Joe Eszterhas'],['Paul Verhoeven'],"['Michael Douglas', 'Sharon Stone', 'George Dzundza', 'Jeanne Tripplehorn', 'Denis Arndt', 'Leilani Sarelle', 'Bruce A. Young', 'Chelcie Ross', 'Dorothy Malone', 'Wayne Knight']","$49,000,000 (estimated)","$15,129,385","$352,927,224","$117,727,224","March 20, 1992","['France', 'United States', 'United Kingdom']","[""157 Spindrift Road, Carmel Highlands, California, USA (Catherine Tramell's mansion)""]","['Carolco Pictures', 'Canal+']","Nominated for 2 Oscars, 6 wins & 23 nominations total","['Erotic Thriller', 'Psychological Thriller', 'Suspense Mystery', 'Whodunnit', 'Drama', 'Mystery', 'Thriller']","['English', 'Spanish']"
https://www.imdb.com/title/tt0104694/?ref_=sr_i_10,"['Kim Wilson', 'Kelly Candaele', 'Lowell Ganz']",['Penny Marshall'],"['Tom Hanks', 'Geena Davis', 'Lori Petty', 'Madonna', ""Rosie O'Donnell"", 'Megan Cavanagh', 'Tracy Reiner', 'Bitty Schram', 'Ann Cusack', 'Anne Ramsay']","$40,000,000 (estimated)","$13,739,456","$132,440,069","$107,533,928","July 1, 1992",['United States'],"['Bosse Field - 1701 N. Main Street, Evansville, Indiana, USA']","['Columbia Pictures', 'Parkway Productions']","Awards, 6 wins & 13 nominations total","['Baseball', 'Comedy', 'Drama', 'Sport']",['English']
https://www.imdb.com/title/tt0105695/?ref_=sr_i_11,['David Webb Peoples'],['Clint Eastwood'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris', 'Jaimz Woolvett', 'Saul Rubinek', 'Frances Fisher', 'Anna Thomson', 'David Mucci', 'Rob Campbell']","$14,400,000 (estimated)","$15,018,007","$159,167,799","$101,167,799","August 7, 1992",['United States'],"['Brooks, Alberta, Canada']","['Warner Bros.', 'Malpaso Productions']","Won 4 Oscars, 52 wins & 47 nominations total","['Period Drama', 'Tragedy', 'Drama', 'Western']",['English']
