Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
523. Temple Tower,1930,58m,Approved,6.2,29,,Bulldog Drummond goes up against a group of jewel thieves led by Blackton and a Masked Strangler they double-crossed who wants revenge.,https://www.imdb.com/title/tt0021457/?ref_=sr_i_523,"['Llewellyn Hughes', 'Herman C. McNeile']",['Donald Gallaher'],"['Kenneth MacKenna', 'Marceline Day', 'Henry B. Walthall', 'Peter Gawthorne', 'Cyril Chadwick', 'Yorke Sherwood', 'Ivan Linow', 'Frank Lanning']",,,,,"April 13, 1930",['United States'],,['Fox Film Corporation'],,"['Crime', 'Drama']",['English']
524. Tôjin Okichi,1930,1h 55m,,5.9,79,,,https://www.imdb.com/title/tt0021481/?ref_=sr_i_524,"['Shuichi Hatamoto', 'Gisaburô Jûichiya']",['Kenji Mizoguchi'],"['Yôko Umemura', 'Kaichi Yamamoto', 'Kôji Shima', 'Taeko Sakuma', 'Reiji Ichiki', 'Etsuji Oki', 'Kunio Tamura', ""Kan'ichi Tani"", 'Akemi Isshiki', 'Heitarô Doi']",,,,,"July 1, 1930",['Japan'],,['Nikkatsu Uzumasa'],,['Drama'],['None']
525. Once a Gentleman,1930,1h 25m,,5.4,19,,,https://www.imdb.com/title/tt0021210/?ref_=sr_i_525,"['Maude Fulton', 'Walter Woods', 'George F. Worts']",['James Cruze'],"['Edward Everett Horton', 'Lois Wilson', 'Francis X. Bushman', 'King Baggot', 'Emerson Treacy', 'George Fawcett', 'Frederick Sullivan', 'Gertrude Short', 'Estelle Bradley', 'William J. Holmes']",,,,,"September 1, 1930",['United States'],,['James Cruze Productions'],,"['Comedy', 'Romance']",['English']
526. Women Everywhere,1930,1h 22m,Passed,5.8,35,,"Charles Jackson, an American sea-captain and singing soldier-of-fortune, is arrested by the French Foreign Legion for running guns to the rebel forces in Morocco fighting against the rule of the French in north Africa. He is saved by Lili La Fleur, a singer/dance in a Morocco café and, through her, eventually becomes a hero to the Foreign Legion.",https://www.imdb.com/title/tt0021561/?ref_=sr_i_526,"['George Grossmith', 'Zoltan Korda', 'Lajos Biró']",['Alexander Korda'],"['J. Harold Murray', ""Fifi D'Orsay"", 'George Grossmith', 'Clyde Cook', 'Ralph Kellard', 'Rose Dione', 'Walter McGrail', 'Harry Cording', 'Hans Fuerberg', 'Bob Kortman']",,,,,"June 1, 1930",['United States'],,['Fox Film Corporation'],,"['Adventure', 'Musical', 'Romance']",['English']
527. Leiba zibal,1930,,,4.8,27,,"The life of a Jew in the context of Romanian interwar society. The focus was on the financial rise of Leiba Zibal, on his love for Maria and on the love intrigue that makes the argot Gheorghe a competitor of Leiba Zibal.",https://www.imdb.com/title/tt0190525/?ref_=sr_i_527,"['Mielu Constantinescu', 'Tantzy Economu', 'Iancu Katz']","['Ion Niculescu-Bruna', 'Alexandru Stefanescu']","['Mielu Constantinescu', 'Tantzy Economu', 'Iancu Katz', 'Ion Niculescu-Bruna', 'Arion Onea', 'L. Sarkady']",,,,,,['Romania'],,,,['Drama'],['None']
528. Bago lumubog ang araw,1930,,,,,,,https://www.imdb.com/title/tt0497328/?ref_=sr_i_528,[],"['Rogelio de la Rosa', 'Gerardo de Leon', 'Mona Lisa']","['Rogelio de la Rosa', 'Gerardo de Leon', 'Mona Lisa', 'Rosita Rivera', 'Maria Clara Ruiz', 'Gregorio Ticman']",,,,,1930,['Philippines'],,"['Malayan Movies', 'Parlatone Hispano Filipino']",,['Drama'],"['Filipino', 'Tagalog']"
529. Kajastus,1930,1h 23m,,5.7,23,,"Opens at the Winter Palace in St. Petersburg in February 1899. Tsar Nicholas II signs the February Manifesto, the purpose of which is to abolish Finnish self-government. An act that arouse widespread opposition in Finland.",https://www.imdb.com/title/tt0021021/?ref_=sr_i_529,"['Gerda Hintze', 'Carl von Haartman']",['Carl von Haartman'],"['Aarne Leppänen', 'Elsa Segerberg', 'Helge Ranin', 'Anielka Elter', 'Gunnar Wallin', 'Katri Rautio', 'Vivan Cravelin', 'Yrjö Saarnio', 'Runar Idefeldt', 'Carl Flinkman']",,,,,"April 13, 1930",['Finland'],"['Vironkatu 9, Helsinki, Finland (Studio)']",['Suomi-Filmi'],,"['Drama', 'History']",['None']
530. Moral um Mitternacht,1930,50m,,,,,"Berlin, the center of pleasures and kingdom of small virtues. From all over Germany young night owls come to burn themselves cheerfully in its lights, to drown in its champagne and fill its boxes and restaurants until dawn.",https://www.imdb.com/title/tt0021154/?ref_=sr_i_530,"['Maurice Dekobra', 'Hans H. Zerlett']",['Marc Sorkin'],"['Gustav Diessl', 'Camilla Horn', 'Vladimir Sokoloff', 'Karl Falkenberg', 'Michael von Newlinsky', 'Lya Lys', 'Drei Antonys']",,,,,"June 20, 1930",['Germany'],,['Hom-AG für Filmfabrikation'],,"['Drama', 'Romance']",['German']
531. Wild Company,1930,1h 11m,,5.3,94,,The son of a wealthy politician falls in with a notorious gangster planning to rob a night club.,https://www.imdb.com/title/tt0021554/?ref_=sr_i_531,"['Bradley King', 'John Stone']",['Leo McCarey'],"['Frank Albertson', 'Joyce Compton', 'Sharon Lynn', 'H.B. Warner', 'Richard Keene', 'Frances McCoy', 'Kenneth Thomson', 'Claire McDowell', 'Mildred Van Dorn', 'Bob Callahan']",,,,,"July 5, 1930",['United States'],,['Fox Film Corporation'],,"['Crime', 'Drama']",['English']
532. Nur Du,1930,1h 25m,,7.3,17,,,https://www.imdb.com/title/tt0021193/?ref_=sr_i_532,"['Hans Rameau', 'Ladislaus Vajda', 'Willi Wolff']","['Hermann Feiner', 'Willi Wolff']","['Charlotte Ander', 'Walter Janssen', 'Fritz Schulz', 'Tibor Halmay', 'Paul Morgan', 'Marianne Winkelstern', 'Hermann Vallentin', 'Anita Dorris', 'Paul Hörbiger', 'Wilhelm Bendow']",,,,,"September 5, 1930",['Germany'],,['Ellen Richter Film'],,['Musical'],['German']
