Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Snow White and the Seven Dwarfs,1937,1h 23m,Approved,7.6,224K,96,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",https://www.imdb.com/title/tt0029583/?ref_=sr_i_1
2. Pépé le Moko,1937,1h 34m,Not Rated,7.7,8.3K,98,"A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.",https://www.imdb.com/title/tt0029453/?ref_=sr_i_2
3. Stage Door,1937,1h 32m,Approved,7.7,9.3K,,"A chronicle of the ambitions, dreams, and disappointments of aspiring actresses who all live in the same boarding house.",https://www.imdb.com/title/tt0029604/?ref_=sr_i_3
4. Shall We Dance,1937,1h 49m,Approved,7.4,8.1K,,"A ballet dancer and a showgirl fake a marriage for publicity purposes, then fall in love.",https://www.imdb.com/title/tt0029546/?ref_=sr_i_4
5. The Great Garrick,1937,1h 29m,Approved,6.7,801,,A Paris troupe puts on outlandish performances for a celebrated 18th-century British actor in order to convince him of their talents. The arrival of a countess complicates the plot.,https://www.imdb.com/title/tt0028953/?ref_=sr_i_5
6. Lost Horizon,1937,2h 12m,Approved,7.6,15K,,"When a revered diplomat's plane is diverted and crashes in the peaks of Tibet, he and the other survivors are guided to an isolated monastery at Shangri-La, where they wrestle with the invitation to stay.",https://www.imdb.com/title/tt0029162/?ref_=sr_i_6
7. Hitting a New High,1937,1h 25m,Approved,4.9,362,,Lili Pons and Jack Oakie star as a nightclub singer with aspires to be an opera diva and the met star whom she chases all the way to a safari in Africa to make her dreams come true in this wacky musical comedy.,https://www.imdb.com/title/tt0029006/?ref_=sr_i_7
8. A Star Is Born,1937,1h 51m,Approved,7.3,11K,77,"Young Esther Victoria Blodgett comes to Hollywood with dreams of stardom and achieves them only with the help of alcoholic leading man Norman Maine, whose best days are behind him.",https://www.imdb.com/title/tt0029606/?ref_=sr_i_8
9. A Day at the Races,1937,1h 51m,Approved,7.5,15K,,A veterinarian posing as a doctor teams with a singer and his friends as they struggle to save an upstate New York sanitarium with the help of a misfit racehorse.,https://www.imdb.com/title/tt0028772/?ref_=sr_i_9
10. Topper,1937,1h 37m,Approved,7.2,8.7K,,"A fun-loving couple, finding that they died and are now ghosts, decide to shake up the stuffy lifestyle of a friend of theirs.",https://www.imdb.com/title/tt0029682/?ref_=sr_i_10
