Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Pirates of the Caribbean: Dead Man's Chest,2006,2h 31m,PG-13,7.4,793K,53,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",https://www.imdb.com/title/tt0383574/?ref_=sr_i_1
2. Night at the Museum,2006,1h 48m,PG,6.5,391K,48,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,https://www.imdb.com/title/tt0477347/?ref_=sr_i_2
3. Cars,2006,1h 56m,G,7.3,498K,73,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",https://www.imdb.com/title/tt0317219/?ref_=sr_i_3
4. X-Men: The Last Stand,2006,1h 44m,PG-13,6.6,558K,58,"The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",https://www.imdb.com/title/tt0376994/?ref_=sr_i_4
5. The Da Vinci Code,2006,2h 29m,PG-13,6.6,471K,46,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",https://www.imdb.com/title/tt0382625/?ref_=sr_i_5
6. 300,2006,1h 57m,R,7.6,887K,52,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",https://www.imdb.com/title/tt0416449/?ref_=sr_i_6
7. Superman Returns,2006,2h 34m,PG-13,6.1,296K,72,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",https://www.imdb.com/title/tt0348150/?ref_=sr_i_7
8. Happy Feet,2006,1h 48m,PG,6.4,206K,77,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",https://www.imdb.com/title/tt0366548/?ref_=sr_i_8
9. Ice Age: The Meltdown,2006,1h 31m,PG,6.8,306K,59,"Manny, Sid and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny is not in fact the last of the woolly mammoths.",https://www.imdb.com/title/tt0438097/?ref_=sr_i_9
10. Casino Royale,2006,2h 24m,PG-13,8.0,715K,80,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",https://www.imdb.com/title/tt0381061/?ref_=sr_i_10
11. The Pursuit of Happyness,2006,1h 57m,PG-13,8.0,588K,64,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,https://www.imdb.com/title/tt0454921/?ref_=sr_i_11
12. Over the Hedge,2006,1h 23m,PG,6.7,196K,67,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",https://www.imdb.com/title/tt0327084/?ref_=sr_i_12
13. Talladega Nights: The Ballad of Ricky Bobby,2006,1h 48m,PG-13,6.6,206K,66,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",https://www.imdb.com/title/tt0415306/?ref_=sr_i_13
14. Click,2006,1h 47m,PG-13,6.4,370K,45,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,https://www.imdb.com/title/tt0389860/?ref_=sr_i_14
15. Mission: Impossible III,2006,2h 6m,PG-13,6.9,402K,66,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,https://www.imdb.com/title/tt0317919/?ref_=sr_i_15
16. The Departed,2006,2h 31m,R,8.5,1.5M,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://www.imdb.com/title/tt0407887/?ref_=sr_i_16
17. Borat,2006,1h 24m,R,7.4,458K,89,Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.,https://www.imdb.com/title/tt0443453/?ref_=sr_i_17
18. The Devil Wears Prada,2006,1h 49m,PG-13,6.9,496K,62,"With an aspiration to become a journalist, Andy, a smart but sensible young graduate, travels to New York. She starts working as an assistant to one of the city's biggest high fashion magazine editors, the cynical Miranda Priestly.",https://www.imdb.com/title/tt0458352/?ref_=sr_i_18
19. The Break-Up,2006,1h 46m,PG-13,5.8,142K,46,A couple's break-up proceeds to get uglier and nastier by the moment as each tries to keep their luxurious condo from the other.,https://www.imdb.com/title/tt0452594/?ref_=sr_i_19
20. Dreamgirls,2006,2h 10m,PG-13,6.6,79K,76,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",https://www.imdb.com/title/tt0443489/?ref_=sr_i_20
21. Scary Movie 4,2006,1h 23m,PG-13,5.1,133K,40,Cindy finds out a little boy haunts the house she lives in and she goes on a quest to solve his murder.,https://www.imdb.com/title/tt0362120/?ref_=sr_i_21
22. Failure to Launch,2006,1h 37m,PG-13,5.7,91K,47,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,https://www.imdb.com/title/tt0427229/?ref_=sr_i_22
23. Inside Man,2006,2h 9m,R,7.6,411K,76,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",https://www.imdb.com/title/tt0454848/?ref_=sr_i_23
24. Open Season,2006,1h 26m,PG,6.1,110K,49,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",https://www.imdb.com/title/tt0400717/?ref_=sr_i_24
25. The Santa Clause 3: The Escape Clause,2006,1h 32m,G,4.8,45K,32,"Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.",https://www.imdb.com/title/tt0452681/?ref_=sr_i_25
26. Charlotte's Web,2006,1h 37m,G,6.3,48K,68,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",https://www.imdb.com/title/tt0413895/?ref_=sr_i_26
27. The Pink Panther,2006,1h 33m,PG,5.7,95K,38,Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.,https://www.imdb.com/title/tt0383216/?ref_=sr_i_27
28. Eight Below,2006,2h,PG,7.3,70K,64,Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.,https://www.imdb.com/title/tt0397313/?ref_=sr_i_28
29. Saw III,2006,1h 48m,R,6.2,220K,48,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,https://www.imdb.com/title/tt0489270/?ref_=sr_i_29
30. Nacho Libre,2006,1h 32m,PG,5.9,97K,52,"Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",https://www.imdb.com/title/tt0457510/?ref_=sr_i_30
"31. You, Me and Dupree",2006,1h 50m,PG-13,5.6,85K,46,"A best man stays on as a houseguest with the newlyweds, much to the couple's annoyance.",https://www.imdb.com/title/tt0463034/?ref_=sr_i_31
32. Eragon,2006,1h 44m,PG,5.1,132K,38,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",https://www.imdb.com/title/tt0449010/?ref_=sr_i_32
33. Monster House,2006,1h 31m,PG,6.7,146K,68,"Three teens discover that their neighbor's house is really a living, breathing, scary monster.",https://www.imdb.com/title/tt0385880/?ref_=sr_i_33
34. Jackass Number Two,2006,1h 32m,R,7.0,81K,66,"Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",https://www.imdb.com/title/tt0493430/?ref_=sr_i_34
35. Barnyard,2006,1h 30m,PG,5.6,36K,42,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",https://www.imdb.com/title/tt0414853/?ref_=sr_i_35
36. RV,2006,1h 39m,PG,5.6,65K,33,"Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they must ultimately contend with a bizarre community of campers.",https://www.imdb.com/title/tt0449089/?ref_=sr_i_36
37. World Trade Center,2006,2h 9m,PG-13,6.0,89K,66,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,https://www.imdb.com/title/tt0469641/?ref_=sr_i_37
38. Rocky Balboa,2006,1h 42m,PG,7.1,237K,63,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.",https://www.imdb.com/title/tt0479143/?ref_=sr_i_38
39. Big Momma's House 2,2006,1h 39m,PG-13,4.8,48K,34,An FBI agent reprises his disguise as a corpulent old lady and takes a job as a nanny in a crime suspect's house.,https://www.imdb.com/title/tt0421729/?ref_=sr_i_39
40. Step Up,2006,1h 44m,PG-13,6.5,130K,48,"Tyler receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",https://www.imdb.com/title/tt0462590/?ref_=sr_i_40
41. Flushed Away,2006,1h 25m,PG,6.6,144K,74,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",https://www.imdb.com/title/tt0424095/?ref_=sr_i_41
42. Deja Vu,2006,2h 6m,PG-13,7.1,336K,59,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",https://www.imdb.com/title/tt0453467/?ref_=sr_i_42
