Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. The Exorcist,1973,2h 2m,R,8.1,475K,83,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",https://www.imdb.com/title/tt0070047/?ref_=sr_i_1
2. The Sting,1973,2h 9m,PG,8.3,289K,83,Two grifters team up to pull off the ultimate con.,https://www.imdb.com/title/tt0070735/?ref_=sr_i_2
3. American Graffiti,1973,1h 50m,PG,7.4,102K,97,A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,https://www.imdb.com/title/tt0069704/?ref_=sr_i_3
4. Papillon,1973,2h 31m,R,8.0,142K,58,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.",https://www.imdb.com/title/tt0070511/?ref_=sr_i_4
5. The Way We Were,1973,1h 58m,PG,7.0,29K,61,"During post-WWII McCarthyism, a diametrically opposed couple come together only to find out that genuine friendship and physical attraction is not enough to overcome fundamental societal beliefs.",https://www.imdb.com/title/tt0070903/?ref_=sr_i_5
6. Magnum Force,1973,2h 4m,R,7.2,69K,58,"Inspector ""Dirty"" Harry Callahan pursues a conspiracy of vigilante cops, who are not above going beyond the law to kill San Francisco's undesirables.",https://www.imdb.com/title/tt0070355/?ref_=sr_i_6
7. Live and Let Die,1973,2h 1m,PG,6.7,119K,55,James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.,https://www.imdb.com/title/tt0070328/?ref_=sr_i_7
8. Serpico,1973,2h 10m,R,7.7,140K,83,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,https://www.imdb.com/title/tt0070666/?ref_=sr_i_8
9. Sleeper,1973,1h 29m,PG,7.1,46K,77,A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.,https://www.imdb.com/title/tt0070707/?ref_=sr_i_9
10. High Plains Drifter,1973,1h 45m,R,7.4,67K,69,A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.,https://www.imdb.com/title/tt0068699/?ref_=sr_i_10
11. Battle for the Planet of the Apes,1973,1h 33m,G,5.4,37K,40,"Ten years after a worldwide series of ape revolutions and a brutal nuclear war among humans, Caesar must protect survivors of both species from an insidious human cult and a militant ape faction alike.",https://www.imdb.com/title/tt0069768/?ref_=sr_i_11
12. The Day of the Dolphin,1973,1h 44m,PG,6.0,3.7K,40,A marine biologist teaches his dolphins to communicate in English but shady characters plan to kidnap the trained mammals for a more sinister purpose.,https://www.imdb.com/title/tt0069946/?ref_=sr_i_12
13. The Wicker Man,1973,1h 28m,R,7.5,99K,87,"A puritan police sergeant arrives in a Scottish island village in search of a missing girl, who the pagan locals claim never existed.",https://www.imdb.com/title/tt0070917/?ref_=sr_i_13
14. Amarcord,1973,2h 3m,R,7.8,50K,,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,https://www.imdb.com/title/tt0071129/?ref_=sr_i_14
15. A Bigger Splash,1973,1h 46m,Not Rated,5.8,670,,"Semi-fictionalized documentary biopic of British artist David Hockney. After a difficult break-up, Hockney is left unable to paint, much to the concern of his friends. Titled after Hockney's pop-art painting 'A Bigger Splash'.",https://www.imdb.com/title/tt0071219/?ref_=sr_i_15
